date,cost,crisis,deficit,depreciation,domination,isPartial
2004-01-01,42,12,0,1,1,False
2004-01-02,69,10,3,0,4,False
2004-01-03,66,10,3,1,2,False
2004-01-04,65,8,4,1,3,False
2004-01-05,100,13,7,0,0,False
2004-01-06,81,11,4,1,1,False
2004-01-07,73,7,6,1,2,False
2004-01-08,84,9,6,1,3,False
2004-01-09,81,10,5,0,6,False
2004-01-10,60,7,5,2,1,False
2004-01-11,69,8,5,3,5,False
2004-01-12,79,12,4,1,2,False
2004-01-13,80,11,8,1,1,False
2004-01-14,82,13,10,0,1,False
2004-01-15,82,12,8,1,2,False
2004-01-16,70,16,6,2,2,False
2004-01-17,72,6,4,2,7,False
2004-01-18,65,5,1,2,2,False
2004-01-19,79,13,4,1,1,False
2004-01-20,84,7,5,1,1,False
2004-01-21,80,12,7,3,0,False
2004-01-22,77,14,6,3,0,False
2004-01-23,70,10,4,2,2,False
2004-01-24,69,9,2,0,5,False
2004-01-25,62,8,3,1,5,False
2004-01-26,70,11,5,2,1,False
2004-01-27,74,9,8,2,2,False
2004-01-28,71,10,9,1,2,False
2004-01-29,78,9,5,2,4,False
2004-01-30,84,7,5,3,2,False
2004-01-31,67,11,6,1,4,False
2004-02-01,81,9,5,1,6,False
2004-02-02,79,8,7,2,2,False
2004-02-03,78,10,10,2,2,False
2004-02-04,75,11,6,3,2,False
2004-02-05,76,12,6,2,2,False
2004-02-06,66,8,5,3,4,False
2004-02-07,66,6,4,0,4,False
2004-02-08,73,11,4,2,3,False
2004-02-09,86,15,9,2,2,False
2004-02-10,79,15,4,1,3,False
2004-02-11,83,14,6,2,4,False
2004-02-12,87,14,6,2,2,False
2004-02-13,67,7,7,2,2,False
2004-02-14,78,4,2,5,4,False
2004-02-15,73,9,5,2,3,False
2004-02-16,78,7,5,4,3,False
2004-02-17,85,11,6,3,3,False
2004-02-18,79,12,5,2,1,False
2004-02-19,76,11,10,3,2,False
2004-02-20,83,13,6,2,2,False
2004-02-21,73,8,4,1,1,False
2004-02-22,75,11,5,5,3,False
2004-02-23,78,15,6,3,2,False
2004-02-24,86,17,4,5,4,False
2004-02-25,80,13,6,2,3,False
2004-02-26,85,12,5,2,3,False
2004-02-27,74,11,6,1,4,False
2004-02-28,68,8,17,1,2,False
2004-02-29,61,16,8,4,4,False
2004-03-01,90,11,7,4,1,False
2004-03-02,78,15,8,4,2,False
2004-03-03,88,19,9,3,7,False
2004-03-04,83,12,3,4,2,False
2004-03-05,64,16,6,2,8,False
2004-03-06,62,11,4,2,1,False
2004-03-07,60,6,4,4,2,False
2004-03-08,0,0,0,0,0,True
2004-03-09,0,0,0,0,0,True
2004-03-10,85,10,6,2,2,False
2004-03-11,69,17,8,2,2,False
2004-03-12,82,10,8,3,1,False
2004-03-13,75,6,6,4,2,False
2004-03-14,81,10,6,1,1,False
2004-03-15,85,15,7,3,3,False
2004-03-16,85,11,4,3,1,False
2004-03-17,69,14,4,2,2,False
2004-03-18,88,8,5,3,2,False
2004-03-19,64,10,8,2,5,False
2004-03-20,71,5,5,1,5,False
2004-03-21,72,11,5,1,2,False
2004-03-22,74,17,5,0,2,False
2004-03-23,0,0,0,0,0,True
2004-03-24,82,17,4,1,2,False
2004-03-25,69,17,2,5,0,False
2004-03-26,85,14,3,2,2,False
2004-03-27,81,5,1,1,3,False
2004-03-28,88,10,3,1,3,False
2004-03-29,80,17,5,2,1,False
2004-03-30,91,16,4,3,2,False
2004-03-31,95,14,8,3,0,False
2004-04-01,84,14,5,2,2,False
2004-04-02,83,12,4,3,1,False
2004-04-03,72,11,4,1,4,False
2004-04-04,68,14,8,4,6,False
2004-04-05,86,12,7,3,3,False
2004-04-06,86,9,3,2,1,False
2004-04-07,87,15,5,4,1,False
2004-04-08,88,17,5,3,3,False
2004-04-09,69,13,5,3,1,False
2004-04-10,75,12,4,2,4,False
2004-04-11,80,16,9,0,2,False
2004-04-12,0,0,0,0,0,True
2004-04-13,0,0,0,0,0,True
2004-04-14,68,13,7,5,1,False
2004-04-15,86,10,4,3,2,False
2004-04-16,75,13,4,2,1,False
2004-04-17,77,7,7,1,5,False
2004-04-18,95,12,3,1,3,False
2004-04-19,94,17,8,2,2,False
2004-04-20,94,16,8,2,2,False
2004-04-21,85,17,6,1,2,False
2004-04-22,88,11,4,2,4,False
2004-04-23,81,19,4,3,1,False
2004-04-24,64,12,4,1,4,False
2004-04-25,78,8,5,3,5,False
2004-04-26,78,19,3,2,2,False
2004-04-27,93,12,4,2,1,False
2004-04-28,88,9,5,4,2,False
