date,squander,tariff,underworld,uneconomical,unemployed,isPartial
2004-01-01,0,0,15,0,0,False
2004-01-02,0,3,32,0,3,False
2004-01-03,0,8,8,0,8,False
2004-01-04,0,8,59,0,0,False
2004-01-05,0,0,9,0,0,False
2004-01-06,0,3,39,0,3,False
2004-01-07,0,9,47,0,7,False
2004-01-08,0,9,63,0,2,False
2004-01-09,0,5,58,0,0,False
2004-01-10,0,4,61,0,0,False
2004-01-11,0,4,100,0,4,False
2004-01-12,0,9,54,0,2,False
2004-01-13,0,16,58,0,4,False
2004-01-14,0,11,43,0,2,False
2004-01-15,0,11,45,0,5,False
2004-01-16,0,7,46,0,5,False
2004-01-17,0,8,56,0,0,False
2004-01-18,0,8,61,0,4,False
2004-01-19,0,3,41,0,8,False
2004-01-20,0,16,36,0,7,False
2004-01-21,0,9,35,0,7,False
2004-01-22,0,13,27,0,4,False
2004-01-23,0,9,35,0,2,False
2004-01-24,4,4,25,0,0,False
2004-01-25,0,4,50,0,4,False
2004-01-26,0,9,44,0,7,False
2004-01-27,2,2,27,0,2,False
2004-01-28,0,9,24,0,0,False
2004-01-29,0,13,25,0,4,False
2004-01-30,0,5,19,0,5,False
2004-01-31,0,0,14,0,4,False
2004-02-01,0,15,58,0,11,False
2004-02-02,0,11,24,0,2,False
2004-02-03,0,10,35,0,4,False
2004-02-04,0,12,29,0,2,False
2004-02-05,0,12,25,0,2,False
2004-02-06,0,2,24,0,2,False
2004-02-07,0,0,47,0,0,False
2004-02-08,0,0,43,0,0,False
2004-02-09,0,19,25,0,2,False
2004-02-10,0,8,31,0,6,False
2004-02-11,0,4,25,0,2,False
2004-02-12,0,11,30,0,0,False
2004-02-13,0,7,12,0,0,False
2004-02-14,0,4,22,0,0,False
2004-02-15,0,4,42,0,0,False
2004-02-16,0,2,32,0,0,False
2004-02-17,0,2,23,0,4,False
2004-02-18,2,6,13,0,4,False
2004-02-19,0,13,21,0,4,False
2004-02-20,0,14,23,0,5,False
2004-02-21,0,7,31,0,3,False
2004-02-22,0,7,27,0,7,False
2004-02-23,0,17,25,0,2,False
2004-02-24,0,10,8,0,2,False
2004-02-25,0,15,25,0,2,False
2004-02-26,0,10,17,0,2,False
