date,charity,community,compensate,compensation,contribute,isPartial
2004-09-11,2,49,0,2,0,False
2004-09-12,3,48,0,1,1,False
2004-09-13,5,82,0,5,0,False
2004-09-14,4,65,0,4,0,False
2004-09-15,4,66,0,4,1,False
2004-09-16,4,69,0,4,1,False
2004-09-17,3,57,0,4,0,False
2004-09-18,3,48,0,4,0,False
2004-09-19,3,47,0,2,0,False
2004-09-20,3,74,0,5,0,False
2004-09-21,5,69,0,4,1,False
2004-09-22,3,68,0,5,0,False
2004-09-23,4,66,0,4,1,False
2004-09-24,4,68,0,3,0,False
2004-09-25,1,50,0,2,0,False
2004-09-26,3,54,0,3,0,False
2004-09-27,4,70,0,4,1,False
2004-09-28,3,71,0,5,1,False
2004-09-29,3,67,0,5,1,False
2004-09-30,4,64,0,5,1,False
2004-10-01,3,63,0,5,1,False
2004-10-02,3,45,0,2,0,False
2004-10-03,2,45,0,3,0,False
2004-10-04,6,72,0,6,1,False
2004-10-05,5,76,0,6,1,False
2004-10-06,3,63,0,5,0,False
2004-10-07,3,62,0,6,1,False
2004-10-08,3,52,0,3,0,False
2004-10-09,3,42,0,2,1,False
2004-10-10,4,49,0,4,0,False
2004-10-11,4,62,0,4,0,False
2004-10-12,1,56,0,4,0,False
2004-10-13,5,73,0,7,1,False
2004-10-14,3,64,0,5,1,False
2004-10-15,3,61,0,4,0,False
2004-10-16,3,47,0,2,0,False
2004-10-17,2,48,0,2,0,False
2004-10-18,3,65,0,4,1,False
2004-10-19,4,71,0,4,1,False
2004-10-20,4,70,0,6,0,False
2004-10-21,4,66,0,5,1,False
2004-10-22,3,65,0,3,1,False
2004-10-23,3,51,0,3,0,False
2004-10-24,3,47,0,2,0,False
2004-10-25,3,75,0,3,1,False
2004-10-26,3,68,0,4,1,False
2004-10-27,3,72,0,5,1,False
2004-10-28,4,65,0,6,0,False
2004-10-29,2,48,0,3,1,False
2004-10-30,4,45,0,2,1,False
2004-10-31,3,49,0,1,1,False
2004-11-01,4,72,0,4,1,False
2004-11-02,3,68,0,5,0,False
2004-11-03,3,64,0,4,1,False
2004-11-04,4,65,0,4,0,False
2004-11-05,3,56,0,5,1,False
2004-11-06,2,50,0,2,1,False
2004-11-07,2,55,0,2,0,False
2004-11-08,6,49,0,3,0,False
2004-11-09,0,0,0,0,0,True
2004-11-10,4,73,0,5,0,False
2004-11-11,4,63,0,4,1,False
2004-11-12,4,62,0,4,1,False
2004-11-13,3,50,0,2,0,False
2004-11-14,5,55,0,1,0,False
2004-11-15,5,69,0,4,1,False
2004-11-16,4,67,0,5,1,False
2004-11-17,5,71,0,4,0,False
2004-11-18,5,72,0,5,1,False
2004-11-19,3,58,0,1,0,False
2004-11-20,3,46,0,2,0,False
