date,hustle,hustler,inflation,jobless,laid,isPartial
2004-09-11,0,24,6,0,15,False
2004-09-12,3,40,17,3,12,False
2004-09-13,7,22,27,0,14,False
2004-09-14,7,25,33,0,8,False
2004-09-15,9,22,26,2,10,False
2004-09-16,2,25,28,4,5,False
2004-09-17,4,52,17,0,15,False
2004-09-18,3,44,32,0,12,False
2004-09-19,12,26,24,0,21,False
2004-09-20,7,19,26,2,9,False
2004-09-21,10,28,40,0,8,False
2004-09-22,7,24,20,0,10,False
2004-09-23,5,21,26,0,7,False
2004-09-24,4,22,22,2,13,False
2004-09-25,6,21,18,0,12,False
2004-09-26,6,44,26,0,15,False
2004-09-27,8,30,42,0,15,False
2004-09-28,6,26,34,0,5,False
2004-09-29,3,15,28,2,10,False
2004-09-30,5,19,26,2,14,False
2004-10-01,2,25,17,0,13,False
2004-10-02,3,27,18,0,24,False
2004-10-03,6,46,31,0,9,False
2004-10-04,2,28,33,0,8,False
2004-10-05,10,23,31,2,7,False
2004-10-06,5,15,26,2,14,False
2004-10-07,2,19,19,5,5,False
2004-10-08,7,24,28,2,15,False
2004-10-09,6,46,21,0,9,False
2004-10-10,0,38,23,0,9,False
2004-10-11,0,31,26,2,14,False
2004-10-12,0,28,42,0,7,False
2004-10-13,7,18,29,0,16,False
2004-10-14,3,24,21,3,14,False
2004-10-15,6,28,26,2,20,False
2004-10-16,0,32,23,0,21,False
2004-10-17,11,37,17,0,6,False
2004-10-18,5,25,28,2,8,False
2004-10-19,2,18,16,2,14,False
2004-10-20,5,20,28,0,3,False
2004-10-21,3,23,23,0,12,False
2004-10-22,7,23,29,2,9,False
2004-10-23,6,29,26,0,9,False
2004-10-24,3,33,22,3,17,False
2004-10-25,3,35,30,0,6,False
2004-10-26,2,11,22,0,9,False
2004-10-27,5,21,40,2,14,False
2004-10-28,3,10,23,5,13,False
2004-10-29,7,30,22,0,22,False
2004-10-30,8,38,17,4,4,False
2004-10-31,9,29,17,0,9,False
2004-11-01,8,24,25,0,15,False
2004-11-02,2,20,23,2,3,False
2004-11-03,8,22,20,5,17,False
2004-11-04,8,23,34,0,3,False
2004-11-05,5,22,17,2,10,False
2004-11-06,3,28,14,0,14,False
2004-11-07,3,17,25,0,11,False
2004-11-08,6,19,25,0,19,False
2004-11-09,0,0,0,0,0,False
