date,lay,liquidate,miser,owe,recession,isPartial
2004-09-11,58,0,4,0,0,False
2004-09-12,46,0,4,4,8,False
2004-09-13,53,0,0,9,0,False
2004-09-14,67,0,4,2,2,False
2004-09-15,55,0,4,2,0,False
2004-09-16,41,0,0,2,9,False
2004-09-17,27,0,0,2,2,False
2004-09-18,57,0,0,8,4,False
2004-09-19,50,4,0,0,4,False
2004-09-20,43,0,0,9,0,False
2004-09-21,57,0,0,0,4,False
2004-09-22,36,0,7,4,0,False
2004-09-23,61,0,2,4,9,False
2004-09-24,44,0,2,2,5,False
2004-09-25,63,0,4,8,0,False
2004-09-26,46,0,0,0,4,False
2004-09-27,44,0,2,4,9,False
2004-09-28,38,2,2,0,11,False
2004-09-29,30,0,2,0,4,False
2004-09-30,43,0,4,2,4,False
2004-10-01,74,0,0,0,2,False
2004-10-02,35,0,8,0,8,False
2004-10-03,45,0,0,4,4,False
2004-10-04,49,0,2,4,0,False
2004-10-05,25,0,2,2,0,False
2004-10-06,56,0,4,0,2,False
2004-10-07,55,0,5,2,2,False
2004-10-08,22,0,2,2,7,False
2004-10-09,48,0,0,4,8,False
2004-10-10,42,0,0,0,8,False
2004-10-11,46,0,5,5,5,False
2004-10-12,100,0,9,0,27,False
2004-10-13,46,0,6,0,17,False
2004-10-14,36,2,4,0,9,False
2004-10-15,17,2,0,0,9,False
2004-10-16,68,0,0,4,11,False
2004-10-17,44,0,0,0,0,False
2004-10-18,48,0,0,0,4,False
2004-10-19,42,2,4,6,0,False
2004-10-20,34,0,6,4,13,False
2004-10-21,22,0,4,2,4,False
2004-10-22,72,2,5,2,5,False
2004-10-23,64,4,8,0,4,False
2004-10-24,61,0,4,4,0,False
2004-10-25,42,0,2,2,6,False
2004-10-26,57,0,2,4,4,False
2004-10-27,42,0,4,0,8,False
2004-10-28,44,2,4,4,0,False
2004-10-29,19,0,0,0,0,False
2004-10-30,60,0,5,0,0,False
2004-10-31,38,0,4,4,4,False
2004-11-01,44,2,4,2,4,False
2004-11-02,54,0,2,4,4,False
2004-11-03,58,0,0,4,2,False
2004-11-04,47,0,2,0,6,False
2004-11-05,54,0,5,2,0,False
2004-11-06,99,4,7,4,4,False
2004-11-07,40,0,4,0,0,False
2004-11-08,65,0,0,0,8,False
2004-11-09,0,0,0,0,0,True
2004-11-10,40,0,6,3,6,False
2004-11-11,40,2,4,2,0,False
2004-11-12,40,2,7,2,7,False
2004-11-13,47,0,11,0,0,False
2004-11-14,39,0,4,4,7,False
2004-11-15,61,2,0,2,6,False
2004-11-16,38,0,4,2,2,False
2004-11-17,40,0,10,4,8,False
2004-11-18,54,0,2,0,6,False
2004-11-19,69,0,0,0,0,False
2004-11-20,56,6,0,0,0,False
2004-11-21,34,0,3,3,0,False
2004-11-22,59,0,4,2,6,False
2004-11-23,55,0,0,0,0,False
2004-11-24,37,0,2,2,2,False
2004-11-25,56,0,8,0,0,False
2004-11-26,61,0,4,0,0,False
2004-11-27,71,0,4,11,0,False
2004-11-28,45,0,0,3,3,False
2004-11-29,41,0,8,6,6,False
2004-11-30,43,0,4,2,2,False
2004-12-01,38,0,6,2,6,False
2004-12-02,42,0,6,4,4,False
2004-12-03,43,0,13,4,9,False
2004-12-04,37,0,10,7,0,False
2004-12-05,47,0,30,3,3,False
2004-12-06,55,2,8,4,10,False
2004-12-07,45,0,11,6,4,False
2004-12-08,52,0,8,2,10,False
2004-12-09,44,0,16,2,4,False
2004-12-10,64,2,13,2,2,False
2004-12-11,44,0,3,10,3,False
2004-12-12,61,0,14,0,14,False
2004-12-13,42,0,4,4,0,False
2004-12-14,46,0,6,10,2,False
2004-12-15,58,0,8,0,10,False
2004-12-16,49,0,11,2,4,False
2004-12-17,44,0,16,5,2,False
2004-12-18,33,0,7,0,0,False
2004-12-19,34,0,0,0,0,False
2004-12-20,38,0,9,0,4,False
2004-12-21,38,0,13,4,4,False
2004-12-22,34,0,5,2,0,False
2004-12-23,25,0,3,0,0,False
2004-12-24,36,0,8,4,0,False
2004-12-25,60,0,0,5,0,False
2004-12-26,31,0,9,9,4,False
2004-12-27,60,0,3,5,0,False
2004-12-28,44,5,7,5,2,False
2004-12-29,29,2,5,5,0,False
2004-12-30,61,0,3,3,0,False
2004-12-31,40,0,0,7,0,False
2005-01-01,41,0,6,12,0,False
2005-01-02,71,0,0,3,0,False
2005-01-03,37,0,4,0,0,False
2005-01-04,56,4,2,2,10,False
2005-01-05,45,0,10,2,2,False
2005-01-06,43,0,8,6,8,False
2005-01-07,53,0,2,2,2,False
2005-01-08,72,0,6,3,0,False
2005-01-09,45,0,10,3,3,False
2005-01-10,54,0,0,10,2,False
2005-01-11,54,2,2,2,4,False
2005-01-12,38,0,4,8,6,False
2005-01-13,50,4,6,8,6,False
2005-01-14,54,2,4,2,2,False
2005-01-15,25,0,3,3,0,False
2005-01-16,55,0,0,6,3,False
2005-01-17,57,0,0,7,4,False
2005-01-18,62,0,2,4,6,False
2005-01-19,52,0,2,2,0,False
2005-01-20,25,2,0,2,8,False
2005-01-21,41,2,0,12,2,False
2005-01-22,42,0,0,12,3,False
2005-01-23,53,0,0,0,0,False
2005-01-24,66,0,2,2,0,False
2005-01-25,59,0,4,4,2,False
2005-01-26,34,0,6,2,0,False
2005-01-27,55,0,4,4,4,False
2005-01-28,37,0,2,8,0,False
2005-01-29,30,0,3,0,3,False
2005-01-30,54,0,6,12,0,False
2005-01-31,57,2,4,4,4,False
2005-02-01,48,0,4,5,0,False
2005-02-02,47,0,6,6,4,False
2005-02-03,51,0,0,6,2,False
2005-02-04,51,0,4,8,2,False
2005-02-05,81,0,9,6,0,False
2005-02-06,63,0,0,6,0,False
2005-02-07,51,0,0,0,4,False
2005-02-08,37,2,2,9,0,False
2005-02-09,51,0,4,7,2,False
2005-02-10,46,2,0,9,4,False
2005-02-11,62,0,2,8,2,False
2005-02-12,37,0,0,9,3,False
2005-02-13,30,0,3,9,3,False
2005-02-14,49,0,2,0,2,False
2005-02-15,62,0,4,5,7,False
2005-02-16,31,0,6,4,4,False
2005-02-17,47,0,2,5,5,False
2005-02-18,44,0,2,2,6,False
2005-02-19,51,0,0,0,6,False
2005-02-20,71,0,9,6,3,False
2005-02-21,75,0,2,4,10,False
2005-02-22,43,2,5,7,5,False
2005-02-23,55,2,4,5,4,False
2005-02-24,55,2,2,2,2,False
2005-02-25,48,0,6,6,2,False
2005-02-26,24,0,0,8,0,False
2005-02-27,26,0,0,4,0,False
2005-02-28,75,0,2,7,4,False
2005-03-01,58,2,0,4,5,False
2005-03-02,43,0,0,5,5,False
2005-03-03,51,0,0,8,2,False
2005-03-04,55,0,0,0,0,False
2005-03-05,39,0,0,6,3,False
2005-03-06,67,0,0,3,0,False
2005-03-07,29,0,4,4,2,False
2005-03-08,47,2,2,2,0,False
2005-03-09,49,0,2,4,4,False
2005-03-10,62,0,2,2,7,False
2005-03-11,36,0,4,2,6,False
2005-03-12,71,0,0,3,9,False
2005-03-13,59,3,0,3,3,False
2005-03-14,68,0,2,4,5,False
2005-03-15,65,0,0,2,2,False
2005-03-16,54,0,4,5,5,False
2005-03-17,35,0,4,2,5,False
2005-03-18,42,2,0,0,2,False
2005-03-19,60,0,0,6,0,False
2005-03-20,40,0,3,3,3,False
2005-03-21,59,0,5,0,2,False
2005-03-22,55,0,2,9,2,False
2005-03-23,57,0,4,2,5,False
2005-03-24,35,0,4,6,8,False
2005-03-25,57,2,0,2,5,False
2005-03-26,54,0,0,3,3,False
2005-03-27,69,2,0,4,2,False
2005-03-28,46,0,8,8,6,False
2005-03-29,49,0,4,2,5,False
2005-03-30,72,0,4,2,6,False
2005-03-31,40,0,4,2,4,False
2005-04-01,61,4,0,8,0,False
2005-04-02,48,0,0,15,9,False
2005-04-03,70,0,6,12,3,False
2005-04-04,67,0,0,7,0,False
2005-04-05,0,0,0,0,0,True
2005-04-06,34,0,2,5,5,False
2005-04-07,57,0,5,5,4,False
2005-04-08,55,0,2,4,4,False
2005-04-09,42,0,3,3,0,False
2005-04-10,77,0,0,6,3,False
2005-04-11,63,0,4,9,0,False
2005-04-12,57,0,5,3,2,False
2005-04-13,52,2,0,2,3,False
2005-04-14,64,0,4,7,11,False
2005-04-15,44,0,0,17,4,False
2005-04-16,35,3,0,6,3,False
2005-04-17,83,0,0,3,10,False
2005-04-18,49,0,2,5,7,False
2005-04-19,70,0,2,2,12,False
2005-04-20,51,0,0,0,9,False
2005-04-21,63,0,0,2,2,False
2005-04-22,52,2,2,4,2,False
2005-04-23,83,0,3,6,6,False
2005-04-24,63,0,3,0,6,False
2005-04-25,57,2,0,9,3,False
2005-04-26,50,0,2,2,3,False
2005-04-27,48,0,7,7,9,False
2005-04-28,52,0,0,3,5,False
2005-04-29,44,0,6,4,9,False
2005-04-30,51,0,0,6,3,False
2005-05-01,83,0,0,3,11,False
2005-05-02,57,0,3,5,8,False
2005-05-03,68,0,3,3,15,False
2005-05-04,42,0,0,2,8,False
2005-05-05,63,0,2,5,2,False
2005-05-06,22,2,2,6,4,False
2005-05-07,48,0,6,6,6,False
2005-05-08,46,3,0,3,0,False
2005-05-09,56,0,0,5,3,False
2005-05-10,65,0,5,0,5,False
2005-05-11,41,0,0,5,5,False
2005-05-12,66,0,3,5,3,False
