date,destitute,extravagant,fire,gamble,hole,isPartial
2005-05-23,0,0,54,3,8,False
2005-05-24,0,0,56,2,9,False
2005-05-25,0,0,53,2,9,False
2005-05-26,0,0,55,3,11,False
2005-05-27,0,0,54,2,11,False
2005-05-28,0,0,56,1,14,False
2005-05-29,0,0,55,1,11,False
2005-05-30,0,0,57,1,8,False
2005-05-31,0,0,53,3,10,False
2005-06-01,0,0,57,2,10,False
2005-06-02,0,0,61,1,10,False
2005-06-03,0,0,55,2,11,False
2005-06-04,0,0,61,1,10,False
2005-06-05,0,0,63,1,10,False
2005-06-06,0,0,57,2,10,False
2005-06-07,0,0,56,3,9,False
2005-06-08,0,0,61,1,9,False
2005-06-09,0,0,60,2,10,False
2005-06-10,0,0,53,1,10,False
2005-06-11,0,0,61,1,8,False
2005-06-12,0,0,60,1,9,False
2005-06-13,0,0,54,1,10,False
2005-06-14,0,0,54,2,10,False
2005-06-15,0,0,57,2,10,False
2005-06-16,0,0,56,2,10,False
2005-06-17,0,0,54,1,9,False
2005-06-18,0,0,53,3,11,False
2005-06-19,0,0,59,0,11,False
2005-06-20,0,0,54,3,12,False
2005-06-21,0,0,63,2,11,False
2005-06-22,0,0,61,2,8,False
2005-06-23,0,0,57,2,10,False
2005-06-24,0,0,63,3,12,False
2005-06-25,0,0,70,2,8,False
2005-06-26,0,0,64,2,11,False
2005-06-27,0,0,62,3,11,False
2005-06-28,0,0,63,2,11,False
2005-06-29,0,0,62,2,10,False
2005-06-30,0,0,67,2,10,False
2005-07-01,0,0,68,2,9,False
2005-07-02,0,0,74,2,9,False
2005-07-03,0,0,88,1,12,False
2005-07-04,0,0,100,1,13,False
2005-07-05,0,0,75,2,10,False
2005-07-06,0,0,61,3,8,False
2005-07-07,0,0,54,1,11,False
2005-07-08,0,0,56,2,10,False
2005-07-09,0,0,65,1,12,False
2005-07-10,0,0,62,2,11,False
2005-07-11,0,0,58,2,10,False
2005-07-12,0,0,58,3,10,False
2005-07-13,0,0,54,2,11,False
2005-07-14,0,0,58,2,9,False
2005-07-15,0,0,60,2,11,False
2005-07-16,0,0,61,0,10,False
2005-07-17,0,0,69,1,12,False
2005-07-18,0,0,67,2,10,False
2005-07-19,0,0,61,3,8,False
2005-07-20,0,0,64,2,12,False
2005-07-21,0,0,58,2,10,False
2005-07-22,0,0,58,2,10,False
2005-07-23,0,0,64,1,13,False
2005-07-24,0,0,63,2,11,False
2005-07-25,0,0,68,2,9,False
2005-07-26,0,0,58,4,12,False
2005-07-27,0,0,58,2,10,False
2005-07-28,0,0,61,2,10,False
2005-07-29,0,0,63,2,10,False
2005-07-30,0,0,64,2,13,False
2005-07-31,0,0,63,2,11,False
2005-08-01,0,0,52,3,9,False
2005-08-02,0,0,60,2,10,False
2005-08-03,0,0,54,3,11,False
2005-08-04,0,0,64,2,11,False
2005-08-05,0,0,62,2,14,False
2005-08-06,0,0,65,1,13,False
2005-08-07,0,0,62,2,14,False
2005-08-08,0,0,60,3,10,False
2005-08-09,0,0,60,1,8,False
2005-08-10,0,0,61,2,11,False
2005-08-11,0,0,56,3,10,False
2005-08-12,0,0,63,2,10,False
2005-08-13,0,0,58,1,9,False
2005-08-14,0,0,59,2,14,False
2005-08-15,0,0,56,1,9,False
2005-08-16,0,0,58,2,10,False
2005-08-17,0,0,56,3,9,False
2005-08-18,0,0,57,2,11,False
2005-08-19,0,0,53,2,11,False
2005-08-20,0,0,56,1,13,False
2005-08-21,0,0,57,2,10,False
2005-08-22,0,0,59,3,9,False
2005-08-23,0,0,57,2,10,False
2005-08-24,0,0,50,1,11,False
2005-08-25,0,0,54,2,9,False
2005-08-26,0,0,56,2,11,False
2005-08-27,0,0,58,1,11,False
2005-08-28,0,0,67,1,9,False
2005-08-29,0,0,56,2,11,False
2005-08-30,0,0,57,2,8,False
2005-08-31,0,0,55,1,7,False
2005-09-01,0,0,55,2,9,False
2005-09-02,0,0,58,2,9,False
2005-09-03,0,0,57,1,12,False
2005-09-04,0,0,58,2,10,False
2005-09-05,0,0,66,2,11,False
2005-09-06,0,0,59,3,9,False
2005-09-07,0,0,56,1,10,False
2005-09-08,0,0,54,2,10,False
2005-09-09,0,0,55,1,8,False
2005-09-10,0,0,57,2,11,False
2005-09-11,0,0,58,2,12,False
2005-09-12,0,0,57,2,9,False
2005-09-13,0,0,54,2,8,False
2005-09-14,0,0,54,4,9,False
2005-09-15,0,0,59,2,11,False
2005-09-16,0,0,55,3,10,False
2005-09-17,0,0,60,1,10,False
2005-09-18,0,0,66,2,12,False
2005-09-19,0,0,59,2,9,False
2005-09-20,0,0,56,3,10,False
2005-09-21,0,0,52,1,10,False
2005-09-22,0,0,58,2,8,False
2005-09-23,0,0,54,1,8,False
2005-09-24,0,0,61,1,10,False
2005-09-25,0,0,63,3,10,False
2005-09-26,0,0,61,1,9,False
2005-09-27,0,0,55,2,9,False
2005-09-28,0,0,63,2,9,False
2005-09-29,0,0,87,3,9,False
2005-09-30,0,0,79,1,9,False
2005-10-01,0,0,71,3,12,False
2005-10-02,0,0,64,2,10,False
2005-10-03,0,0,56,3,9,False
2005-10-04,0,0,55,3,9,False
2005-10-05,0,0,56,2,10,False
2005-10-06,0,0,60,3,8,False
2005-10-07,0,0,60,2,10,False
2005-10-08,0,0,58,1,10,False
2005-10-09,0,0,65,1,10,False
2005-10-10,0,0,59,2,9,False
2005-10-11,0,0,59,2,8,False
2005-10-12,0,0,59,2,11,False
2005-10-13,0,0,63,3,10,False
2005-10-14,0,0,54,2,9,False
2005-10-15,0,0,63,2,8,False
2005-10-16,0,0,59,2,9,False
2005-10-17,0,0,62,2,9,False
2005-10-18,0,0,59,3,9,False
2005-10-19,0,0,59,2,8,False
2005-10-20,0,0,53,2,10,False
2005-10-21,0,0,60,1,7,False
2005-10-22,0,0,59,2,8,False
2005-10-23,0,0,64,2,9,False
2005-10-24,0,0,56,3,9,False
2005-10-25,0,0,57,2,9,False
2005-10-26,0,0,58,2,10,False
2005-10-27,0,0,52,2,6,False
2005-10-28,0,0,60,2,10,False
2005-10-29,0,0,66,2,9,False
2005-10-30,0,0,58,2,12,False
2005-10-31,0,0,59,2,9,False
2005-11-01,0,0,54,1,8,False
2005-11-02,0,0,59,2,9,False
2005-11-03,0,0,53,2,9,False
2005-11-04,0,0,58,1,9,False
2005-11-05,0,0,63,1,10,False
2005-11-06,0,0,66,3,10,False
2005-11-07,0,0,68,2,9,False
2005-11-08,0,0,60,2,10,False
2005-11-09,1,0,62,1,11,False
2005-11-10,0,0,52,2,10,False
2005-11-11,0,0,60,1,11,False
2005-11-12,0,0,62,2,11,False
2005-11-13,0,0,68,2,9,False
2005-11-14,0,0,61,3,9,False
2005-11-15,0,0,63,2,9,False
2005-11-16,0,0,65,2,8,False
2005-11-17,0,0,70,3,8,False
