date,partnership,patron,patronage,precious,priceless,isPartial
2005-05-23,62,17,0,34,43,False
2005-05-24,76,25,0,40,21,False
2005-05-25,58,22,2,50,26,False
2005-05-26,72,16,0,42,38,False
2005-05-27,57,20,0,40,47,False
2005-05-28,4,20,0,24,29,False
2005-05-29,13,9,0,77,47,False
2005-05-30,29,7,0,43,50,False
2005-05-31,100,22,0,24,26,False
2005-06-01,65,17,0,43,19,False
2005-06-02,84,9,2,33,33,False
2005-06-03,68,9,0,30,28,False
2005-06-04,26,26,0,34,37,False
2005-06-05,31,19,0,57,46,False
2005-06-06,61,15,0,40,37,False
2005-06-07,69,13,0,37,35,False
2005-06-08,70,11,2,24,20,False
2005-06-09,76,30,2,23,32,False
2005-06-10,49,19,0,41,39,False
2005-06-11,23,15,0,27,65,False
2005-06-12,8,19,4,62,19,False
2005-06-13,74,18,0,22,25,False
2005-06-14,73,4,0,31,36,False
2005-06-15,63,27,0,38,20,False
2005-06-16,62,14,0,27,37,False
2005-06-17,60,25,0,37,47,False
2005-06-18,47,12,0,35,35,False
2005-06-19,24,16,0,24,41,False
2005-06-20,68,23,0,34,23,False
2005-06-21,73,15,0,31,24,False
2005-06-22,89,23,2,43,23,False
2005-06-23,60,23,0,37,21,False
2005-06-24,50,20,3,40,33,False
2005-06-25,39,39,0,36,36,False
2005-06-26,20,44,0,40,28,False
2005-06-27,41,18,2,36,22,False
2005-06-28,75,11,0,53,35,False
2005-06-29,58,7,2,38,40,False
2005-06-30,70,7,0,35,42,False
2005-07-01,44,13,0,34,37,False
2005-07-02,20,28,0,40,24,False
2005-07-03,18,13,0,31,48,False
2005-07-04,19,27,4,46,15,False
2005-07-05,79,17,0,50,24,False
2005-07-06,63,17,0,28,26,False
2005-07-07,78,16,0,51,22,False
2005-07-08,49,23,2,23,33,False
2005-07-09,32,29,0,29,46,False
2005-07-10,30,26,0,30,48,False
2005-07-11,63,19,0,34,13,False
2005-07-12,61,15,2,40,32,False
2005-07-13,43,17,0,30,37,False
2005-07-14,53,11,0,42,33,False
2005-07-15,47,14,0,30,45,False
2005-07-16,29,18,0,29,33,False
2005-07-17,37,34,0,26,26,False
2005-07-18,62,17,4,39,34,False
2005-07-19,81,11,0,49,43,False
2005-07-20,74,13,2,30,41,False
2005-07-21,77,9,2,35,33,False
2005-07-22,62,38,0,43,45,False
2005-07-23,29,18,0,37,44,False
2005-07-24,45,23,0,45,30,False
2005-07-25,77,11,0,36,17,False
2005-07-26,90,17,0,31,21,False
2005-07-27,73,13,4,43,28,False
2005-07-28,85,25,2,42,22,False
2005-07-29,68,21,0,45,28,False
2005-07-30,18,15,0,47,26,False
2005-07-31,55,7,0,29,52,False
2005-08-01,88,19,0,34,32,False
2005-08-02,63,19,0,56,29,False
2005-08-03,60,30,0,30,32,False
2005-08-04,68,20,0,33,40,False
2005-08-05,57,31,0,40,24,False
2005-08-06,40,29,0,62,25,False
2005-08-07,43,22,0,43,36,False
2005-08-08,69,23,0,59,34,False
2005-08-09,73,21,2,43,25,False
2005-08-10,70,30,0,27,40,False
2005-08-11,50,17,0,28,37,False
2005-08-12,69,25,2,37,32,False
2005-08-13,21,14,0,70,21,False
2005-08-14,28,11,0,25,46,False
2005-08-15,59,15,0,21,36,False
2005-08-16,74,29,0,39,27,False
2005-08-17,47,26,0,43,36,False
2005-08-18,83,17,0,41,37,False
2005-08-19,50,25,0,55,36,False
2005-08-20,24,17,0,24,20,False
2005-08-21,24,14,0,62,38,False
2005-08-22,67,25,4,21,17,False
2005-08-23,45,34,2,34,30,False
2005-08-24,35,35,0,52,35,False
2005-08-25,58,17,3,47,36,False
2005-08-26,44,20,2,27,46,False
2005-08-27,29,6,0,23,62,False
2005-08-28,23,23,0,26,39,False
2005-08-29,77,16,2,30,30,False
2005-08-30,52,22,0,58,28,False
2005-08-31,56,24,0,46,36,False
2005-09-01,58,16,0,52,47,False
2005-09-02,53,2,0,34,48,False
2005-09-03,35,7,0,52,35,False
2005-09-04,32,22,0,43,22,False
2005-09-05,51,27,0,42,39,False
2005-09-06,52,28,2,38,28,False
2005-09-07,67,21,0,33,19,False
2005-09-08,68,16,4,40,20,False
2005-09-09,63,25,0,27,42,False
2005-09-10,38,13,0,45,16,False
2005-09-11,56,34,0,22,22,False
2005-09-12,65,23,0,34,36,False
2005-09-13,56,19,0,28,39,False
2005-09-14,66,21,0,23,23,False
2005-09-15,76,25,2,33,39,False
2005-09-16,70,12,0,35,31,False
2005-09-17,38,19,0,45,32,False
2005-09-18,25,9,0,53,28,False
2005-09-19,69,19,0,34,25,False
2005-09-20,67,17,0,35,30,False
2005-09-21,50,15,0,31,20,False
2005-09-22,56,12,0,50,19,False
2005-09-23,52,25,0,39,23,False
2005-09-24,19,16,0,38,19,False
2005-09-25,22,19,3,37,28,False
2005-09-26,58,19,0,41,30,False
2005-09-27,78,24,2,51,25,False
2005-09-28,47,28,0,43,26,False
2005-09-29,57,21,2,53,17,False
2005-09-30,54,23,6,47,19,False
2005-10-01,32,19,0,39,36,False
2005-10-02,28,31,0,50,12,False
2005-10-03,54,19,2,39,32,False
2005-10-04,51,34,4,43,22,False
2005-10-05,53,27,0,47,22,False
2005-10-06,52,24,4,39,22,False
2005-10-07,46,24,2,60,42,False
2005-10-08,42,27,0,58,27,False
2005-10-09,27,28,3,52,34,False
2005-10-10,72,17,2,45,30,False
2005-10-11,47,33,5,33,34,False
2005-10-12,73,25,2,51,36,False
2005-10-13,62,26,2,45,32,False
2005-10-14,56,18,4,42,36,False
2005-10-15,34,15,0,56,40,False
2005-10-16,30,36,0,63,21,False
2005-10-17,76,40,4,53,29,False
2005-10-18,53,15,2,18,31,False
2005-10-19,43,18,4,40,40,False
2005-10-20,42,26,4,48,40,False
2005-10-21,63,22,0,43,41,False
2005-10-22,15,30,0,39,41,False
2005-10-23,41,50,0,50,29,False
2005-10-24,77,48,0,25,25,False
2005-10-25,65,42,2,44,37,False
2005-10-26,58,40,2,49,43,False
2005-10-27,63,20,4,35,39,False
2005-10-28,56,26,0,46,28,False
2005-10-29,21,46,9,27,46,False
2005-10-30,37,49,9,24,25,False
2005-10-31,34,41,0,32,37,False
2005-11-01,85,38,2,35,44,False
2005-11-02,65,43,4,36,27,False
2005-11-03,54,39,2,23,30,False
2005-11-04,74,30,6,44,42,False
2005-11-05,20,20,3,29,29,False
2005-11-06,43,29,0,63,29,False
2005-11-07,51,32,2,37,35,False
2005-11-08,53,27,2,30,27,False
2005-11-09,64,29,0,41,12,False
2005-11-10,52,12,2,30,32,False
2005-11-11,60,22,0,38,58,False
2005-11-12,35,23,3,61,55,False
2005-11-13,26,37,0,46,17,False
2005-11-14,64,23,0,43,38,False
2005-11-15,59,25,2,44,37,False
2005-11-16,42,20,2,36,41,False
2005-11-17,38,28,0,28,37,False
2005-11-18,62,22,2,37,32,False
2005-11-19,17,31,0,48,46,False
2005-11-20,14,40,0,48,31,False
2005-11-21,61,44,2,37,37,False
2005-11-22,49,21,2,45,35,False
2005-11-23,38,16,0,50,36,False
2005-11-24,19,16,0,41,19,False
