date,aristocracy,aristocrat,aristocratic,associate,backer,isPartial
2006-02-01,5,2,0,62,0,False
2006-02-02,0,9,2,68,14,False
2006-02-03,2,5,0,64,5,False
2006-02-04,7,14,0,75,0,False
2006-02-05,0,4,4,51,7,False
2006-02-06,0,5,2,64,10,False
2006-02-07,7,4,2,67,9,False
2006-02-08,2,9,2,52,7,False
2006-02-09,2,2,0,46,2,False
2006-02-10,5,2,0,68,5,False
2006-02-11,0,0,0,35,7,False
2006-02-12,0,7,3,52,3,False
2006-02-13,2,5,0,66,9,False
2006-02-14,2,7,2,64,2,False
2006-02-15,0,5,0,89,5,False
2006-02-16,5,9,0,78,2,False
2006-02-17,2,12,0,81,5,False
2006-02-18,0,4,0,32,4,False
2006-02-19,0,15,0,15,11,False
2006-02-20,5,3,0,59,5,False
2006-02-21,2,14,0,65,0,False
2006-02-22,2,9,0,71,2,False
2006-02-23,0,5,2,83,5,False
2006-02-24,2,2,0,71,5,False
2006-02-25,0,7,0,52,11,False
2006-02-26,0,7,4,36,4,False
2006-02-27,0,7,0,52,11,False
2006-02-28,0,4,0,61,4,False
2006-03-01,2,9,0,45,13,False
2006-03-02,2,11,0,78,14,False
2006-03-03,2,12,2,62,5,False
2006-03-04,11,21,0,71,7,False
2006-03-05,0,14,0,32,7,False
2006-03-06,0,5,0,72,9,False
2006-03-07,0,16,2,80,0,False
2006-03-08,4,11,0,73,4,False
2006-03-09,2,11,0,59,2,False
2006-03-10,0,12,0,56,2,False
2006-03-11,4,7,0,62,4,False
2006-03-12,0,11,7,54,0,False
2006-03-13,2,9,0,48,9,False
2006-03-14,7,9,2,90,7,False
2006-03-15,2,7,0,57,11,False
2006-03-16,0,12,0,60,14,False
2006-03-17,0,5,2,59,5,False
2006-03-18,11,11,0,25,14,False
2006-03-19,4,14,0,74,4,False
2006-03-20,4,7,2,55,4,False
2006-03-21,0,4,0,59,4,False
2006-03-22,4,13,0,73,4,False
2006-03-23,0,5,0,57,7,False
2006-03-24,2,5,0,46,5,False
2006-03-25,0,0,0,49,3,False
2006-03-26,4,7,0,39,11,False
2006-03-27,0,2,0,70,7,False
2006-03-28,4,13,0,66,2,False
2006-03-29,0,2,0,70,4,False
2006-03-30,2,2,2,67,9,False
2006-03-31,2,5,0,67,17,False
2006-04-01,4,14,0,43,7,False
2006-04-02,0,4,4,40,0,False
2006-04-03,0,4,0,69,13,False
2006-04-04,2,7,0,55,4,False
2006-04-05,0,2,0,67,13,False
2006-04-06,2,7,4,87,9,False
2006-04-07,5,2,0,62,10,False
2006-04-08,0,7,0,49,14,False
2006-04-09,0,4,4,48,15,False
2006-04-10,0,9,0,54,9,False
2006-04-11,0,9,0,62,4,False
2006-04-12,5,0,2,75,2,False
2006-04-13,2,9,0,59,7,False
2006-04-14,0,14,3,65,8,False
2006-04-15,0,8,4,41,11,False
2006-04-16,4,0,0,24,12,False
2006-04-17,0,5,0,77,9,False
2006-04-18,0,15,2,63,17,False
2006-04-19,2,9,2,63,11,False
2006-04-20,4,9,0,58,7,False
2006-04-21,5,5,0,43,2,False
2006-04-22,0,7,4,49,4,False
2006-04-23,0,7,3,45,3,False
2006-04-24,0,9,0,82,17,False
2006-04-25,4,8,4,55,11,False
2006-04-26,2,4,0,70,7,False
2006-04-27,0,7,0,47,4,False
2006-04-28,2,0,0,74,12,False
2006-04-29,4,4,0,62,7,False
2006-04-30,7,7,0,43,7,False
2006-05-01,0,6,2,71,2,False
2006-05-02,4,2,2,74,8,False
2006-05-03,2,4,0,81,11,False
2006-05-04,4,11,0,42,4,False
2006-05-05,0,9,2,52,7,False
2006-05-06,4,7,0,40,4,False
2006-05-07,7,18,0,47,0,False
2006-05-08,0,6,0,58,13,False
2006-05-09,2,8,0,64,6,False
2006-05-10,2,9,2,50,6,False
2006-05-11,2,4,2,56,6,False
2006-05-12,5,12,0,40,2,False
2006-05-13,0,4,0,40,11,False
2006-05-14,0,7,4,19,4,False
2006-05-15,0,2,0,67,2,False
2006-05-16,0,4,0,57,4,False
2006-05-17,0,15,0,39,4,False
2006-05-18,2,4,0,62,11,False
2006-05-19,5,5,5,53,5,False
2006-05-20,4,8,0,72,0,False
2006-05-21,4,4,0,37,4,False
2006-05-22,0,7,0,58,13,False
2006-05-23,0,0,0,53,9,False
2006-05-24,0,2,0,81,2,False
2006-05-25,2,9,2,58,0,False
2006-05-26,3,8,0,58,10,False
2006-05-27,8,8,0,36,0,False
2006-05-28,0,0,0,26,9,False
2006-05-29,0,4,4,46,11,False
2006-05-30,2,7,4,74,16,False
2006-05-31,0,2,0,49,11,False
2006-06-01,5,7,0,46,9,False
2006-06-02,0,2,0,76,7,False
2006-06-03,0,7,0,40,7,False
2006-06-04,4,0,0,33,11,False
2006-06-05,0,7,0,52,4,False
2006-06-06,2,4,0,58,9,False
2006-06-07,2,2,0,42,9,False
2006-06-08,0,2,5,83,5,False
2006-06-09,2,10,0,56,5,False
2006-06-10,0,0,0,33,7,False
2006-06-11,0,7,0,41,7,False
2006-06-12,2,7,0,45,5,False
2006-06-13,2,2,0,73,11,False
2006-06-14,0,9,2,52,0,False
2006-06-15,2,7,0,71,5,False
2006-06-16,0,5,0,56,8,False
2006-06-17,0,8,0,27,4,False
2006-06-18,0,0,0,24,4,False
2006-06-19,2,7,0,56,5,False
2006-06-20,2,5,0,75,5,False
2006-06-21,0,5,0,47,9,False
2006-06-22,0,0,2,60,5,False
2006-06-23,0,5,0,35,8,False
2006-06-24,4,0,0,65,11,False
2006-06-25,0,4,0,36,18,False
2006-06-26,0,11,0,53,9,False
2006-06-27,2,7,2,40,0,False
2006-06-28,0,7,0,79,0,False
2006-06-29,2,2,0,81,5,False
2006-06-30,0,0,0,53,3,False
2006-07-01,4,8,0,42,8,False
2006-07-02,0,4,0,36,0,False
2006-07-03,3,11,0,53,14,False
2006-07-04,0,0,0,28,7,False
2006-07-05,0,5,0,61,2,False
2006-07-06,2,2,0,55,7,False
2006-07-07,5,2,0,40,7,False
2006-07-08,0,7,0,64,4,False
2006-07-09,0,7,0,66,11,False
2006-07-10,2,7,0,44,0,False
2006-07-11,4,4,0,58,4,False
2006-07-12,0,0,0,76,13,False
2006-07-13,2,5,0,77,7,False
2006-07-14,0,12,2,50,5,False
2006-07-15,0,14,0,32,7,False
2006-07-16,4,7,7,14,4,False
2006-07-17,0,7,0,85,4,False
2006-07-18,0,6,0,67,4,False
2006-07-19,0,7,2,49,9,False
2006-07-20,2,2,0,57,2,False
2006-07-21,5,5,0,72,0,False
2006-07-22,0,0,0,41,3,False
2006-07-23,7,14,0,28,0,False
2006-07-24,0,2,0,69,9,False
2006-07-25,0,4,0,68,11,False
2006-07-26,0,11,2,61,7,False
2006-07-27,2,13,2,44,7,False
2006-07-28,0,7,0,47,9,False
2006-07-29,0,10,0,35,10,False
2006-07-30,0,7,4,42,7,False
2006-07-31,0,4,2,72,4,False
2006-08-01,2,6,0,49,11,False
2006-08-02,0,2,0,65,2,False
2006-08-03,2,0,0,68,2,False
2006-08-04,0,7,0,85,14,False
2006-08-05,0,0,0,59,7,False
2006-08-06,0,7,0,32,7,False
2006-08-07,0,9,0,57,4,False
2006-08-08,2,8,0,76,4,False
2006-08-09,2,6,2,64,11,False
2006-08-10,2,2,0,61,9,False
2006-08-11,0,12,0,59,5,False
2006-08-12,0,10,0,48,27,False
2006-08-13,4,4,4,70,4,False
2006-08-14,2,6,2,47,0,False
2006-08-15,0,6,0,55,8,False
2006-08-16,0,7,0,39,11,False
2006-08-17,2,7,0,93,13,False
2006-08-18,0,5,0,51,2,False
2006-08-19,0,7,0,44,3,False
2006-08-20,0,3,0,50,10,False
2006-08-21,2,6,2,60,2,False
2006-08-22,0,4,0,79,6,False
2006-08-23,2,0,4,53,4,False
2006-08-24,2,4,0,90,4,False
2006-08-25,2,9,0,45,9,False
2006-08-26,3,16,0,64,3,False
2006-08-27,0,3,0,41,6,False
2006-08-28,0,4,2,66,4,False
2006-08-29,0,4,0,67,10,False
2006-08-30,0,8,2,60,4,False
2006-08-31,4,2,2,48,17,False
2006-09-01,0,5,0,52,0,False
2006-09-02,0,3,3,62,6,False
2006-09-03,3,0,0,44,3,False
2006-09-04,0,9,0,55,14,False
2006-09-05,4,4,2,67,4,False
2006-09-06,6,4,0,71,6,False
2006-09-07,4,6,2,45,10,False
2006-09-08,0,4,0,58,9,False
2006-09-09,3,6,0,55,6,False
2006-09-10,0,6,0,33,6,False
2006-09-11,4,6,0,46,4,False
2006-09-12,4,2,4,72,12,False
