date,luxury,meritorious,nobility,nobleman,partner,isPartial
2006-10-13,63,0,2,0,28,False
2006-10-14,73,0,3,0,20,False
2006-10-15,72,0,1,0,23,False
2006-10-16,58,0,1,0,25,False
2006-10-17,64,1,1,0,32,False
2006-10-18,60,2,2,0,35,False
2006-10-19,49,2,3,0,38,False
2006-10-20,53,0,2,0,23,False
2006-10-21,48,0,4,0,22,False
2006-10-22,57,1,0,0,21,False
2006-10-23,69,0,1,0,38,False
2006-10-24,70,1,1,0,27,False
2006-10-25,61,4,4,0,35,False
2006-10-26,61,1,2,0,34,False
2006-10-27,51,2,2,0,33,False
2006-10-28,64,0,6,0,36,False
2006-10-29,60,0,0,0,29,False
2006-10-30,67,1,0,1,32,False
2006-10-31,57,2,2,0,27,False
2006-11-01,61,1,1,0,31,False
2006-11-02,56,1,2,1,30,False
2006-11-03,61,0,2,0,33,False
2006-11-04,83,1,2,0,31,False
2006-11-05,56,0,3,1,15,False
2006-11-06,81,0,2,1,33,False
2006-11-07,60,1,1,0,44,False
2006-11-08,59,1,1,0,35,False
2006-11-09,54,2,2,1,32,False
2006-11-10,60,0,2,1,35,False
2006-11-11,64,1,3,1,27,False
2006-11-12,79,0,0,0,17,False
2006-11-13,58,1,2,0,34,False
2006-11-14,70,0,1,0,26,False
2006-11-15,65,2,1,0,27,False
2006-11-16,65,1,4,1,30,False
2006-11-17,46,1,2,0,30,False
2006-11-18,65,2,2,1,19,False
2006-11-19,61,0,2,0,30,False
2006-11-20,65,0,2,0,30,False
2006-11-21,66,1,6,0,25,False
2006-11-22,68,1,0,1,31,False
2006-11-23,58,0,2,0,19,False
2006-11-24,66,0,0,0,25,False
2006-11-25,91,0,0,0,22,False
2006-11-26,78,0,1,0,25,False
2006-11-27,62,1,1,0,30,False
2006-11-28,55,1,4,0,40,False
2006-11-29,65,1,1,0,27,False
2006-11-30,57,1,1,1,23,False
2006-12-01,49,1,1,0,25,False
2006-12-02,60,2,0,0,28,False
2006-12-03,53,0,0,2,31,False
2006-12-04,51,1,1,0,34,False
2006-12-05,52,1,0,0,35,False
2006-12-06,67,1,3,0,39,False
2006-12-07,55,1,1,0,23,False
2006-12-08,56,1,1,0,26,False
2006-12-09,58,0,1,0,13,False
2006-12-10,67,1,2,1,19,False
2006-12-11,63,1,2,0,26,False
2006-12-12,63,0,2,0,27,False
2006-12-13,51,2,3,1,28,False
2006-12-14,62,1,0,0,23,False
2006-12-15,70,0,2,0,35,False
2006-12-16,46,0,2,0,25,False
2006-12-17,69,0,4,0,15,False
2006-12-18,69,0,4,1,29,False
2006-12-19,69,1,0,0,29,False
2006-12-20,66,0,0,0,34,False
2006-12-21,62,0,1,0,23,False
2006-12-22,53,2,1,1,24,False
2006-12-23,55,0,0,0,17,False
2006-12-24,59,0,0,0,18,False
2006-12-25,57,0,3,0,17,False
2006-12-26,74,0,2,0,24,False
2006-12-27,97,0,1,0,30,False
2006-12-28,64,0,0,0,27,False
2006-12-29,54,1,2,1,34,False
2006-12-30,54,0,2,0,19,False
2006-12-31,77,1,2,0,26,False
2007-01-01,77,0,4,0,31,False
2007-01-02,72,0,1,0,28,False
2007-01-03,75,1,2,1,36,False
2007-01-04,82,0,2,0,22,False
2007-01-05,62,2,1,1,30,False
2007-01-06,65,0,2,0,18,False
2007-01-07,89,1,1,0,21,False
2007-01-08,87,1,0,1,25,False
2007-01-09,63,2,2,0,30,False
2007-01-10,69,0,1,0,26,False
2007-01-11,72,1,1,1,29,False
2007-01-12,65,0,2,0,29,False
2007-01-13,58,2,0,0,18,False
2007-01-14,71,1,3,0,18,False
2007-01-15,77,0,5,0,30,False
2007-01-16,61,0,0,0,31,False
2007-01-17,70,1,2,0,33,False
2007-01-18,65,1,1,0,30,False
2007-01-19,64,0,1,0,34,False
2007-01-20,64,0,0,0,22,False
2007-01-21,70,1,1,0,23,False
2007-01-22,80,0,4,0,32,False
2007-01-23,64,1,3,1,32,False
2007-01-24,68,1,1,0,30,False
2007-01-25,71,0,2,1,28,False
2007-01-26,69,0,0,0,26,False
2007-01-27,82,1,0,0,35,False
2007-01-28,71,0,3,0,24,False
2007-01-29,82,1,0,0,45,False
2007-01-30,69,1,1,0,34,False
2007-01-31,67,1,1,1,29,False
2007-02-01,67,0,1,1,36,False
2007-02-02,51,1,2,0,40,False
2007-02-03,77,1,1,1,28,False
2007-02-04,73,0,2,0,25,False
2007-02-05,67,0,1,0,44,False
2007-02-06,67,1,3,0,39,False
2007-02-07,78,1,3,0,35,False
2007-02-08,70,0,2,0,32,False
2007-02-09,67,0,1,3,32,False
2007-02-10,63,0,5,1,30,False
2007-02-11,88,0,3,0,31,False
2007-02-12,57,1,3,0,35,False
2007-02-13,70,1,1,0,33,False
2007-02-14,62,1,1,0,28,False
2007-02-15,67,0,1,0,29,False
2007-02-16,56,3,2,1,31,False
2007-02-17,81,0,1,0,30,False
2007-02-18,74,0,1,0,23,False
2007-02-19,66,1,1,1,24,False
2007-02-20,65,0,1,1,40,False
2007-02-21,63,1,1,1,37,False
2007-02-22,57,1,3,1,21,False
2007-02-23,68,1,1,1,34,False
2007-02-24,79,1,2,1,13,False
2007-02-25,78,0,1,0,18,False
2007-02-26,72,0,1,0,29,False
2007-02-27,61,0,1,1,27,False
2007-02-28,68,2,1,0,18,False
2007-03-01,66,1,1,1,35,False
2007-03-02,64,1,2,0,25,False
2007-03-03,93,0,1,1,16,False
2007-03-04,83,1,2,0,28,False
2007-03-05,61,1,1,0,28,False
2007-03-06,70,1,1,0,36,False
2007-03-07,76,0,3,0,31,False
2007-03-08,67,2,0,0,34,False
2007-03-09,64,1,3,0,29,False
2007-03-10,67,1,2,0,23,False
2007-03-11,79,1,1,0,30,False
2007-03-12,67,1,1,0,46,False
2007-03-13,63,0,1,1,41,False
2007-03-14,73,1,1,1,35,False
2007-03-15,65,0,1,1,33,False
2007-03-16,71,2,3,0,30,False
2007-03-17,59,0,0,1,28,False
2007-03-18,84,0,3,0,34,False
2007-03-19,60,2,2,0,37,False
2007-03-20,48,1,1,0,37,False
2007-03-21,67,1,2,1,33,False
2007-03-22,66,3,1,1,37,False
2007-03-23,69,1,1,0,34,False
2007-03-24,81,0,1,0,18,False
2007-03-25,98,0,2,0,23,False
2007-03-26,66,1,2,0,34,False
2007-03-27,72,1,0,1,32,False
2007-03-28,81,1,3,0,33,False
2007-03-29,76,1,1,0,37,False
2007-03-30,73,0,1,0,30,False
2007-03-31,68,0,0,0,26,False
2007-04-01,94,0,0,0,26,False
2007-04-02,69,1,3,1,25,False
2007-04-03,66,0,1,0,35,False
2007-04-04,65,1,1,1,38,False
2007-04-05,74,1,1,1,28,False
2007-04-06,74,1,5,1,31,False
2007-04-07,59,0,2,0,18,False
2007-04-08,63,0,1,0,21,False
2007-04-09,61,0,1,0,25,False
2007-04-10,75,1,1,1,38,False
2007-04-11,76,1,1,1,37,False
2007-04-12,68,1,4,1,28,False
2007-04-13,67,0,0,0,24,False
2007-04-14,92,0,0,0,22,False
2007-04-15,83,1,1,0,22,False
2007-04-16,58,1,2,0,36,False
2007-04-17,86,0,2,1,39,False
2007-04-18,60,0,0,1,38,False
2007-04-19,68,0,0,0,24,False
2007-04-20,62,0,1,0,36,False
2007-04-21,89,0,1,0,22,False
2007-04-22,91,3,0,0,22,False
2007-04-23,76,0,2,0,27,False
2007-04-24,83,0,1,0,38,False
2007-04-25,60,1,3,1,30,False
2007-04-26,69,0,1,0,33,False
2007-04-27,68,2,0,0,33,False
2007-04-28,51,0,2,0,30,False
2007-04-29,88,0,2,0,27,False
2007-04-30,57,0,2,0,35,False
2007-05-01,71,1,3,0,31,False
2007-05-02,70,1,4,0,37,False
2007-05-03,66,1,2,0,33,False
2007-05-04,64,0,2,1,36,False
2007-05-05,61,0,1,0,22,False
2007-05-06,72,0,2,0,16,False
2007-05-07,79,1,1,1,27,False
2007-05-08,84,1,3,0,37,False
2007-05-09,70,1,1,0,29,False
2007-05-10,69,0,1,0,39,False
2007-05-11,60,0,1,0,32,False
2007-05-12,86,0,1,0,24,False
2007-05-13,77,0,0,0,17,False
2007-05-14,62,0,2,1,37,False
2007-05-15,67,1,1,0,32,False
2007-05-16,72,2,2,0,30,False
2007-05-17,66,0,1,0,36,False
2007-05-18,71,2,3,0,39,False
2007-05-19,74,1,3,0,26,False
2007-05-20,87,1,0,3,35,False
