date,warfare,waste,bankrupt,bankruptcy,beggar,isPartial
2007-06-24,6,37,2,19,1,False
2007-06-25,10,66,3,43,0,False
2007-06-26,6,67,3,37,0,False
2007-06-27,5,65,2,32,0,False
2007-06-28,5,46,1,39,0,False
2007-06-29,9,50,0,37,0,False
2007-06-30,6,34,3,17,2,False
2007-07-01,7,34,3,24,0,False
2007-07-02,5,63,4,39,0,False
2007-07-03,8,73,2,44,0,False
2007-07-04,6,57,3,23,0,False
2007-07-05,5,80,3,32,0,False
2007-07-06,10,51,3,33,0,False
2007-07-07,5,57,1,27,0,False
2007-07-08,6,43,1,26,2,False
2007-07-09,6,56,3,35,0,False
2007-07-10,8,56,3,39,0,False
2007-07-11,8,55,4,45,0,False
2007-07-12,7,61,4,33,0,False
2007-07-13,10,52,1,34,1,False
2007-07-14,11,40,1,31,0,False
2007-07-15,6,42,1,23,0,False
2007-07-16,8,65,4,35,1,False
2007-07-17,7,66,6,45,0,False
2007-07-18,8,55,7,43,1,False
2007-07-19,7,61,3,41,1,False
2007-07-20,8,53,3,37,1,False
2007-07-21,5,52,2,19,1,False
2007-07-22,7,38,3,24,0,False
2007-07-23,5,67,2,32,0,False
2007-07-24,11,61,2,43,0,False
2007-07-25,7,54,2,46,0,False
2007-07-26,4,56,4,40,0,False
2007-07-27,7,46,3,33,0,False
2007-07-28,2,40,2,22,1,False
2007-07-29,7,31,2,23,0,False
2007-07-30,6,65,3,35,0,False
2007-07-31,5,63,4,37,1,False
2007-08-01,7,53,3,48,0,False
2007-08-02,4,53,5,37,0,False
2007-08-03,6,55,4,36,0,False
2007-08-04,9,45,2,21,0,False
2007-08-05,8,37,2,28,1,False
2007-08-06,6,56,3,43,0,False
2007-08-07,5,54,5,38,0,False
2007-08-08,9,54,5,42,0,False
2007-08-09,5,44,3,41,0,False
2007-08-10,4,49,3,43,0,False
2007-08-11,7,39,4,25,0,False
2007-08-12,5,38,1,18,0,False
2007-08-13,5,55,4,43,0,False
2007-08-14,6,53,3,38,0,False
2007-08-15,5,48,7,40,0,False
2007-08-16,7,52,12,53,0,False
2007-08-17,8,49,7,41,0,False
2007-08-18,5,33,4,22,0,False
2007-08-19,6,35,4,20,0,False
2007-08-20,6,58,3,38,0,False
2007-08-21,12,51,5,49,0,False
2007-08-22,7,47,4,41,0,False
2007-08-23,9,59,5,40,1,False
2007-08-24,8,50,2,34,0,False
2007-08-25,4,43,3,18,1,False
2007-08-26,9,46,3,28,0,False
2007-08-27,7,57,2,39,0,False
2007-08-28,7,59,3,38,0,False
2007-08-29,10,51,4,42,0,False
2007-08-30,5,49,7,40,0,False
2007-08-31,7,56,2,33,0,False
2007-09-01,4,41,2,18,1,False
2007-09-02,5,33,3,20,1,False
2007-09-03,7,50,4,19,0,False
2007-09-04,6,71,3,38,0,False
2007-09-05,7,57,3,44,0,False
2007-09-06,10,62,3,33,1,False
2007-09-07,9,48,3,31,2,False
2007-09-08,10,41,3,19,1,False
2007-09-09,10,34,2,18,1,False
2007-09-10,7,50,4,34,0,False
2007-09-11,9,49,3,41,0,False
2007-09-12,9,53,3,45,0,False
2007-09-13,7,48,3,32,1,False
2007-09-14,9,49,4,41,0,False
2007-09-15,7,43,2,22,0,False
2007-09-16,8,31,3,21,1,False
2007-09-17,8,59,1,42,1,False
2007-09-18,10,63,3,45,1,False
2007-09-19,7,47,4,32,1,False
2007-09-20,5,54,3,37,0,False
2007-09-21,10,59,3,38,0,False
2007-09-22,9,33,2,23,0,False
2007-09-23,6,40,2,20,1,False
2007-09-24,11,58,2,34,1,False
2007-09-25,9,51,3,43,0,False
2007-09-26,12,60,3,39,0,False
2007-09-27,10,47,5,40,0,False
2007-09-28,7,46,5,31,0,False
2007-09-29,9,34,3,23,1,False
2007-09-30,9,37,2,17,0,False
2007-10-01,8,61,1,38,0,False
2007-10-02,10,58,4,40,1,False
2007-10-03,6,55,4,34,1,False
2007-10-04,10,56,2,36,1,False
2007-10-05,12,52,3,31,1,False
2007-10-06,7,41,1,30,1,False
2007-10-07,6,43,2,17,0,False
2007-10-08,8,66,2,29,1,False
2007-10-09,10,58,3,40,0,False
