date,advantage,affluence,affluent,afloat,allowance,isPartial
2008-03-04,79,1,3,0,18,False
2008-03-05,78,0,1,0,11,False
2008-03-06,78,0,1,0,12,False
2008-03-07,75,1,1,0,12,False
2008-03-08,59,0,3,1,7,False
2008-03-09,55,0,3,2,12,False
2008-03-10,84,1,1,1,16,False
2008-03-11,75,0,1,0,11,False
2008-03-12,71,0,0,0,13,False
2008-03-13,72,1,1,0,18,False
2008-03-14,74,1,2,1,15,False
2008-03-15,63,0,1,0,10,False
2008-03-16,63,1,1,0,17,False
2008-03-17,92,0,1,0,10,False
2008-03-18,71,1,0,0,11,False
2008-03-19,90,0,2,1,14,False
2008-03-20,76,0,2,2,16,False
2008-03-21,81,1,1,0,17,False
2008-03-22,66,0,2,0,13,False
2008-03-23,72,1,1,0,11,False
2008-03-24,87,1,1,0,12,False
2008-03-25,68,0,1,1,18,False
2008-03-26,84,0,0,1,18,False
2008-03-27,76,0,2,1,11,False
2008-03-28,86,0,1,0,11,False
2008-03-29,72,0,3,1,16,False
2008-03-30,61,0,0,1,17,False
2008-03-31,80,0,0,1,15,False
2008-04-01,84,1,1,0,16,False
2008-04-02,91,1,2,2,18,False
2008-04-03,74,1,1,0,13,False
2008-04-04,77,1,2,0,15,False
2008-04-05,59,0,1,1,8,False
2008-04-06,53,1,1,0,10,False
2008-04-07,81,0,2,0,14,False
2008-04-08,82,0,2,1,13,False
2008-04-09,85,0,1,2,11,False
2008-04-10,70,0,2,0,16,False
2008-04-11,78,0,1,2,10,False
2008-04-12,61,0,1,0,12,False
2008-04-13,60,2,1,1,12,False
2008-04-14,79,0,3,1,20,False
2008-04-15,93,0,1,0,16,False
2008-04-16,75,1,1,1,14,False
2008-04-17,100,1,3,0,12,False
2008-04-18,71,0,1,1,10,False
2008-04-19,59,0,0,0,12,False
2008-04-20,76,0,1,0,11,False
2008-04-21,85,0,1,0,19,False
2008-04-22,80,0,2,0,9,False
2008-04-23,82,0,0,0,12,False
2008-04-24,74,0,1,0,13,False
2008-04-25,80,2,2,1,7,False
2008-04-26,64,0,1,0,6,False
2008-04-27,65,0,1,0,15,False
2008-04-28,86,0,0,0,13,False
2008-04-29,78,1,2,1,14,False
2008-04-30,89,1,1,1,13,False
2008-05-01,92,0,2,1,15,False
2008-05-02,66,1,0,0,9,False
2008-05-03,65,0,0,1,7,False
2008-05-04,66,1,0,0,9,False
2008-05-05,77,0,2,0,13,False
2008-05-06,83,0,2,1,13,False
2008-05-07,72,0,2,0,12,False
2008-05-08,83,1,0,1,14,False
2008-05-09,72,0,1,2,8,False
2008-05-10,66,0,1,1,7,False
2008-05-11,62,0,1,1,7,False
2008-05-12,74,1,1,2,13,False
2008-05-13,68,0,1,1,17,False
2008-05-14,78,0,1,0,16,False
2008-05-15,75,0,2,0,14,False
2008-05-16,72,0,1,1,14,False
