date,blackmail,bribe,bum,commoner,corrupt,isPartial
2008-03-04,4,4,48,0,71,False
2008-03-05,14,4,28,0,67,False
2008-03-06,4,4,55,0,67,False
2008-03-07,11,2,28,2,60,False
2008-03-08,3,3,50,0,50,False
2008-03-09,9,6,72,0,54,False
2008-03-10,12,4,39,0,57,False
2008-03-11,6,4,49,0,82,False
2008-03-12,6,2,52,0,63,False
2008-03-13,4,2,48,4,69,False
2008-03-14,0,4,53,0,53,False
2008-03-15,3,0,56,0,38,False
2008-03-16,21,0,43,3,52,False
2008-03-17,2,2,31,2,77,False
2008-03-18,10,2,50,0,67,False
2008-03-19,6,6,52,0,69,False
2008-03-20,5,0,48,5,58,False
2008-03-21,8,0,34,0,58,False
2008-03-22,3,0,38,0,59,False
2008-03-23,7,11,55,0,74,False
2008-03-24,0,2,49,0,52,False
2008-03-25,4,2,41,0,49,False
2008-03-26,8,4,33,2,41,False
2008-03-27,6,2,45,2,68,False
2008-03-28,4,2,39,2,55,False
2008-03-29,6,0,72,0,51,False
2008-03-30,9,9,57,0,48,False
2008-03-31,2,0,41,0,61,False
2008-04-01,8,2,53,2,35,False
2008-04-02,6,10,48,4,62,False
2008-04-03,10,2,59,2,79,False
2008-04-04,2,9,49,0,45,False
2008-04-05,9,6,55,0,55,False
2008-04-06,12,12,73,3,42,False
2008-04-07,6,10,32,2,56,False
2008-04-08,8,2,44,0,58,False
2008-04-09,8,0,38,10,68,False
2008-04-10,6,4,53,2,65,False
2008-04-11,0,2,47,0,54,False
2008-04-12,3,3,79,0,45,False
2008-04-13,9,0,63,0,48,False
2008-04-14,14,4,40,2,78,False
2008-04-15,25,0,43,2,71,False
2008-04-16,16,2,57,2,44,False
2008-04-17,6,2,53,2,63,False
2008-04-18,13,0,57,0,73,False
2008-04-19,3,0,51,0,45,False
2008-04-20,13,3,38,0,80,False
2008-04-21,0,4,46,4,69,False
2008-04-22,6,6,57,0,41,False
2008-04-23,8,6,62,0,61,False
2008-04-24,6,2,55,0,78,False
2008-04-25,11,7,56,0,53,False
2008-04-26,6,3,47,0,72,False
2008-04-27,9,0,56,0,40,False
2008-04-28,8,2,34,2,53,False
2008-04-29,12,6,45,4,56,False
2008-04-30,4,0,46,0,68,False
2008-05-01,6,6,45,0,51,False
2008-05-02,15,6,53,2,60,False
2008-05-03,9,6,61,3,31,False
2008-05-04,10,3,42,0,52,False
2008-05-05,4,2,42,0,46,False
2008-05-06,4,2,48,4,54,False
2008-05-07,4,2,55,0,55,False
2008-05-08,12,4,52,0,40,False
2008-05-09,4,9,53,2,57,False
2008-05-10,10,3,45,0,71,False
2008-05-11,7,3,52,3,72,False
2008-05-12,10,2,46,0,54,False
2008-05-13,10,2,49,0,69,False
2008-05-14,4,4,60,0,64,False
2008-05-15,12,4,47,4,69,False
2008-05-16,9,4,50,0,48,False
2008-05-17,3,6,65,3,45,False
2008-05-18,10,0,45,6,26,False
2008-05-19,4,2,62,4,52,False
2008-05-20,0,2,42,2,58,False
2008-05-21,4,4,69,0,63,False
2008-05-22,12,6,27,0,52,False
2008-05-23,2,7,59,5,41,False
2008-05-24,0,3,54,0,47,False
2008-05-25,4,0,65,0,61,False
2008-05-26,0,0,58,3,36,False
2008-05-27,6,2,45,2,65,False
2008-05-28,4,6,47,2,30,False
2008-05-29,0,8,39,2,75,False
2008-05-30,2,4,59,2,53,False
2008-05-31,12,9,72,0,40,False
2008-06-01,3,3,47,0,54,False
2008-06-02,10,0,43,0,33,False
2008-06-03,6,2,51,0,65,False
2008-06-04,10,4,52,2,63,False
2008-06-05,0,4,54,0,43,False
2008-06-06,7,2,53,4,60,False
2008-06-07,3,7,65,3,82,False
2008-06-08,10,10,39,0,49,False
2008-06-09,6,0,36,4,46,False
2008-06-10,10,4,55,0,63,False
2008-06-11,4,9,65,0,52,False
2008-06-12,2,4,44,2,61,False
2008-06-13,2,9,28,2,44,False
2008-06-14,7,7,34,3,51,False
2008-06-15,3,7,49,3,52,False
2008-06-16,9,2,77,0,41,False
2008-06-17,4,11,38,0,49,False
2008-06-18,6,6,49,2,53,False
2008-06-19,6,2,48,0,50,False
2008-06-20,7,0,56,0,65,False
2008-06-21,7,3,51,0,47,False
