date,endow,entrepreneurial,equity,fellowship,frugal,isPartial
2008-03-04,0,1,69,53,9,False
2008-03-05,0,3,82,47,5,False
2008-03-06,0,1,84,49,4,False
2008-03-07,0,2,68,54,4,False
2008-03-08,0,0,50,39,5,False
2008-03-09,0,1,49,59,3,False
2008-03-10,0,2,78,46,4,False
2008-03-11,0,2,79,43,6,False
2008-03-12,0,1,78,42,5,False
2008-03-13,0,2,79,48,4,False
2008-03-14,1,2,70,43,10,False
2008-03-15,0,0,50,41,10,False
2008-03-16,0,0,48,64,5,False
2008-03-17,0,2,66,52,9,False
2008-03-18,0,1,92,47,6,False
2008-03-19,0,3,96,49,5,False
2008-03-20,0,2,81,53,3,False
2008-03-21,0,2,71,57,5,False
2008-03-22,0,2,45,67,7,False
2008-03-23,0,0,51,100,6,False
2008-03-24,0,3,92,54,6,False
2008-03-25,0,1,82,54,4,False
2008-03-26,0,1,84,58,5,False
2008-03-27,0,4,79,42,6,False
2008-03-28,0,1,72,48,5,False
2008-03-29,1,1,49,54,4,False
2008-03-30,1,1,48,61,6,False
2008-03-31,0,1,78,53,6,False
2008-04-01,0,2,80,59,9,False
2008-04-02,0,2,85,47,6,False
2008-04-03,0,2,75,51,6,False
2008-04-04,0,1,86,48,7,False
2008-04-05,1,1,53,51,9,False
2008-04-06,0,1,53,66,8,False
2008-04-07,0,1,88,54,7,False
2008-04-08,0,2,79,50,4,False
2008-04-09,0,2,80,55,4,False
2008-04-10,0,0,65,48,4,False
2008-04-11,2,2,58,48,10,False
2008-04-12,0,0,47,37,7,False
2008-04-13,0,1,55,62,6,False
2008-04-14,0,1,99,56,4,False
2008-04-15,0,4,94,48,5,False
2008-04-16,0,3,67,45,4,False
2008-04-17,0,1,84,42,11,False
2008-04-18,1,2,83,51,8,False
2008-04-19,0,1,43,47,8,False
2008-04-20,0,1,52,53,7,False
2008-04-21,0,1,83,50,6,False
2008-04-22,0,3,81,45,4,False
2008-04-23,0,3,79,53,5,False
2008-04-24,0,2,72,45,7,False
2008-04-25,0,1,69,38,8,False
2008-04-26,0,1,45,39,7,False
2008-04-27,0,1,39,53,7,False
2008-04-28,0,2,79,52,6,False
2008-04-29,0,4,88,42,9,False
2008-04-30,0,1,83,41,6,False
2008-05-01,0,0,69,43,6,False
2008-05-02,0,0,84,46,3,False
2008-05-03,0,1,42,34,10,False
2008-05-04,0,0,52,55,5,False
2008-05-05,0,0,84,45,6,False
2008-05-06,0,3,83,43,5,False
2008-05-07,0,1,70,35,5,False
2008-05-08,0,2,72,42,4,False
2008-05-09,0,2,65,43,9,False
2008-05-10,2,1,42,39,8,False
2008-05-11,1,0,45,50,4,False
2008-05-12,0,2,76,45,7,False
2008-05-13,0,0,68,46,5,False
2008-05-14,0,2,70,45,8,False
2008-05-15,0,1,58,42,8,False
2008-05-16,1,2,63,37,5,False
2008-05-17,0,0,30,29,5,False
2008-05-18,0,0,40,54,7,False
2008-05-19,0,1,76,51,3,False
2008-05-20,1,2,78,40,7,False
2008-05-21,0,1,76,46,9,False
2008-05-22,0,2,76,45,5,False
2008-05-23,1,0,65,39,4,False
2008-05-24,1,1,32,36,9,False
2008-05-25,0,2,28,53,8,False
2008-05-26,0,0,44,44,11,False
2008-05-27,0,2,77,40,9,False
2008-05-28,0,2,73,41,4,False
2008-05-29,0,2,73,42,9,False
2008-05-30,1,2,60,42,7,False
2008-05-31,0,0,33,39,7,False
2008-06-01,0,1,50,63,7,False
2008-06-02,0,2,80,56,5,False
2008-06-03,0,1,74,39,9,False
2008-06-04,0,2,77,39,5,False
2008-06-05,0,0,73,40,7,False
2008-06-06,0,1,64,38,9,False
2008-06-07,1,0,40,41,6,False
2008-06-08,0,1,28,44,6,False
2008-06-09,0,0,69,43,10,False
2008-06-10,0,2,70,38,5,False
2008-06-11,1,1,76,44,6,False
2008-06-12,1,1,75,42,6,False
2008-06-13,1,2,68,35,8,False
2008-06-14,1,1,30,39,6,False
2008-06-15,0,0,40,44,11,False
2008-06-16,0,2,78,41,5,False
2008-06-17,0,1,81,41,6,False
2008-06-18,0,0,76,43,6,False
2008-06-19,0,2,76,41,7,False
2008-06-20,0,0,66,40,4,False
2008-06-21,0,2,50,40,9,False
2008-06-22,1,1,46,54,10,False
2008-06-23,0,2,78,44,6,False
2008-06-24,0,0,87,48,5,False
2008-06-25,0,1,66,51,7,False
2008-06-26,0,1,73,37,8,False
2008-06-27,0,3,67,39,6,False
2008-06-28,0,2,35,42,5,False
2008-06-29,0,1,40,59,6,False
2008-06-30,1,2,70,52,7,False
2008-07-01,1,3,75,51,9,False
2008-07-02,2,1,82,42,12,False
2008-07-03,0,1,62,39,8,False
2008-07-04,0,0,38,31,6,False
2008-07-05,0,0,33,41,3,False
2008-07-06,0,0,38,61,5,False
2008-07-07,1,0,62,40,9,False
2008-07-08,0,2,75,49,10,False
2008-07-09,0,2,65,40,8,False
2008-07-10,1,0,80,40,9,False
2008-07-11,0,1,74,39,7,False
2008-07-12,0,0,40,26,9,False
2008-07-13,0,1,39,66,5,False
2008-07-14,0,1,64,48,5,False
2008-07-15,0,2,83,41,8,False
2008-07-16,0,1,76,46,6,False
2008-07-17,1,1,66,47,10,False
2008-07-18,0,2,64,47,7,False
2008-07-19,0,2,32,35,8,False
2008-07-20,0,2,36,49,14,False
2008-07-21,0,2,69,48,8,False
2008-07-22,0,2,66,46,5,False
2008-07-23,0,0,74,52,7,False
2008-07-24,0,1,69,45,7,False
2008-07-25,1,1,67,43,6,False
2008-07-26,0,2,37,35,8,False
2008-07-27,0,2,42,56,4,False
2008-07-28,0,2,79,43,7,False
2008-07-29,0,1,80,45,10,False
2008-07-30,0,2,72,45,4,False
2008-07-31,0,0,72,57,7,False
2008-08-01,0,2,63,43,9,False
2008-08-02,0,1,36,33,8,False
2008-08-03,0,2,38,69,9,False
2008-08-04,0,1,71,53,8,False
2008-08-05,1,0,64,55,5,False
2008-08-06,0,1,72,46,6,False
2008-08-07,0,1,71,47,8,False
2008-08-08,1,0,46,47,6,False
2008-08-09,0,1,31,38,4,False
2008-08-10,0,2,35,58,13,False
2008-08-11,0,0,61,39,5,False
2008-08-12,0,1,71,47,5,False
2008-08-13,0,1,57,35,3,False
2008-08-14,0,2,66,40,7,False
2008-08-15,0,1,55,32,6,False
2008-08-16,1,1,40,35,7,False
2008-08-17,0,2,27,59,5,False
2008-08-18,0,2,51,40,8,False
2008-08-19,0,0,69,44,9,False
2008-08-20,0,1,67,43,6,False
2008-08-21,0,0,55,54,6,False
2008-08-22,0,2,53,35,10,False
2008-08-23,0,0,32,48,8,False
2008-08-24,0,1,22,56,4,False
2008-08-25,0,1,62,50,7,False
2008-08-26,0,1,67,46,6,False
2008-08-27,0,1,69,46,4,False
2008-08-28,0,1,61,42,8,False
2008-08-29,0,1,61,43,2,False
2008-08-30,1,1,31,33,9,False
2008-08-31,0,0,29,64,8,False
2008-09-01,0,1,38,40,11,False
2008-09-02,0,3,62,57,8,False
2008-09-03,0,2,78,43,6,False
2008-09-04,0,2,72,63,6,False
2008-09-05,0,6,65,43,4,False
2008-09-06,1,1,38,41,7,False
2008-09-07,0,1,32,64,4,False
2008-09-08,1,2,76,48,9,False
2008-09-09,0,1,68,50,8,False
2008-09-10,0,4,72,49,5,False
2008-09-11,1,3,57,49,7,False
2008-09-12,0,1,61,46,5,False
2008-09-13,0,3,40,38,11,False
2008-09-14,0,1,42,62,9,False
2008-09-15,0,0,75,45,4,False
2008-09-16,0,3,78,46,5,False
2008-09-17,0,2,79,48,5,False
2008-09-18,0,3,72,40,7,False
2008-09-19,0,1,71,48,6,False
2008-09-20,1,0,39,38,5,False
2008-09-21,0,0,50,59,9,False
2008-09-22,1,3,78,48,6,False
2008-09-23,0,2,73,57,9,False
2008-09-24,0,2,69,44,4,False
2008-09-25,0,2,77,42,12,False
2008-09-26,0,4,76,45,6,False
2008-09-27,0,1,30,41,5,False
2008-09-28,0,1,43,58,7,False
2008-09-29,0,3,81,47,9,False
2008-09-30,0,2,84,45,6,False
2008-10-01,0,2,73,50,7,False
2008-10-02,0,3,67,45,8,False
2008-10-03,0,1,61,40,9,False
2008-10-04,1,1,42,48,9,False
2008-10-05,1,0,52,57,5,False
2008-10-06,0,2,83,50,15,False
2008-10-07,0,3,74,49,11,False
2008-10-08,1,1,76,57,8,False
2008-10-09,0,2,72,41,7,False
2008-10-10,0,1,70,37,9,False
2008-10-11,0,1,44,47,6,False
2008-10-12,0,3,44,55,10,False
2008-10-13,0,1,71,46,11,False
2008-10-14,1,3,71,53,8,False
2008-10-15,0,3,72,44,7,False
2008-10-16,0,0,65,40,7,False
2008-10-17,0,1,58,44,9,False
2008-10-18,0,0,43,38,9,False
2008-10-19,0,1,35,44,5,False
2008-10-20,1,2,67,51,6,False
2008-10-21,0,2,63,59,10,False
2008-10-22,1,2,69,47,8,False
2008-10-23,0,2,65,44,9,False
2008-10-24,0,2,66,42,10,False
2008-10-25,0,4,38,36,8,False
2008-10-26,1,1,29,51,10,False
2008-10-27,0,2,64,54,6,False
2008-10-28,0,1,65,51,7,False
2008-10-29,0,3,71,51,6,False
2008-10-30,0,1,60,47,5,False
2008-10-31,0,1,62,50,7,False
2008-11-01,0,1,44,44,8,False
2008-11-02,1,1,38,53,5,False
2008-11-03,0,2,53,48,5,False
2008-11-04,0,1,67,46,4,False
2008-11-05,0,1,53,41,6,False
2008-11-06,0,2,60,47,4,False
2008-11-07,0,2,62,42,4,False
2008-11-08,0,1,37,52,7,False
2008-11-09,1,1,39,59,7,False
2008-11-10,0,0,65,49,6,False
2008-11-11,0,3,64,52,8,False
2008-11-12,0,1,85,51,5,False
2008-11-13,0,1,66,54,8,False
2008-11-14,1,1,64,49,11,False
2008-11-15,0,0,36,43,7,False
2008-11-16,0,1,48,50,11,False
2008-11-17,1,2,67,55,8,False
2008-11-18,0,0,68,50,10,False
2008-11-19,1,3,73,51,7,False
2008-11-20,0,2,64,56,8,False
2008-11-21,0,0,59,43,6,False
2008-11-22,1,1,35,48,11,False
2008-11-23,0,0,41,51,9,False
2008-11-24,0,1,67,49,10,False
2008-11-25,0,1,82,47,7,False
2008-11-26,0,0,53,34,11,False
2008-11-27,0,3,35,26,5,False
2008-11-28,0,1,34,22,7,False
