date,bargain,benefactor,beneficiary,benefit,benevolence,isPartial
2008-11-13,32,1,7,87,2,False
2008-11-14,27,1,5,75,0,False
2008-11-15,37,2,2,46,1,False
2008-11-16,22,1,5,61,2,False
2008-11-17,24,1,7,81,1,False
2008-11-18,20,2,8,79,1,False
2008-11-19,22,1,8,90,2,False
2008-11-20,31,1,8,76,3,False
2008-11-21,24,0,7,85,0,False
2008-11-22,34,0,0,50,2,False
2008-11-23,26,3,7,51,0,False
2008-11-24,28,1,11,70,1,False
2008-11-25,31,1,5,79,2,False
2008-11-26,27,1,5,65,0,False
2008-11-27,28,0,4,34,0,False
2008-11-28,36,1,1,54,0,False
2008-11-29,43,1,3,44,1,False
2008-11-30,35,2,1,51,1,False
2008-12-01,30,1,7,86,1,False
2008-12-02,28,1,6,81,2,False
2008-12-03,28,1,4,96,2,False
2008-12-04,30,1,7,88,2,False
2008-12-05,33,3,4,86,0,False
2008-12-06,36,1,4,66,1,False
2008-12-07,43,3,2,55,1,False
2008-12-08,29,2,7,80,2,False
2008-12-09,30,1,7,82,1,False
2008-12-10,33,1,8,68,2,False
2008-12-11,21,1,10,80,1,False
2008-12-12,25,1,5,77,1,False
2008-12-13,29,0,4,65,0,False
2008-12-14,32,2,1,47,2,False
2008-12-15,28,0,5,69,0,False
2008-12-16,31,2,5,63,1,False
2008-12-17,34,3,6,84,1,False
2008-12-18,32,0,7,66,1,False
2008-12-19,25,0,6,58,1,False
2008-12-20,31,1,3,33,0,False
2008-12-21,33,2,4,46,1,False
2008-12-22,26,0,5,55,0,False
2008-12-23,26,0,4,53,1,False
2008-12-24,19,3,3,50,2,False
2008-12-25,22,1,3,34,0,False
2008-12-26,34,1,5,49,0,False
2008-12-27,26,0,3,39,1,False
2008-12-28,36,1,2,36,2,False
2008-12-29,35,1,4,69,0,False
2008-12-30,24,1,9,66,1,False
2008-12-31,29,1,7,62,0,False
2009-01-01,29,0,2,39,0,False
2009-01-02,32,2,3,68,0,False
2009-01-03,43,1,1,56,1,False
2009-01-04,30,1,6,66,0,False
2009-01-05,29,1,7,83,1,False
2009-01-06,30,1,5,75,1,False
2009-01-07,21,1,6,69,1,False
2009-01-08,29,1,6,76,1,False
2009-01-09,25,1,8,62,0,False
2009-01-10,30,1,2,44,0,False
2009-01-11,30,1,4,44,0,False
2009-01-12,23,0,9,72,1,False
2009-01-13,26,0,4,84,2,False
2009-01-14,24,0,9,88,1,False
2009-01-15,27,0,7,77,0,False
