date,costliness,costly,debtor,default,depression,isPartial
2008-11-13,0,1,1,78,93,False
2008-11-14,0,1,1,77,64,False
2008-11-15,0,0,0,76,66,False
2008-11-16,0,0,1,83,64,False
2008-11-17,0,0,0,75,85,False
2008-11-18,0,1,1,76,81,False
2008-11-19,0,1,1,76,81,False
2008-11-20,0,1,1,78,100,False
2008-11-21,0,1,1,70,75,False
2008-11-22,0,0,0,85,67,False
2008-11-23,0,1,1,59,70,False
2008-11-24,0,0,1,75,77,False
2008-11-25,0,0,1,73,77,False
2008-11-26,0,0,1,81,57,False
2008-11-27,0,1,0,74,40,False
2008-11-28,0,1,1,89,45,False
2008-11-29,0,1,0,72,64,False
2008-11-30,0,1,0,87,69,False
2008-12-01,0,1,0,67,81,False
2008-12-02,0,0,1,75,87,False
2008-12-03,0,0,1,78,81,False
2008-12-04,0,1,1,67,83,False
2008-12-05,0,1,2,78,80,False
2008-12-06,0,1,0,70,60,False
2008-12-07,0,0,1,75,76,False
2008-12-08,0,0,1,75,78,False
2008-12-09,0,0,0,68,77,False
2008-12-10,0,1,0,69,75,False
2008-12-11,0,0,2,67,67,False
2008-12-12,0,1,1,72,69,False
2008-12-13,0,0,1,76,53,False
2008-12-14,0,1,0,81,62,False
2008-12-15,0,0,1,73,73,False
2008-12-16,0,0,2,72,69,False
2008-12-17,0,1,1,74,66,False
2008-12-18,0,1,1,78,63,False
2008-12-19,0,0,1,76,55,False
2008-12-20,0,0,0,80,39,False
2008-12-21,0,1,0,84,49,False
2008-12-22,0,0,1,85,49,False
2008-12-23,0,0,0,91,50,False
2008-12-24,0,1,0,93,41,False
2008-12-25,0,1,0,92,34,False
2008-12-26,0,0,0,85,40,False
2008-12-27,0,0,1,79,38,False
2008-12-28,0,0,0,76,49,False
2008-12-29,0,1,0,86,51,False
2008-12-30,0,0,1,80,45,False
2008-12-31,0,1,1,77,48,False
2009-01-01,0,0,0,82,56,False
2009-01-02,0,0,1,85,47,False
2009-01-03,0,1,0,80,51,False
2009-01-04,0,0,0,84,53,False
2009-01-05,0,1,1,61,59,False
2009-01-06,0,1,0,77,74,False
2009-01-07,0,0,1,74,66,False
2009-01-08,0,0,1,80,64,False
2009-01-09,0,1,2,73,65,False
2009-01-10,0,0,0,80,51,False
2009-01-11,0,0,1,77,64,False
2009-01-12,0,0,1,71,69,False
2009-01-13,0,0,2,77,61,False
2009-01-14,0,0,1,81,61,False
2009-01-15,0,0,1,77,60,False
2009-01-16,0,0,1,84,60,False
2009-01-17,0,0,0,81,50,False
2009-01-18,0,1,0,75,54,False
2009-01-19,0,0,1,77,61,False
2009-01-20,0,0,1,72,58,False
2009-01-21,0,1,1,84,57,False
2009-01-22,0,0,0,72,69,False
2009-01-23,0,0,2,80,66,False
2009-01-24,0,1,0,76,56,False
2009-01-25,0,0,0,78,62,False
2009-01-26,0,1,0,72,69,False
2009-01-27,0,1,1,80,78,False
2009-01-28,0,1,1,76,59,False
2009-01-29,0,1,1,88,74,False
2009-01-30,0,1,0,81,69,False
2009-01-31,0,1,1,73,53,False
2009-02-01,0,1,1,75,60,False
2009-02-02,0,0,1,72,71,False
2009-02-03,0,0,1,84,77,False
2009-02-04,0,0,1,71,66,False
2009-02-05,0,1,1,79,77,False
2009-02-06,0,1,0,77,77,False
2009-02-07,0,0,0,79,59,False
2009-02-08,0,0,0,75,67,False
2009-02-09,0,0,2,72,81,False
2009-02-10,0,0,1,73,85,False
2009-02-11,0,0,2,79,79,False
2009-02-12,0,0,1,82,78,False
2009-02-13,0,0,0,82,68,False
2009-02-14,0,0,1,76,50,False
2009-02-15,0,1,1,90,63,False
2009-02-16,0,1,1,85,62,False
2009-02-17,0,1,2,77,72,False
2009-02-18,0,1,1,81,90,False
2009-02-19,0,0,1,79,78,False
2009-02-20,0,1,1,82,71,False
2009-02-21,0,0,0,91,58,False
2009-02-22,0,0,1,80,72,False
2009-02-23,0,1,2,73,78,False
2009-02-24,0,2,1,76,87,False
2009-02-25,0,0,1,72,73,False
2009-02-26,0,0,1,86,81,False
2009-02-27,0,0,1,82,93,False
2009-02-28,0,0,0,81,64,False
2009-03-01,0,1,1,78,69,False
2009-03-02,0,2,1,77,85,False
2009-03-03,0,1,0,74,95,False
2009-03-04,0,1,1,79,86,False
2009-03-05,0,1,1,76,99,False
2009-03-06,0,0,1,80,90,False
2009-03-07,0,0,0,69,70,False
2009-03-08,0,1,1,84,75,False
