date,inexpensive,inherit,invaluable,legal,lucrative,isPartial
2008-11-13,5,1,0,61,1,False
2008-11-14,7,1,0,56,0,False
2008-11-15,7,1,0,46,1,False
2008-11-16,9,1,0,56,0,False
2008-11-17,8,0,0,68,0,False
2008-11-18,7,1,0,66,0,False
2008-11-19,7,1,1,65,0,False
2008-11-20,6,1,0,65,0,False
2008-11-21,7,1,0,55,0,False
2008-11-22,5,1,0,42,0,False
2008-11-23,6,2,0,48,0,False
2008-11-24,7,2,0,56,0,False
2008-11-25,7,1,0,65,0,False
2008-11-26,7,0,0,56,0,False
2008-11-27,5,1,0,35,0,False
2008-11-28,6,1,0,41,0,False
2008-11-29,8,0,0,44,0,False
2008-11-30,7,1,1,48,0,False
2008-12-01,8,1,0,59,0,False
2008-12-02,7,1,0,71,1,False
2008-12-03,8,1,0,65,1,False
2008-12-04,8,1,0,66,0,False
2008-12-05,6,0,0,58,0,False
2008-12-06,8,1,0,49,0,False
2008-12-07,8,1,1,44,0,False
2008-12-08,7,1,0,65,0,False
2008-12-09,6,1,0,100,0,False
2008-12-10,9,1,0,75,0,False
2008-12-11,7,1,0,66,0,False
2008-12-12,8,0,0,61,0,False
2008-12-13,9,1,1,48,0,False
2008-12-14,9,0,0,45,0,False
2008-12-15,7,0,0,62,0,False
2008-12-16,6,1,0,56,0,False
2008-12-17,8,1,0,61,0,False
2008-12-18,6,1,0,50,0,False
2008-12-19,5,1,0,50,1,False
2008-12-20,6,1,0,39,0,False
2008-12-21,7,0,0,39,0,False
2008-12-22,5,1,0,53,1,False
2008-12-23,5,1,1,48,0,False
2008-12-24,5,1,0,43,1,False
2008-12-25,6,1,0,40,0,False
2008-12-26,6,0,0,44,0,False
2008-12-27,7,1,0,49,0,False
2008-12-28,7,0,0,44,0,False
2008-12-29,7,1,0,57,0,False
2008-12-30,6,1,0,54,0,False
2008-12-31,5,1,0,51,0,False
2009-01-01,7,0,0,44,0,False
2009-01-02,7,0,0,51,0,False
2009-01-03,10,0,0,44,0,False
2009-01-04,8,1,0,43,0,False
2009-01-05,7,0,0,60,0,False
2009-01-06,5,1,0,61,0,False
2009-01-07,8,1,0,58,0,False
2009-01-08,5,1,0,65,0,False
2009-01-09,8,1,0,64,1,False
2009-01-10,9,1,0,42,0,False
2009-01-11,10,1,0,43,0,False
2009-01-12,8,0,0,60,0,False
2009-01-13,7,1,0,68,0,False
2009-01-14,6,1,0,59,0,False
2009-01-15,5,2,1,66,0,False
2009-01-16,6,1,0,56,0,False
2009-01-17,7,1,0,48,0,False
2009-01-18,9,1,0,42,0,False
2009-01-19,7,1,1,55,0,False
2009-01-20,6,1,0,57,0,False
2009-01-21,6,1,1,64,0,False
2009-01-22,7,1,0,67,0,False
2009-01-23,5,1,0,62,0,False
