date,gain,generosity,gift,gold,guide,isPartial
2009-07-25,5,0,15,39,68,False
2009-07-26,6,0,15,45,71,False
2009-07-27,5,0,17,36,65,False
2009-07-28,6,0,17,34,64,False
2009-07-29,8,0,15,35,61,False
2009-07-30,6,0,17,34,56,False
2009-07-31,5,0,15,33,58,False
2009-08-01,6,0,15,36,71,False
2009-08-02,6,0,16,39,76,False
2009-08-03,6,0,17,36,63,False
2009-08-04,5,0,18,33,60,False
2009-08-05,7,0,17,32,60,False
2009-08-06,6,0,16,35,59,False
2009-08-07,6,0,16,32,61,False
2009-08-08,5,0,16,36,66,False
2009-08-09,7,0,14,36,76,False
2009-08-10,7,0,17,33,64,False
2009-08-11,6,0,17,35,62,False
2009-08-12,5,0,15,33,62,False
2009-08-13,6,0,17,33,58,False
2009-08-14,6,0,15,34,60,False
2009-08-15,5,0,16,32,69,False
2009-08-16,6,0,15,34,77,False
2009-08-17,6,0,16,34,65,False
2009-08-18,6,0,16,34,60,False
2009-08-19,5,0,17,31,62,False
2009-08-20,5,0,17,32,59,False
2009-08-21,5,0,17,32,59,False
2009-08-22,5,0,16,34,70,False
2009-08-23,5,0,15,33,73,False
2009-08-24,5,0,15,34,61,False
2009-08-25,6,0,15,33,62,False
2009-08-26,5,0,16,35,59,False
2009-08-27,6,0,16,32,60,False
2009-08-28,5,0,16,32,58,False
2009-08-29,5,0,15,34,70,False
2009-08-30,5,0,14,32,77,False
2009-08-31,6,0,16,30,64,False
2009-09-01,6,0,16,32,57,False
2009-09-02,7,0,16,34,59,False
2009-09-03,5,0,15,34,57,False
2009-09-04,6,0,15,36,57,False
2009-09-05,6,0,14,35,71,False
2009-09-06,5,0,16,37,74,False
2009-09-07,7,0,16,37,79,False
2009-09-08,6,0,15,40,67,False
2009-09-09,5,0,17,35,61,False
2009-09-10,6,0,15,36,59,False
2009-09-11,6,0,18,37,58,False
2009-09-12,5,0,17,38,72,False
2009-09-13,5,0,15,37,82,False
2009-09-14,7,0,15,34,64,False
2009-09-15,6,0,16,34,59,False
2009-09-16,5,0,16,37,57,False
2009-09-17,7,0,17,38,63,False
2009-09-18,6,0,15,35,61,False
2009-09-19,6,0,14,38,72,False
2009-09-20,6,0,15,35,83,False
2009-09-21,6,0,16,36,67,False
2009-09-22,7,0,15,35,69,False
2009-09-23,7,0,17,34,63,False
2009-09-24,6,0,17,39,62,False
2009-09-25,6,0,16,38,59,False
2009-09-26,5,0,15,35,78,False
2009-09-27,6,0,14,37,79,False
2009-09-28,6,0,17,37,65,False
2009-09-29,5,0,15,35,64,False
2009-09-30,6,0,16,33,59,False
2009-10-01,6,0,16,35,61,False
2009-10-02,5,0,17,35,58,False
2009-10-03,4,0,15,32,74,False
2009-10-04,5,0,16,36,76,False
2009-10-05,6,0,17,37,62,False
2009-10-06,6,0,15,44,60,False
2009-10-07,6,0,16,40,59,False
2009-10-08,6,0,15,40,59,False
2009-10-09,5,0,17,37,56,False
2009-10-10,5,0,16,35,72,False
2009-10-11,6,0,17,37,72,False
2009-10-12,5,0,19,39,61,False
2009-10-13,6,0,19,39,58,False
2009-10-14,5,0,17,40,58,False
