date,boom,breadwinner,buy,capitalize,charitable,isPartial
2012-05-06,1,0,30,0,0,False
2012-05-07,1,0,25,0,0,False
2012-05-08,1,0,25,0,0,False
2012-05-09,1,0,24,0,0,False
2012-05-10,1,0,25,0,0,False
2012-05-11,1,0,25,0,0,False
2012-05-12,1,0,31,0,0,False
2012-05-13,1,0,30,0,0,False
2012-05-14,1,0,27,0,0,False
2012-05-15,1,0,25,0,0,False
2012-05-16,1,0,26,0,0,False
2012-05-17,1,0,25,0,0,False
2012-05-18,1,0,30,0,0,False
2012-05-19,1,0,31,0,0,False
2012-05-20,1,0,32,0,0,False
2012-05-21,1,0,26,0,0,False
2012-05-22,1,0,26,0,0,False
2012-05-23,1,0,26,0,0,False
2012-05-24,1,0,25,0,0,False
2012-05-25,1,0,26,0,0,False
2012-05-26,1,0,31,0,0,False
2012-05-27,1,0,32,0,0,False
2012-05-28,1,0,31,0,0,False
2012-05-29,1,0,26,0,0,False
2012-05-30,1,0,25,0,0,False
2012-05-31,1,0,25,0,0,False
2012-06-01,1,0,25,0,0,False
2012-06-02,1,0,30,0,0,False
2012-06-03,1,0,31,0,0,False
2012-06-04,1,0,26,0,0,False
2012-06-05,1,0,26,0,0,False
2012-06-06,1,0,25,0,0,False
2012-06-07,1,0,26,0,0,False
2012-06-08,1,0,27,0,0,False
2012-06-09,1,0,30,0,0,False
2012-06-10,1,0,31,0,0,False
2012-06-11,1,0,27,0,0,False
2012-06-12,1,0,27,0,0,False
2012-06-13,1,0,27,0,0,False
2012-06-14,1,0,27,0,0,False
2012-06-15,1,0,29,0,0,False
2012-06-16,1,0,32,0,0,False
2012-06-17,1,0,33,0,0,False
2012-06-18,1,0,27,0,0,False
2012-06-19,1,0,26,0,0,False
2012-06-20,1,0,27,0,0,False
2012-06-21,1,0,26,0,0,False
2012-06-22,1,0,27,0,0,False
2012-06-23,1,0,31,0,0,False
2012-06-24,1,0,32,0,0,False
2012-06-25,1,0,26,0,0,False
2012-06-26,1,0,27,0,0,False
2012-06-27,1,0,27,0,0,False
2012-06-28,1,0,27,0,0,False
2012-06-29,1,0,26,0,0,False
2012-06-30,2,0,30,0,0,False
2012-07-01,1,0,32,0,0,False
2012-07-02,1,0,27,0,0,False
2012-07-03,3,0,28,0,0,False
2012-07-04,2,0,32,0,0,False
2012-07-05,2,0,27,0,0,False
2012-07-06,1,0,28,0,0,False
2012-07-07,1,0,31,0,0,False
2012-07-08,1,0,33,0,0,False
2012-07-09,1,0,27,0,0,False
2012-07-10,1,0,26,0,0,False
2012-07-11,1,0,26,0,0,False
2012-07-12,1,0,26,0,0,False
2012-07-13,1,0,28,0,0,False
2012-07-14,1,0,32,0,0,False
2012-07-15,1,0,32,0,0,False
2012-07-16,1,0,29,0,0,False
2012-07-17,1,0,28,0,0,False
2012-07-18,1,0,27,0,0,False
2012-07-19,1,0,27,0,0,False
2012-07-20,1,0,27,0,0,False
2012-07-21,1,0,32,0,0,False
2012-07-22,1,0,33,0,0,False
2012-07-23,1,0,27,0,0,False
2012-07-24,1,0,27,0,0,False
2012-07-25,1,0,26,0,0,False
2012-07-26,1,0,27,0,0,False
2012-07-27,1,0,27,0,0,False
2012-07-28,1,0,30,0,0,False
2012-07-29,1,0,32,0,0,False
2012-07-30,1,0,27,0,0,False
2012-07-31,1,0,27,0,0,False
2012-08-01,1,0,26,0,0,False
2012-08-02,1,0,26,0,0,False
