date,expense,expensive,fine,ghetto,intervention,isPartial
2012-05-06,8,42,75,41,13,False
2012-05-07,13,49,82,38,18,False
2012-05-08,15,45,84,40,23,False
2012-05-09,11,44,82,37,21,False
2012-05-10,12,46,81,40,18,False
2012-05-11,8,42,83,40,17,False
2012-05-12,7,49,90,51,10,False
2012-05-13,5,51,80,49,10,False
2012-05-14,11,45,80,38,17,False
2012-05-15,13,41,84,40,20,False
2012-05-16,13,45,100,42,19,False
2012-05-17,12,38,92,44,16,False
2012-05-18,9,43,90,44,14,False
2012-05-19,7,49,86,43,10,False
2012-05-20,6,53,88,47,9,False
2012-05-21,11,50,83,41,21,False
2012-05-22,10,42,82,39,20,False
2012-05-23,10,43,80,41,17,False
2012-05-24,12,46,85,42,17,False
2012-05-25,10,42,88,45,15,False
2012-05-26,5,45,81,46,10,False
2012-05-27,4,50,82,50,9,False
2012-05-28,7,52,88,43,12,False
2012-05-29,15,45,85,42,17,False
2012-05-30,12,42,79,39,20,False
2012-05-31,14,42,88,41,18,False
2012-06-01,12,46,82,36,18,False
2012-06-02,6,44,89,45,13,False
2012-06-03,7,46,74,42,13,False
2012-06-04,13,44,88,43,18,False
2012-06-05,11,41,86,35,19,False
2012-06-06,11,44,84,40,18,False
2012-06-07,10,44,78,41,18,False
2012-06-08,12,39,83,36,14,False
2012-06-09,6,46,93,49,13,False
2012-06-10,4,46,77,45,11,False
2012-06-11,12,44,85,44,20,False
2012-06-12,11,49,88,40,15,False
2012-06-13,11,43,84,42,15,False
2012-06-14,11,41,80,42,15,False
2012-06-15,9,42,83,42,15,False
2012-06-16,5,49,89,47,14,False
2012-06-17,5,50,82,44,12,False
2012-06-18,13,40,79,39,16,False
2012-06-19,14,47,87,46,17,False
2012-06-20,12,42,84,37,17,False
2012-06-21,11,50,84,41,14,False
2012-06-22,8,44,77,39,14,False
2012-06-23,6,49,84,50,13,False
2012-06-24,8,55,77,47,12,False
2012-06-25,13,46,79,36,13,False
2012-06-26,11,45,84,41,16,False
2012-06-27,11,48,75,41,19,False
2012-06-28,11,38,85,40,15,False
2012-06-29,9,41,85,40,14,False
2012-06-30,4,43,82,44,13,False
2012-07-01,6,47,83,42,11,False
2012-07-02,11,42,81,41,11,False
2012-07-03,11,43,85,40,16,False
2012-07-04,5,42,78,47,10,False
2012-07-05,9,43,87,39,15,False
2012-07-06,11,43,83,46,15,False
2012-07-07,6,56,78,46,11,False
2012-07-08,9,46,78,53,11,False
2012-07-09,10,43,78,35,17,False
2012-07-10,12,45,87,43,15,False
2012-07-11,10,49,83,41,13,False
2012-07-12,12,47,80,39,16,False
2012-07-13,8,45,92,40,12,False
2012-07-14,5,47,76,51,12,False
2012-07-15,9,47,80,43,12,False
2012-07-16,12,45,80,39,14,False
2012-07-17,13,43,88,37,15,False
2012-07-18,10,44,85,40,16,False
2012-07-19,12,46,90,40,18,False
2012-07-20,9,44,80,43,13,False
2012-07-21,5,47,88,40,9,False
2012-07-22,8,49,81,44,14,False
2012-07-23,12,37,83,41,19,False
2012-07-24,10,44,83,37,14,False
2012-07-25,12,45,80,42,15,False
