date,liquidation,pollution,poor,poverty,race,isPartial
2012-05-06,1,1,4,2,45,False
2012-05-07,1,3,5,3,48,False
2012-05-08,1,3,5,3,30,False
2012-05-09,1,3,5,3,27,False
2012-05-10,1,3,4,2,24,False
2012-05-11,1,2,4,2,26,False
2012-05-12,1,1,3,1,32,False
2012-05-13,1,1,4,1,34,False
2012-05-14,1,3,4,3,28,False
2012-05-15,1,3,5,2,25,False
2012-05-16,1,3,5,3,24,False
2012-05-17,1,3,5,3,24,False
2012-05-18,1,2,4,2,28,False
2012-05-19,1,1,4,2,53,False
2012-05-20,1,1,4,2,45,False
2012-05-21,1,3,4,2,29,False
2012-05-22,1,2,4,2,23,False
2012-05-23,1,2,4,2,23,False
2012-05-24,1,2,4,2,23,False
2012-05-25,1,2,4,2,23,False
2012-05-26,1,1,3,1,28,False
2012-05-27,1,1,4,1,40,False
2012-05-28,1,2,4,2,30,False
2012-05-29,1,2,4,2,25,False
2012-05-30,1,2,4,2,23,False
2012-05-31,1,2,4,2,21,False
2012-06-01,1,2,4,2,22,False
2012-06-02,1,1,4,1,31,False
2012-06-03,1,1,4,2,37,False
2012-06-04,1,2,5,2,26,False
2012-06-05,1,2,4,2,23,False
2012-06-06,1,2,4,2,26,False
2012-06-07,1,1,4,2,24,False
2012-06-08,1,1,4,2,26,False
2012-06-09,1,1,4,1,43,False
2012-06-10,1,1,4,2,36,False
2012-06-11,1,2,4,2,24,False
2012-06-12,1,1,4,2,24,False
2012-06-13,1,1,4,2,22,False
2012-06-14,1,1,4,2,22,False
2012-06-15,1,1,4,1,23,False
2012-06-16,1,1,4,1,28,False
2012-06-17,1,1,4,1,37,False
2012-06-18,1,1,4,2,26,False
2012-06-19,1,1,4,2,23,False
2012-06-20,1,1,4,1,20,False
2012-06-21,1,1,4,1,20,False
2012-06-22,1,1,4,1,22,False
2012-06-23,1,1,4,1,28,False
2012-06-24,1,1,4,1,33,False
2012-06-25,1,1,3,2,23,False
2012-06-26,1,1,4,2,21,False
2012-06-27,1,1,3,2,21,False
2012-06-28,1,1,5,4,20,False
2012-06-29,1,1,4,3,21,False
2012-06-30,1,0,4,2,25,False
2012-07-01,1,1,3,2,28,False
2012-07-02,1,1,4,2,22,False
2012-07-03,1,1,4,2,24,False
2012-07-04,1,1,4,2,31,False
2012-07-05,1,1,4,2,23,False
2012-07-06,1,1,4,2,23,False
2012-07-07,1,1,4,2,26,False
2012-07-08,1,1,4,1,28,False
2012-07-09,1,1,4,2,23,False
2012-07-10,1,1,4,2,22,False
2012-07-11,1,1,4,2,20,False
2012-07-12,1,1,4,2,18,False
2012-07-13,1,1,4,2,20,False
2012-07-14,1,1,4,2,25,False
2012-07-15,1,1,5,1,30,False
2012-07-16,1,1,4,2,24,False
2012-07-17,1,1,4,2,21,False
2012-07-18,1,1,5,2,22,False
2012-07-19,1,1,4,2,20,False
2012-07-20,1,1,4,2,22,False
2012-07-21,1,0,4,1,27,False
2012-07-22,1,1,4,2,29,False
2012-07-23,1,1,4,3,23,False
2012-07-24,1,1,4,2,20,False
2012-07-25,1,1,4,2,20,False
2012-07-26,1,1,4,2,22,False
2012-07-27,1,1,4,2,22,False
2012-07-28,1,1,3,2,39,False
2012-07-29,1,1,4,2,39,False
2012-07-30,1,1,5,2,27,False
2012-07-31,1,1,5,2,24,False
2012-08-01,1,1,4,2,24,False
2012-08-02,1,1,4,3,23,False
2012-08-03,1,1,4,2,24,False
2012-08-04,1,1,4,2,33,False
2012-08-05,1,0,4,1,40,False
2012-08-06,1,1,5,2,31,False
2012-08-07,1,1,5,2,24,False
2012-08-08,1,1,4,2,25,False
2012-08-09,1,1,4,2,24,False
2012-08-10,1,1,4,2,25,False
2012-08-11,1,1,4,1,33,False
2012-08-12,1,1,4,1,35,False
2012-08-13,1,1,4,2,24,False
2012-08-14,1,1,5,2,22,False
2012-08-15,1,1,4,2,22,False
2012-08-16,1,1,4,2,21,False
2012-08-17,1,1,5,2,23,False
2012-08-18,1,1,5,2,29,False
2012-08-19,1,1,4,2,33,False
2012-08-20,1,1,5,2,24,False
2012-08-21,1,1,4,2,24,False
2012-08-22,1,1,4,2,24,False
2012-08-23,1,1,4,2,22,False
2012-08-24,1,1,5,2,24,False
2012-08-25,1,0,4,1,35,False
2012-08-26,1,1,4,2,36,False
2012-08-27,1,1,5,2,24,False
2012-08-28,1,1,5,2,23,False
2012-08-29,1,1,5,2,23,False
2012-08-30,1,1,5,2,22,False
2012-08-31,1,1,5,2,23,False
2012-09-01,1,0,4,2,27,False
2012-09-02,1,1,5,2,33,False
2012-09-03,1,1,4,2,31,False
2012-09-04,1,1,5,2,23,False
2012-09-05,1,1,5,3,21,False
2012-09-06,1,2,5,3,21,False
2012-09-07,1,1,5,2,23,False
2012-09-08,1,1,4,2,29,False
2012-09-09,1,1,5,2,35,False
2012-09-10,1,2,5,3,25,False
2012-09-11,1,2,5,2,22,False
2012-09-12,1,2,5,4,20,False
2012-09-13,1,2,5,3,20,False
2012-09-14,1,2,4,3,23,False
2012-09-15,1,1,4,2,28,False
2012-09-16,0,1,4,2,33,False
2012-09-17,1,2,6,3,25,False
2012-09-18,1,2,7,3,21,False
2012-09-19,1,2,6,3,21,False
2012-09-20,1,2,5,4,22,False
2012-09-21,1,2,6,3,22,False
2012-09-22,1,1,4,2,27,False
2012-09-23,1,1,5,2,31,False
2012-09-24,1,2,5,3,27,False
2012-09-25,1,2,5,3,22,False
2012-09-26,1,2,5,3,22,False
2012-09-27,1,2,6,3,22,False
2012-09-28,1,2,4,3,24,False
2012-09-29,1,1,4,2,27,False
2012-09-30,1,1,5,2,36,False
2012-10-01,1,2,5,3,35,False
2012-10-02,1,2,5,3,26,False
2012-10-03,1,2,5,3,26,False
2012-10-04,1,2,7,4,26,False
2012-10-05,1,2,5,3,24,False
2012-10-06,1,1,4,2,28,False
2012-10-07,0,1,4,2,34,False
2012-10-08,1,2,5,3,32,False
2012-10-09,1,2,5,3,24,False
2012-10-10,1,2,5,3,22,False
2012-10-11,1,2,6,3,22,False
2012-10-12,1,1,5,3,22,False
2012-10-13,1,1,5,2,27,False
2012-10-14,1,1,5,3,31,False
2012-10-15,1,2,5,3,29,False
2012-10-16,1,2,5,3,23,False
2012-10-17,1,2,6,4,24,False
2012-10-18,1,2,5,3,24,False
2012-10-19,1,2,4,3,24,False
2012-10-20,1,1,4,1,29,False
2012-10-21,1,1,5,2,33,False
2012-10-22,0,2,5,3,31,False
2012-10-23,1,2,5,3,28,False
2012-10-24,1,2,5,3,25,False
2012-10-25,1,2,6,3,24,False
2012-10-26,1,2,5,3,24,False
2012-10-27,1,1,4,2,27,False
2012-10-28,1,1,4,2,27,False
2012-10-29,1,2,5,3,28,False
2012-10-30,1,2,5,3,23,False
2012-10-31,1,2,4,3,21,False
2012-11-01,1,2,4,3,22,False
2012-11-02,1,2,5,3,24,False
2012-11-03,1,1,5,2,27,False
2012-11-04,1,1,5,2,31,False
2012-11-05,1,2,5,3,36,False
2012-11-06,1,2,5,3,49,False
2012-11-07,1,2,5,3,100,False
2012-11-08,1,2,6,4,29,False
2012-11-09,1,2,5,3,22,False
2012-11-10,1,1,5,2,23,False
2012-11-11,1,1,5,2,27,False
2012-11-12,1,2,5,4,29,False
2012-11-13,1,2,6,3,23,False
2012-11-14,1,3,6,3,20,False
2012-11-15,1,3,5,4,20,False
2012-11-16,1,2,5,3,22,False
2012-11-17,1,1,4,2,25,False
2012-11-18,1,1,5,2,29,False
2012-11-19,1,2,5,3,28,False
2012-11-20,1,2,5,3,20,False
2012-11-21,1,1,4,2,18,False
2012-11-22,1,1,4,2,23,False
2012-11-23,1,1,3,1,19,False
2012-11-24,1,1,4,2,19,False
2012-11-25,1,1,5,2,22,False
2012-11-26,1,2,5,3,25,False
2012-11-27,1,3,6,4,20,False
2012-11-28,1,3,5,3,18,False
2012-11-29,1,2,5,3,18,False
2012-11-30,1,2,4,3,19,False
2012-12-01,1,1,4,2,19,False
2012-12-02,1,2,5,2,21,False
2012-12-03,1,2,6,3,24,False
2012-12-04,1,3,6,4,20,False
2012-12-05,1,2,5,3,19,False
2012-12-06,1,3,5,4,19,False
2012-12-07,1,2,5,3,17,False
2012-12-08,1,1,5,2,20,False
2012-12-09,1,1,4,2,21,False
2012-12-10,1,2,5,4,36,False
2012-12-11,1,2,6,3,22,False
2012-12-12,1,3,5,3,19,False
2012-12-13,1,2,5,3,18,False
2012-12-14,1,2,4,3,17,False
2012-12-15,1,1,4,2,18,False
2012-12-16,1,1,4,2,18,False
2012-12-17,1,2,4,3,18,False
2012-12-18,1,1,5,2,15,False
2012-12-19,1,2,4,2,16,False
2012-12-20,1,2,4,2,15,False
2012-12-21,1,1,4,1,16,False
2012-12-22,1,1,4,1,16,False
2012-12-23,1,0,4,1,16,False
2012-12-24,0,1,4,1,17,False
2012-12-25,1,0,3,1,16,False
2012-12-26,1,1,3,1,17,False
2012-12-27,1,1,3,1,16,False
2012-12-28,1,1,4,2,15,False
2012-12-29,2,0,3,1,16,False
2012-12-30,1,0,4,1,17,False
2012-12-31,1,1,4,1,17,False
2013-01-01,1,1,3,1,19,False
2013-01-02,1,1,4,2,17,False
2013-01-03,1,1,4,2,17,False
2013-01-04,1,1,4,2,19,False
2013-01-05,1,1,4,1,20,False
2013-01-06,1,1,4,2,23,False
2013-01-07,1,1,4,2,18,False
2013-01-08,1,2,4,2,17,False
2013-01-09,1,2,5,2,19,False
2013-01-10,1,2,4,2,19,False
2013-01-11,1,2,4,2,19,False
2013-01-12,1,1,4,1,22,False
2013-01-13,1,2,4,2,29,False
2013-01-14,1,3,5,3,19,False
2013-01-15,1,3,5,2,20,False
2013-01-16,1,3,5,2,19,False
2013-01-17,1,3,5,3,19,False
2013-01-18,1,2,5,3,20,False
2013-01-19,1,1,4,2,22,False
2013-01-20,0,1,4,2,27,False
2013-01-21,1,1,4,2,23,False
2013-01-22,1,2,5,3,20,False
2013-01-23,1,2,5,3,20,False
2013-01-24,1,2,5,3,21,False
2013-01-25,1,2,5,3,22,False
2013-01-26,1,1,4,1,28,False
2013-01-27,1,1,5,2,29,False
2013-01-28,1,2,5,2,24,False
2013-01-29,1,2,5,3,22,False
2013-01-30,1,3,5,4,21,False
