date,contribution,cooperative,donate,donation,economize,isPartial
2013-01-15,64,34,37,57,0,False
2013-01-16,57,39,45,58,0,False
2013-01-17,51,32,41,68,0,False
2013-01-18,52,32,37,58,0,False
2013-01-19,24,20,42,55,0,False
2013-01-20,32,20,36,47,0,False
2013-01-21,37,32,40,60,0,False
2013-01-22,58,37,47,61,0,False
2013-01-23,51,32,42,58,0,False
2013-01-24,48,33,46,68,0,False
2013-01-25,44,28,38,60,0,False
2013-01-26,30,22,35,54,0,False
2013-01-27,34,16,40,49,0,False
2013-01-28,67,36,44,67,0,False
2013-01-29,54,36,47,68,0,False
2013-01-30,52,34,44,65,1,False
2013-01-31,59,38,40,64,0,False
2013-02-01,49,34,41,62,0,False
2013-02-02,35,20,37,56,0,False
2013-02-03,39,19,36,55,0,False
2013-02-04,46,38,38,58,0,False
2013-02-05,56,34,48,67,0,False
2013-02-06,62,36,42,66,1,False
2013-02-07,50,36,39,60,0,False
2013-02-08,50,33,36,53,0,False
2013-02-09,28,22,36,56,0,False
2013-02-10,33,22,36,53,0,False
2013-02-11,53,39,37,57,1,False
2013-02-12,52,38,40,58,0,False
2013-02-13,49,36,38,62,0,False
2013-02-14,47,37,37,54,0,False
2013-02-15,48,36,33,53,0,False
2013-02-16,26,20,39,65,0,False
2013-02-17,39,21,36,59,0,False
2013-02-18,40,30,43,63,0,False
2013-02-19,57,42,43,63,0,False
2013-02-20,55,35,45,61,0,False
2013-02-21,45,33,37,58,0,False
2013-02-22,48,40,40,60,0,False
2013-02-23,42,25,40,65,0,False
2013-02-24,36,14,49,59,0,False
2013-02-25,57,37,43,63,0,False
2013-02-26,50,39,49,63,1,False
2013-02-27,49,37,44,65,1,False
2013-02-28,58,34,47,65,0,False
2013-03-01,47,39,36,61,0,False
2013-03-02,33,20,35,56,0,False
2013-03-03,33,24,34,57,0,False
2013-03-04,49,41,40,56,0,False
2013-03-05,54,35,37,58,0,False
2013-03-06,52,50,34,61,0,False
2013-03-07,50,48,43,58,0,False
2013-03-08,41,48,38,61,0,False
2013-03-09,40,27,43,48,0,False
2013-03-10,34,22,41,56,0,False
2013-03-11,50,43,50,72,0,False
2013-03-12,52,40,44,65,0,False
2013-03-13,51,34,49,62,1,False
2013-03-14,56,34,42,57,0,False
2013-03-15,51,32,47,62,0,False
2013-03-16,37,24,42,62,0,False
2013-03-17,40,21,38,51,0,False
2013-03-18,56,38,40,57,0,False
2013-03-19,55,34,47,71,1,False
2013-03-20,50,37,41,68,0,False
2013-03-21,55,31,45,58,1,False
2013-03-22,48,40,27,58,0,False
2013-03-23,35,21,38,48,0,False
2013-03-24,37,19,45,54,0,False
2013-03-25,57,42,42,66,1,False
2013-03-26,53,39,44,70,1,False
2013-03-27,54,35,44,72,0,False
2013-03-28,54,35,40,62,0,False
2013-03-29,47,31,44,58,0,False
2013-03-30,35,22,43,52,0,False
2013-03-31,42,21,32,45,0,False
2013-04-01,51,33,39,61,0,False
2013-04-02,64,39,48,70,0,False
2013-04-03,66,37,42,64,0,False
2013-04-04,59,38,45,63,0,False
2013-04-05,52,34,47,64,0,False
2013-04-06,46,22,42,66,0,False
2013-04-07,45,19,40,63,0,False
2013-04-08,76,41,45,66,0,False
2013-04-09,71,36,46,73,0,False
2013-04-10,69,42,45,76,0,False
2013-04-11,77,32,47,72,0,False
2013-04-12,74,38,45,56,0,False
2013-04-13,57,23,47,65,0,False
2013-04-14,61,25,40,62,0,False
2013-04-15,87,34,61,85,0,False
2013-04-16,43,35,75,94,0,False
2013-04-17,40,34,57,65,0,False
2013-04-18,37,35,68,76,0,False
2013-04-19,34,29,49,56,0,False
2013-04-20,21,20,50,51,0,False
2013-04-21,28,23,48,58,0,False
2013-04-22,40,39,43,69,0,False
2013-04-23,34,39,54,62,0,False
2013-04-24,45,37,50,61,1,False
2013-04-25,40,34,46,62,0,False
2013-04-26,32,30,42,65,0,False
2013-04-27,19,18,42,49,0,False
2013-04-28,20,21,38,45,0,False
2013-04-29,46,40,45,70,0,False
2013-04-30,46,42,48,65,0,False
2013-05-01,39,34,45,62,0,False
2013-05-02,36,39,47,61,0,False
2013-05-03,37,37,36,65,0,False
2013-05-04,20,22,40,51,0,False
2013-05-05,21,26,35,46,0,False
2013-05-06,34,33,47,64,0,False
2013-05-07,37,36,52,63,0,False
2013-05-08,41,35,37,57,0,False
2013-05-09,33,34,39,51,0,False
2013-05-10,34,36,45,53,0,False
2013-05-11,20,17,40,57,0,False
2013-05-12,15,15,36,48,0,False
2013-05-13,31,42,40,62,0,False
2013-05-14,28,41,43,65,0,False
2013-05-15,41,33,42,59,0,False
2013-05-16,33,29,45,59,0,False
2013-05-17,28,31,39,52,0,False
2013-05-18,21,18,45,54,0,False
2013-05-19,19,18,39,45,0,False
2013-05-20,35,32,40,61,0,False
2013-05-21,31,32,94,100,0,False
2013-05-22,33,32,79,88,0,False
2013-05-23,30,37,69,62,0,False
2013-05-24,33,29,53,62,0,False
2013-05-25,11,16,51,64,0,False
2013-05-26,13,16,42,54,0,False
2013-05-27,19,18,47,57,0,False
2013-05-28,28,40,55,73,0,False
2013-05-29,32,32,45,77,0,False
2013-05-30,33,39,54,58,0,False
2013-05-31,29,27,49,64,0,False
2013-06-01,17,26,42,52,0,False
2013-06-02,18,19,39,48,0,False
2013-06-03,32,37,42,65,0,False
2013-06-04,39,35,50,61,0,False
2013-06-05,27,32,44,58,0,False
2013-06-06,31,36,48,67,0,False
2013-06-07,29,32,44,60,0,False
2013-06-08,14,18,40,57,0,False
2013-06-09,15,22,40,53,0,False
2013-06-10,30,30,52,61,0,False
2013-06-11,32,33,47,64,0,False
2013-06-12,31,30,49,65,0,False
2013-06-13,29,33,46,60,0,False
2013-06-14,27,35,42,56,0,False
2013-06-15,13,18,43,54,0,False
2013-06-16,14,15,41,44,0,False
2013-06-17,28,30,48,61,0,False
2013-06-18,23,33,44,63,0,False
2013-06-19,31,36,43,58,0,False
2013-06-20,22,32,51,57,0,False
2013-06-21,23,30,47,65,0,False
2013-06-22,14,21,44,55,0,False
2013-06-23,16,14,35,45,0,False
2013-06-24,23,30,42,69,0,False
2013-06-25,27,35,49,59,0,False
2013-06-26,32,28,41,62,0,False
2013-06-27,25,28,49,64,0,False
2013-06-28,34,34,48,56,1,False
2013-06-29,15,13,40,54,0,False
2013-06-30,14,13,37,52,0,False
2013-07-01,25,35,43,64,0,False
2013-07-02,27,40,43,69,0,False
2013-07-03,29,28,46,57,0,False
2013-07-04,18,16,28,40,0,False
2013-07-05,24,28,45,52,0,False
2013-07-06,12,16,41,56,0,False
2013-07-07,18,15,41,49,0,False
2013-07-08,28,38,46,72,0,False
2013-07-09,27,35,47,72,0,False
2013-07-10,25,39,44,67,0,False
2013-07-11,30,38,47,64,0,False
2013-07-12,29,35,37,60,0,False
2013-07-13,17,18,36,55,0,False
2013-07-14,18,19,40,44,0,False
2013-07-15,26,36,44,70,0,False
2013-07-16,29,33,48,58,0,False
2013-07-17,33,31,47,57,0,False
2013-07-18,28,33,55,61,0,False
2013-07-19,26,31,41,53,0,False
2013-07-20,17,18,45,54,0,False
2013-07-21,16,21,40,57,0,False
2013-07-22,29,34,45,70,0,False
2013-07-23,34,30,51,68,0,False
2013-07-24,29,29,51,65,0,False
2013-07-25,28,34,42,57,0,False
2013-07-26,32,33,47,56,0,False
2013-07-27,19,17,42,58,0,False
2013-07-28,18,18,46,53,0,False
2013-07-29,30,33,46,69,0,False
2013-07-30,31,35,48,69,0,False
2013-07-31,29,35,50,59,0,False
2013-08-01,33,29,45,61,0,False
2013-08-02,22,35,46,60,0,False
2013-08-03,20,14,47,54,0,False
2013-08-04,18,15,45,52,0,False
2013-08-05,29,35,39,65,0,False
2013-08-06,31,33,49,62,0,False
2013-08-07,31,34,44,64,0,False
2013-08-08,32,36,46,64,0,False
2013-08-09,23,26,37,56,0,False
2013-08-10,18,19,37,45,0,False
2013-08-11,18,18,37,45,0,False
2013-08-12,33,34,48,64,0,False
2013-08-13,22,39,46,68,0,False
2013-08-14,28,37,44,60,0,False
