date,prosper,prosperity,isPartial
2015-02-16,10,17,False
2015-02-17,9,20,False
2015-02-18,12,18,False
2015-02-19,12,21,False
2015-02-20,10,21,False
2015-02-21,8,12,False
2015-02-22,9,13,False
2015-02-23,12,18,False
2015-02-24,10,19,False
2015-02-25,14,18,False
2015-02-26,12,13,False
2015-02-27,100,17,False
2015-02-28,43,14,False
2015-03-01,18,12,False
2015-03-02,14,18,False
2015-03-03,14,19,False
2015-03-04,14,19,False
2015-03-05,11,13,False
2015-03-06,15,15,False
2015-03-07,11,11,False
2015-03-08,9,13,False
2015-03-09,14,14,False
2015-03-10,11,14,False
2015-03-11,12,17,False
2015-03-12,9,15,False
2015-03-13,14,16,False
2015-03-14,7,10,False
2015-03-15,11,10,False
2015-03-16,12,15,False
2015-03-17,10,17,False
2015-03-18,12,20,False
2015-03-19,12,20,False
2015-03-20,11,16,False
2015-03-21,9,12,False
2015-03-22,11,11,False
2015-03-23,8,17,False
2015-03-24,14,20,False
2015-03-25,11,19,False
2015-03-26,10,14,False
2015-03-27,12,13,False
2015-03-28,13,8,False
2015-03-29,7,12,False
2015-03-30,10,17,False
2015-03-31,11,20,False
2015-04-01,10,18,False
2015-04-02,16,20,False
2015-04-03,10,18,False
2015-04-04,9,13,False
2015-04-05,8,11,False
2015-04-06,14,15,False
2015-04-07,13,15,False
2015-04-08,12,17,False
2015-04-09,14,17,False
2015-04-10,16,16,False
2015-04-11,10,12,False
2015-04-12,7,7,False
2015-04-13,14,17,False
2015-04-14,11,14,False
2015-04-15,15,13,False
2015-04-16,16,16,False
2015-04-17,14,19,False
2015-04-18,9,9,False
2015-04-19,10,14,False
2015-04-20,12,17,False
2015-04-21,13,18,False
2015-04-22,15,15,False
2015-04-23,11,16,False
2015-04-24,15,19,False
2015-04-25,12,13,False
2015-04-26,10,11,False
2015-04-27,11,16,False
2015-04-28,15,15,False
2015-04-29,14,14,False
2015-04-30,11,16,False
2015-05-01,16,20,False
2015-05-02,8,14,False
2015-05-03,5,11,False
2015-05-04,16,14,False
2015-05-05,14,17,False
2015-05-06,14,16,False
2015-05-07,12,18,False
2015-05-08,13,15,False
2015-05-09,7,14,False
2015-05-10,9,10,False
2015-05-11,10,13,False
2015-05-12,15,15,False
2015-05-13,16,17,False
2015-05-14,12,15,False
2015-05-15,13,14,False
2015-05-16,9,11,False
2015-05-17,8,10,False
2015-05-18,13,14,False
2015-05-19,13,16,False
2015-05-20,15,16,False
2015-05-21,14,18,False
2015-05-22,17,17,False
2015-05-23,12,14,False
2015-05-24,9,7,False
2015-05-25,9,9,False
2015-05-26,12,14,False
2015-05-27,18,15,False
2015-05-28,14,15,False
2015-05-29,14,14,False
2015-05-30,11,9,False
2015-05-31,9,11,False
2015-06-01,12,14,False
2015-06-02,17,13,False
2015-06-03,17,15,False
2015-06-04,10,15,False
2015-06-05,14,11,False
2015-06-06,13,12,False
2015-06-07,7,11,False
2015-06-08,13,17,False
2015-06-09,13,12,False
2015-06-10,14,12,False
2015-06-11,8,17,False
2015-06-12,11,13,False
2015-06-13,12,10,False
2015-06-14,8,11,False
2015-06-15,12,16,False
2015-06-16,12,12,False
2015-06-17,13,12,False
2015-06-18,11,14,False
2015-06-19,14,13,False
2015-06-20,8,12,False
2015-06-21,8,10,False
2015-06-22,11,12,False
2015-06-23,10,14,False
2015-06-24,13,14,False
2015-06-25,12,16,False
2015-06-26,14,14,False
2015-06-27,10,10,False
2015-06-28,11,13,False
2015-06-29,13,12,False
2015-06-30,14,16,False
2015-07-01,11,16,False
2015-07-02,11,16,False
2015-07-03,10,13,False
2015-07-04,11,9,False
2015-07-05,11,9,False
2015-07-06,12,11,False
2015-07-07,12,13,False
2015-07-08,16,13,False
2015-07-09,17,17,False
2015-07-10,15,14,False
2015-07-11,10,11,False
2015-07-12,9,13,False
2015-07-13,11,15,False
2015-07-14,15,15,False
2015-07-15,16,15,False
2015-07-16,11,14,False
2015-07-17,12,13,False
2015-07-18,12,10,False
2015-07-19,11,9,False
2015-07-20,13,12,False
2015-07-21,12,13,False
2015-07-22,11,13,False
2015-07-23,14,14,False
