date,radical,ruin,segregation,shortage,steal,isPartial
2015-02-16,37,29,15,21,76,False
2015-02-17,53,40,32,21,74,False
2015-02-18,58,28,32,24,72,False
2015-02-19,73,29,34,22,66,False
2015-02-20,59,29,31,23,71,False
2015-02-21,40,29,8,13,80,False
2015-02-22,40,33,13,15,82,False
2015-02-23,71,30,31,23,67,False
2015-02-24,70,29,37,23,80,False
2015-02-25,73,29,38,20,66,False
2015-02-26,75,24,35,24,63,False
2015-02-27,62,30,30,15,64,False
2015-02-28,34,35,8,16,81,False
2015-03-01,41,29,16,16,86,False
2015-03-02,65,26,28,26,65,False
2015-03-03,65,35,31,22,64,False
2015-03-04,68,31,41,18,68,False
2015-03-05,65,34,37,22,69,False
2015-03-06,58,33,26,18,76,False
2015-03-07,38,39,9,11,78,False
2015-03-08,44,38,17,19,72,False
2015-03-09,61,26,24,18,69,False
2015-03-10,69,27,34,26,66,False
2015-03-11,62,42,28,25,69,False
2015-03-12,58,24,33,25,66,False
2015-03-13,56,31,23,22,58,False
2015-03-14,36,31,14,19,74,False
2015-03-15,38,44,10,15,76,False
2015-03-16,56,33,26,22,65,False
2015-03-17,72,26,34,23,63,False
2015-03-18,70,36,30,22,71,False
2015-03-19,58,27,31,16,66,False
2015-03-20,44,28,23,22,63,False
2015-03-21,35,27,11,17,83,False
2015-03-22,43,38,10,21,86,False
2015-03-23,64,27,29,19,80,False
2015-03-24,57,32,33,24,77,False
2015-03-25,60,32,34,20,65,False
2015-03-26,58,25,43,18,61,False
2015-03-27,55,43,31,22,70,False
2015-03-28,31,31,7,14,74,False
2015-03-29,37,34,13,14,65,False
2015-03-30,61,32,26,18,68,False
2015-03-31,63,28,36,22,84,False
2015-04-01,57,31,35,19,61,False
2015-04-02,61,26,32,28,68,False
2015-04-03,48,29,19,28,75,False
2015-04-04,30,37,14,19,80,False
2015-04-05,32,34,16,23,71,False
2015-04-06,53,26,30,30,67,False
2015-04-07,55,26,23,26,62,False
2015-04-08,65,29,34,18,60,False
2015-04-09,58,29,31,23,62,False
2015-04-10,51,30,29,21,65,False
2015-04-11,36,35,9,15,67,False
2015-04-12,52,36,15,15,85,False
2015-04-13,60,30,39,21,55,False
2015-04-14,71,23,35,22,80,False
2015-04-15,59,33,28,25,74,False
2015-04-16,65,25,30,20,81,False
2015-04-17,51,29,33,21,83,False
2015-04-18,30,39,8,20,96,False
2015-04-19,56,36,17,11,100,False
2015-04-20,64,27,33,21,79,False
2015-04-21,71,28,36,19,74,False
