date,backward,backwardness,broke,cheap,colony,isPartial
2015-10-28,1,0,5,70,6,False
2015-10-29,1,0,6,67,6,False
2015-10-30,1,0,6,68,6,False
2015-10-31,1,0,7,72,4,False
2015-11-01,1,0,7,71,5,False
2015-11-02,1,0,6,70,6,False
2015-11-03,1,0,6,70,7,False
2015-11-04,1,0,5,69,6,False
2015-11-05,1,0,7,69,7,False
2015-11-06,1,0,7,70,6,False
2015-11-07,1,0,9,80,5,False
2015-11-08,1,0,7,79,5,False
2015-11-09,1,0,6,73,7,False
2015-11-10,1,0,6,72,6,False
2015-11-11,1,0,6,72,5,False
2015-11-12,1,0,6,66,6,False
2015-11-13,1,0,8,68,6,False
2015-11-14,1,0,6,71,4,False
2015-11-15,1,0,7,73,4,False
2015-11-16,1,0,6,68,6,False
2015-11-17,1,0,6,69,7,False
2015-11-18,1,0,6,68,6,False
2015-11-19,1,0,6,67,7,False
2015-11-20,1,0,7,67,6,False
2015-11-21,1,0,8,74,4,False
2015-11-22,1,0,7,77,5,False
2015-11-23,1,0,6,72,5,False
2015-11-24,1,0,5,69,6,False
2015-11-25,0,0,5,66,5,False
2015-11-26,1,0,7,61,4,False
2015-11-27,0,0,8,81,5,False
2015-11-28,0,0,9,81,5,False
2015-11-29,1,0,7,80,5,False
2015-11-30,0,0,5,78,5,False
2015-12-01,1,0,6,78,7,False
2015-12-02,1,0,6,72,7,False
2015-12-03,1,0,6,72,7,False
2015-12-04,1,0,6,71,6,False
2015-12-05,1,0,7,76,5,False
2015-12-06,1,0,6,83,4,False
2015-12-07,1,0,5,72,6,False
2015-12-08,1,0,6,73,7,False
2015-12-09,1,0,6,70,7,False
2015-12-10,1,0,7,70,7,False
2015-12-11,1,0,7,68,7,False
2015-12-12,1,0,7,79,6,False
2015-12-13,0,0,6,78,6,False
2015-12-14,1,0,6,72,7,False
2015-12-15,1,0,6,74,7,False
2015-12-16,1,0,6,73,7,False
2015-12-17,1,0,5,72,7,False
2015-12-18,1,0,7,67,6,False
2015-12-19,1,0,8,79,5,False
2015-12-20,1,0,7,77,5,False
2015-12-21,1,0,6,73,6,False
2015-12-22,1,0,6,70,5,False
2015-12-23,0,0,6,71,6,False
2015-12-24,1,0,6,65,5,False
2015-12-25,1,0,6,64,5,False
2015-12-26,1,0,7,85,6,False
2015-12-27,1,0,7,89,5,False
2015-12-28,0,0,7,85,5,False
2015-12-29,1,0,7,86,5,False
2015-12-30,0,0,8,83,5,False
2015-12-31,1,0,7,71,5,False
2016-01-01,0,0,8,75,5,False
2016-01-02,0,0,9,85,6,False
2016-01-03,0,0,10,87,6,False
2016-01-04,1,0,8,84,7,False
2016-01-05,1,0,6,87,7,False
2016-01-06,1,0,7,85,7,False
2016-01-07,0,0,8,81,7,False
2016-01-08,1,0,7,78,7,False
2016-01-09,0,0,8,87,6,False
2016-01-10,0,0,8,88,6,False
2016-01-11,0,0,6,79,7,False
2016-01-12,1,0,7,81,7,False
2016-01-13,1,0,7,78,7,False
2016-01-14,0,0,8,73,9,False
2016-01-15,0,0,7,77,11,False
2016-01-16,0,0,9,88,11,False
2016-01-17,0,0,8,92,9,False
2016-01-18,0,0,7,90,8,False
2016-01-19,1,0,7,83,7,False
2016-01-20,1,0,7,78,7,False
2016-01-21,1,0,8,79,7,False
2016-01-22,1,0,7,78,9,False
2016-01-23,1,0,8,86,7,False
2016-01-24,1,0,8,88,8,False
2016-01-25,1,0,6,82,6,False
2016-01-26,0,0,6,82,7,False
2016-01-27,1,0,6,79,7,False
2016-01-28,1,0,8,82,7,False
2016-01-29,1,0,7,79,8,False
2016-01-30,1,0,7,87,7,False
2016-01-31,1,0,7,92,7,False
2016-02-01,1,0,6,84,7,False
2016-02-02,1,0,6,83,6,False
2016-02-03,1,0,6,86,6,False
2016-02-04,1,0,7,82,6,False
2016-02-05,1,0,7,82,8,False
2016-02-06,0,0,7,88,6,False
2016-02-07,1,0,8,90,6,False
2016-02-08,1,0,6,81,6,False
2016-02-09,1,0,6,85,7,False
2016-02-10,0,0,6,90,6,False
2016-02-11,1,0,7,88,6,False
2016-02-12,1,0,7,88,7,False
2016-02-13,0,0,8,100,5,False
2016-02-14,1,0,7,87,6,False
2016-02-15,1,0,9,88,6,False
2016-02-16,0,0,9,85,6,False
2016-02-17,1,0,9,87,6,False
