date,benevolent,bequeath,betroth,betrothal,bonus,isPartial
2015-10-28,6,2,0,0,51,False
2015-10-29,6,1,0,1,55,False
2015-10-30,6,1,0,0,49,False
2015-10-31,3,1,0,0,56,False
2015-11-01,3,0,0,0,52,False
2015-11-02,6,1,0,1,51,False
2015-11-03,8,2,0,0,55,False
2015-11-04,7,0,0,0,62,False
2015-11-05,7,1,1,1,61,False
2015-11-06,9,1,0,1,61,False
2015-11-07,3,0,0,0,55,False
2015-11-08,5,0,0,0,51,False
2015-11-09,7,1,0,0,60,False
2015-11-10,6,1,0,1,51,False
2015-11-11,6,1,0,0,54,False
2015-11-12,6,0,0,0,55,False
2015-11-13,9,1,0,0,58,False
2015-11-14,5,0,0,0,51,False
2015-11-15,6,1,0,0,56,False
2015-11-16,6,1,0,1,46,False
2015-11-17,7,1,0,0,53,False
2015-11-18,9,2,0,0,55,False
2015-11-19,6,1,0,0,51,False
2015-11-20,6,2,0,0,55,False
2015-11-21,5,0,0,0,52,False
2015-11-22,6,1,0,0,63,False
2015-11-23,6,1,0,0,63,False
2015-11-24,8,0,0,0,61,False
2015-11-25,5,1,0,1,59,False
2015-11-26,5,1,0,0,49,False
2015-11-27,4,0,0,0,58,False
2015-11-28,6,1,0,0,59,False
2015-11-29,6,0,0,0,60,False
2015-11-30,9,0,0,0,56,False
2015-12-01,10,1,1,1,64,False
2015-12-02,11,1,0,1,56,False
2015-12-03,19,1,0,1,64,False
2015-12-04,15,1,0,1,56,False
2015-12-05,15,1,0,0,57,False
2015-12-06,10,1,0,0,54,False
2015-12-07,9,1,0,0,62,False
2015-12-08,7,2,0,0,62,False
2015-12-09,8,1,0,1,86,False
2015-12-10,9,2,0,0,89,False
2015-12-11,11,1,0,1,100,False
2015-12-12,6,1,0,1,80,False
2015-12-13,7,1,0,1,66,False
2015-12-14,7,1,0,0,75,False
2015-12-15,10,1,0,0,73,False
2015-12-16,7,1,0,0,86,False
2015-12-17,6,1,0,0,89,False
2015-12-18,4,0,0,1,93,False
2015-12-19,3,0,0,0,73,False
2015-12-20,5,1,0,1,61,False
2015-12-21,6,1,0,0,78,False
2015-12-22,6,0,0,0,72,False
2015-12-23,5,0,0,1,75,False
2015-12-24,4,1,0,0,69,False
2015-12-25,3,0,0,0,55,False
2015-12-26,5,0,0,0,57,False
2015-12-27,6,0,0,0,58,False
2015-12-28,7,1,0,0,64,False
2015-12-29,5,1,0,0,69,False
2015-12-30,5,0,0,0,66,False
2015-12-31,6,1,0,0,63,False
2016-01-01,5,1,0,0,58,False
2016-01-02,7,1,0,0,58,False
2016-01-03,6,0,0,0,61,False
2016-01-04,6,1,0,0,66,False
2016-01-05,7,0,0,1,58,False
2016-01-06,8,1,0,0,57,False
2016-01-07,7,1,0,1,55,False
2016-01-08,7,1,0,0,51,False
2016-01-09,4,0,0,0,58,False
2016-01-10,4,1,0,1,60,False
2016-01-11,8,2,0,1,54,False
2016-01-12,7,1,0,0,62,False
2016-01-13,7,1,0,1,56,False
2016-01-14,6,0,0,1,55,False
2016-01-15,7,2,0,1,57,False
2016-01-16,4,1,0,0,60,False
2016-01-17,7,1,0,0,54,False
2016-01-18,4,1,0,0,60,False
2016-01-19,9,2,0,1,58,False
