date,unprofitable,vagabond,vagrant,abundance,accrue,isPartial
2015-10-28,0,20,32,60,17,False
2015-10-29,2,35,31,49,11,False
2015-10-30,0,29,33,39,7,False
2015-10-31,2,15,15,39,2,False
2015-11-01,0,30,23,28,3,False
2015-11-02,1,34,27,72,11,False
2015-11-03,4,32,37,70,9,False
2015-11-04,2,24,29,60,15,False
2015-11-05,1,34,35,63,14,False
2015-11-06,3,36,48,68,12,False
2015-11-07,0,25,31,19,7,False
2015-11-08,0,32,15,24,4,False
2015-11-09,0,28,39,59,11,False
2015-11-10,1,33,39,68,14,False
2015-11-11,0,20,31,46,15,False
2015-11-12,2,36,32,59,8,False
2015-11-13,2,40,33,45,14,False
2015-11-14,0,38,23,25,6,False
2015-11-15,0,32,22,35,9,False
2015-11-16,2,34,35,53,12,False
2015-11-17,1,31,27,57,19,False
2015-11-18,2,28,32,38,14,False
2015-11-19,3,26,36,48,14,False
2015-11-20,4,24,38,56,11,False
2015-11-21,0,28,18,18,3,False
2015-11-22,1,32,23,35,7,False
2015-11-23,0,22,36,55,6,False
2015-11-24,0,30,39,51,8,False
2015-11-25,0,30,36,39,0,False
2015-11-26,1,33,19,34,3,False
2015-11-27,0,27,18,25,1,False
2015-11-28,1,40,19,27,9,False
2015-11-29,1,33,16,24,7,False
2015-11-30,1,30,30,47,12,False
2015-12-01,1,22,31,44,12,False
2015-12-02,1,33,27,53,12,False
2015-12-03,2,31,28,45,16,False
2015-12-04,1,31,36,48,9,False
2015-12-05,1,19,23,28,3,False
2015-12-06,0,29,23,47,6,False
2015-12-07,0,37,34,43,5,False
2015-12-08,3,37,33,55,8,False
2015-12-09,0,28,42,52,21,False
2015-12-10,1,32,38,60,16,False
2015-12-11,2,28,36,68,10,False
2015-12-12,0,26,13,31,6,False
2015-12-13,0,32,27,40,13,False
2015-12-14,1,48,37,57,12,False
2015-12-15,0,32,36,59,17,False
2015-12-16,1,32,39,58,15,False
2015-12-17,1,20,42,49,12,False
2015-12-18,0,38,31,44,8,False
2015-12-19,0,37,29,23,5,False
2015-12-20,0,34,11,34,2,False
2015-12-21,1,25,24,35,13,False
2015-12-22,0,34,45,26,4,False
2015-12-23,0,34,35,35,13,False
2015-12-24,0,32,26,21,5,False
2015-12-25,2,21,16,12,5,False
2015-12-26,0,30,28,35,2,False
2015-12-27,2,32,21,36,3,False
2015-12-28,0,40,25,31,13,False
2015-12-29,1,40,22,22,11,False
2015-12-30,0,33,33,27,21,False
2015-12-31,1,31,20,39,13,False
2016-01-01,0,30,15,35,3,False
2016-01-02,1,40,20,29,2,False
2016-01-03,0,34,14,28,6,False
2016-01-04,1,36,30,37,14,False
2016-01-05,2,25,38,51,18,False
2016-01-06,0,28,47,41,14,False
2016-01-07,1,36,32,55,11,False
2016-01-08,0,34,34,42,12,False
2016-01-09,1,46,24,36,2,False
2016-01-10,0,32,17,39,4,False
2016-01-11,2,25,26,47,7,False
2016-01-12,1,32,35,49,15,False
2016-01-13,1,28,34,43,10,False
2016-01-14,1,34,25,42,8,False
2016-01-15,1,24,27,41,12,False
2016-01-16,0,40,17,31,3,False
2016-01-17,0,56,18,28,6,False
2016-01-18,1,33,26,29,4,False
2016-01-19,1,20,49,42,15,False
2016-01-20,1,30,32,61,13,False
2016-01-21,0,27,32,48,14,False
2016-01-22,2,35,21,37,11,False
2016-01-23,0,44,24,41,7,False
2016-01-24,1,31,19,44,6,False
2016-01-25,2,32,35,48,13,False
2016-01-26,4,50,35,47,17,False
2016-01-27,0,30,35,62,10,False
2016-01-28,2,29,38,56,16,False
2016-01-29,2,36,40,42,9,False
2016-01-30,0,44,18,35,6,False
2016-01-31,2,38,24,42,5,False
2016-02-01,0,26,23,61,10,False
2016-02-02,2,25,33,66,12,False
2016-02-03,3,36,34,60,12,False
2016-02-04,4,36,38,100,16,False
2016-02-05,1,47,30,77,5,False
2016-02-06,0,29,16,43,6,False
2016-02-07,1,29,21,53,6,False
2016-02-08,1,32,29,52,6,False
2016-02-09,0,14,30,69,9,False
2016-02-10,3,26,31,55,12,False
2016-02-11,0,37,27,58,18,False
2016-02-12,1,39,36,51,11,False
2016-02-13,5,27,15,33,5,False
2016-02-14,0,31,23,43,10,False
2016-02-15,0,24,33,55,18,False
2016-02-16,1,32,34,44,11,False
2016-02-17,1,28,31,40,18,False
