date,privileged,productive,productivity,profit,profitable,isPartial
2016-07-08,3,5,6,49,4,False
2016-07-09,2,4,5,41,6,False
2016-07-10,3,5,4,49,4,False
2016-07-11,3,5,7,63,7,False
2016-07-12,3,6,10,61,6,False
2016-07-13,3,5,6,60,6,False
2016-07-14,1,6,7,60,4,False
2016-07-15,1,3,6,53,5,False
2016-07-16,1,2,3,41,4,False
2016-07-17,2,3,5,40,6,False
2016-07-18,3,5,8,60,5,False
2016-07-19,3,2,7,70,7,False
2016-07-20,2,5,8,66,7,False
2016-07-21,2,5,6,59,6,False
2016-07-22,2,4,6,55,4,False
2016-07-23,2,3,3,48,5,False
2016-07-24,1,3,6,42,6,False
2016-07-25,1,3,6,61,6,False
2016-07-26,2,5,7,62,5,False
2016-07-27,2,5,8,70,6,False
2016-07-28,3,5,8,61,6,False
2016-07-29,2,3,5,56,4,False
2016-07-30,2,4,4,40,5,False
2016-07-31,1,3,4,43,8,False
2016-08-01,2,5,5,62,6,False
2016-08-02,2,5,6,65,4,False
2016-08-03,3,5,10,64,6,False
2016-08-04,1,4,8,55,7,False
2016-08-05,3,4,9,51,4,False
2016-08-06,1,3,5,36,6,False
2016-08-07,3,3,4,45,5,False
2016-08-08,1,6,9,54,4,False
2016-08-09,0,4,10,60,5,False
2016-08-10,2,7,8,58,5,False
2016-08-11,2,4,9,61,5,False
2016-08-12,2,3,7,52,6,False
2016-08-13,1,2,3,46,6,False
2016-08-14,0,3,5,36,4,False
2016-08-15,2,5,7,56,5,False
2016-08-16,1,4,8,67,7,False
2016-08-17,3,3,6,70,6,False
2016-08-18,2,4,8,66,5,False
2016-08-19,1,4,8,59,4,False
2016-08-20,1,4,4,44,5,False
2016-08-21,2,4,5,39,4,False
2016-08-22,2,6,8,61,6,False
2016-08-23,3,9,9,71,6,False
2016-08-24,2,8,9,79,5,False
2016-08-25,2,8,7,75,5,False
2016-08-26,2,4,8,56,5,False
2016-08-27,1,4,5,47,5,False
2016-08-28,2,6,6,49,7,False
2016-08-29,3,5,9,72,4,False
2016-08-30,2,7,7,72,6,False
2016-08-31,3,7,9,72,7,False
2016-09-01,3,9,10,77,7,False
2016-09-02,2,8,8,61,6,False
2016-09-03,2,3,5,43,5,False
2016-09-04,3,5,5,49,5,False
2016-09-05,2,6,10,59,5,False
2016-09-06,4,7,12,79,4,False
2016-09-07,2,9,13,88,6,False
2016-09-08,3,7,13,89,6,False
2016-09-09,3,5,14,70,5,False
2016-09-10,2,6,7,49,5,False
2016-09-11,3,6,9,56,5,False
2016-09-12,2,8,11,83,7,False
2016-09-13,2,6,15,81,5,False
2016-09-14,3,7,15,86,6,False
2016-09-15,3,7,12,77,5,False
2016-09-16,1,6,12,72,5,False
2016-09-17,1,4,6,50,5,False
2016-09-18,2,6,8,55,6,False
2016-09-19,3,7,11,83,6,False
2016-09-20,2,9,10,85,5,False
2016-09-21,3,6,15,85,6,False
2016-09-22,3,7,11,80,8,False
2016-09-23,2,6,10,72,6,False
2016-09-24,1,3,5,47,5,False
2016-09-25,1,5,8,55,5,False
2016-09-26,3,9,11,76,7,False
2016-09-27,3,9,12,94,4,False
2016-09-28,3,9,14,92,5,False
2016-09-29,2,6,10,88,8,False
2016-09-30,2,5,9,69,5,False
2016-10-01,1,3,5,48,5,False
2016-10-02,1,4,8,50,7,False
