Time,Value
2004-01,101.3257
2004-02,101.2126
2004-03,101.0456
2004-04,100.8753
2004-05,100.7973
2004-06,100.9346
2004-07,101.0454
2004-08,101.0209
2004-09,100.9026
2004-10,100.8137
2004-11,100.8776
2004-12,101.0128
2005-01,100.9981
2005-02,100.8432
2005-03,100.6148
2005-04,100.4272
2005-05,100.4949
2005-06,100.7439
2005-07,100.6508
2005-08,100.0622
2005-09,99.34686
2005-10,99.11469
2005-11,99.49945
2005-12,100.0735
2006-01,100.3326
2006-02,100.2842
2006-03,100.1534
2006-04,99.90307
2006-05,99.62246
2006-06,99.60179
2006-07,99.63777
2006-08,99.73555
2006-09,100.0493
2006-10,100.4671
2006-11,100.6969
2006-12,100.8118
2007-01,100.8436
2007-02,100.6216
2007-03,100.3512
2007-04,100.1781
2007-05,100.1181
2007-06,100.0776
2007-07,100.0546
2007-08,99.82663
2007-09,99.57283
2007-10,99.27985
2007-11,98.99553
2007-12,98.82825
2008-01,98.66745
2008-02,98.28046
2008-03,97.81391
2008-04,97.28801
2008-05,96.91043
2008-06,96.79169
2008-07,96.99389
2008-08,97.25005
2008-09,97.32576
2008-10,96.97441
2008-11,96.71896
2008-12,96.71152
2009-01,96.7187
2009-02,96.69278
2009-03,96.8938
2009-04,97.33988
2009-05,97.72372
2009-06,97.88263
2009-07,97.83762
2009-08,97.88111
2009-09,98.05814
2009-10,98.08765
2009-11,98.10162
2009-12,98.27495
2010-01,98.43562
2010-02,98.49038
2010-03,98.4873
2010-04,98.467
2010-05,98.46574
2010-06,98.37128
2010-07,98.08856
2010-08,97.91614
2010-09,97.86565
2010-10,97.96348
2010-11,98.21903
2010-12,98.46816
2011-01,98.5757
2011-02,98.52698
2011-03,98.28506
2011-04,98.22705
2011-05,98.21146
2011-06,97.90632
2011-07,97.33338
2011-08,96.84435
2011-09,96.77763
2011-10,97.00771
2011-11,97.44639
2011-12,97.98903
2012-01,98.45164
2012-02,98.70954
2012-03,98.83382
2012-04,98.86866
2012-05,98.81271
2012-06,98.60784
2012-07,98.53565
2012-08,98.70587
2012-09,99.02282
2012-10,99.25011
2012-11,99.16354
2012-12,98.8289
2013-01,98.70023
2013-02,98.80344
2013-03,98.9706
2013-04,99.1832
2013-05,99.52229
2013-06,99.69761
2013-07,99.65983
2013-08,99.3783
2013-09,98.99631
2013-10,98.76015
2013-11,98.86088
2013-12,99.16534
2014-01,99.33865
2014-02,99.40892
2014-03,99.44125
2014-04,99.51447
2014-05,99.50082
2014-06,99.47433
2014-07,99.46612
2014-08,99.56129
2014-09,99.7662
2014-10,100.0543
2014-11,100.4078
2014-12,100.7997
2015-01,101.0638
2015-02,101.0661
2015-03,100.9696
2015-04,100.9149
2015-05,100.8346
2015-06,100.8487
2015-07,100.7341
2015-08,100.5447
2015-09,100.3741
2015-10,100.4033
2015-11,100.5198
2015-12,100.6167
2016-01,100.6298
2016-02,100.5925
2016-03,100.5527
2016-04,100.5748
2016-05,100.697
2016-06,100.675
2016-07,100.5284
2016-08,100.4226
2016-09,100.4034
2016-10,100.4803
2016-11,100.8092
2016-12,101.1464
2017-01,101.2944
2017-02,101.2821
2017-03,101.2514
2017-04,101.2115
2017-05,101.14
2017-06,101.0344
2017-07,100.9954
2017-08,101.0979
2017-09,101.2299
2017-10,101.3895
2017-11,101.3534
2017-12,101.1748
