date,boom,breadwinner,buy,capitalize,charitable
2004-01-01,2.53909301758,0,102.34421184,0,0.0
2004-01-02,3.80863952637,0,91.3394578785,0,0.0
2004-01-03,3.80863952637,0,107.84658882,0,0.0
2004-01-04,5.07818603516,0,97.9423102553,0,0.0
2004-01-05,1.26954650879,0,89.1385070863,0,0.0
2004-01-06,2.53909301758,0,75.9328023327,0,0.0
2004-01-07,1.26954650879,0,73.7318515405,0,0.0
2004-01-08,3.80863952637,0,73.7318515405,0,0.0
2004-01-09,3.80863952637,0,68.2294745599,0,0.0
2004-01-10,3.80863952637,0,96.8418348591,0,0.0
2004-01-11,2.53909301758,0,90.2389824824,0,0.0
2004-01-12,2.53909301758,0,75.9328023327,0,0.0
2004-01-13,3.80863952637,0,75.9328023327,0,0.0
2004-01-14,2.53909301758,0,70.4304253521,0,0.0
2004-01-15,3.80863952637,0,69.329949956,0,0.0
2004-01-16,5.07818603516,0,74.8323269366,0,0.0
2004-01-17,2.53909301758,0,86.937556294,0,0.0
2004-01-18,2.53909301758,0,91.3394578785,0,0.0
2004-01-19,3.80863952637,0,80.3347039172,0,0.0
2004-01-20,3.80863952637,0,74.8323269366,0,0.0
2004-01-21,2.53909301758,0,68.2294745599,0,0.0
2004-01-22,3.80863952637,0,72.6313761444,0,0.0
2004-01-23,5.07818603516,0,69.329949956,0,0.0
2004-01-24,5.07818603516,0,96.8418348591,0,0.0
2004-01-25,2.53909301758,0,93.5404086708,0,0.0
2004-01-26,2.53909301758,0,70.4304253521,0,0.0
2004-01-27,3.80863952637,0,68.2294745599,0,0.0
2004-01-28,3.80863952637,0,72.6313761444,0,0.0
2004-01-29,2.53909301758,0,66.0285237676,0,0.0
2004-01-30,2.53909301758,0,70.4304253521,0,0.0
2004-01-31,3.80863952637,0,92.4399332746,0,0.0
2004-02-01,3.80863952637,0,92.4399332746,0,0.0
2004-02-02,3.80863952637,0,67.1289991637,0,0.0
2004-02-03,3.80863952637,0,59.4256713908,0,0.0
2004-02-04,3.80863952637,0,66.0285237676,0,0.0
2004-02-05,2.53909301758,0,69.329949956,0,0.0
2004-02-06,3.80863952637,0,77.0332777289,0,0.0
2004-02-07,5.07818603516,0,64.9280483715,0,0.0
2004-02-08,3.80863952637,0,89.1385070863,0,0.0
2004-02-09,5.07818603516,0,72.6313761444,0,0.0
2004-02-10,2.53909301758,0,75.9328023327,0,0.0
2004-02-11,3.80863952637,0,72.6313761444,0,0.0
2004-02-12,3.80863952637,0,67.1289991637,0,0.0
2004-02-13,2.53909301758,0,73.7318515405,0,0.0
2004-02-14,3.80863952637,0,83.6361301056,0,0.0
2004-02-15,5.07818603516,0,84.7366055017,0,0.0
2004-02-16,3.80863952637,0,81.4351793134,0,0.0
2004-02-17,2.53909301758,0,72.6313761444,0,0.0
2004-02-18,3.80863952637,0,71.5309007482,0,0.0
2004-02-19,5.07818603516,0,64.9280483715,0,0.0
2004-02-20,3.80863952637,0,74.8323269366,0,0.0
2004-02-21,5.07818603516,0,93.5404086708,0,0.0
2004-02-22,2.53909301758,0,84.7366055017,0,0.0
2004-02-23,2.53909301758,0,70.4304253521,0,0.0
2004-02-24,3.80863952637,0,63.8275729753,0,0.0
2004-02-25,5.07818603516,0,63.8275729753,0,0.0
2004-02-26,3.80863952637,0,67.1289991637,0,0.0
2004-02-27,3.80863952637,0,70.4304253521,0,0.0
2004-02-28,5.07818603516,0,85.8370808979,0,0.0
2004-02-29,6.34773254395,0,96.8418348591,0,0.0
2004-03-01,3.80863952637,0,68.2294745599,0,0.0
2004-03-02,5.07818603516,0,67.1289991637,0,0.0
2004-03-03,2.53909301758,0,70.4304253521,0,0.0
2004-03-04,5.07818603516,0,66.0285237676,0,0.0
2004-03-05,6.34773254395,0,85.8370808979,0,0.0
2004-03-06,6.34773254395,0,84.7366055017,0,0.0
2004-03-07,6.34773254395,0,86.937556294,0,0.0
2004-03-08,0.0,0,0.0,0,0.0
2004-03-09,0.0,0,0.0,0,0.0
2004-03-10,3.80863952637,0,60.526146787,0,0.0
2004-03-11,1.26954650879,0,80.3347039172,0,0.0
2004-03-12,2.53909301758,0,62.7270975792,0,0.0
2004-03-13,5.07818603516,0,94.6408840669,0,0.0
2004-03-14,5.07818603516,0,93.5404086708,0,0.0
2004-03-15,3.80863952637,0,77.0332777289,0,0.0
2004-03-16,3.80863952637,0,72.6313761444,0,0.0
2004-03-17,3.80863952637,0,69.329949956,0,0.0
