date,broke,cost,crisis,poor,poverty
2004-01-01,8.0,55.7275031931,17.0,5.71657513873,5.41978721866
2004-01-02,3.0,66.6739770346,7.0,10.4803877543,6.32308508843
2004-01-03,4.0,66.6739770346,9.0,7.62210018497,4.51648934888
2004-01-04,2.0,74.6350489193,11.0,9.52762523121,4.51648934888
2004-01-05,2.0,79.6107188473,15.0,7.62210018497,5.41978721866
2004-01-06,5.0,82.5961208041,9.0,8.57486270809,6.32308508843
2004-01-07,3.0,71.6496469626,12.0,12.3859128006,9.03297869776
2004-01-08,1.0,84.5863887753,9.0,12.3859128006,9.03297869776
2004-01-09,5.0,85.5815227608,10.0,10.4803877543,5.41978721866
2004-01-10,0.0,73.6399149337,5.0,11.4331502775,2.70989360933
2004-01-11,4.0,63.6885750778,7.0,9.52762523121,8.12968082799
2004-01-12,1.0,73.6399149337,8.0,10.4803877543,6.32308508843
2004-01-13,0.0,77.6204508761,8.0,6.66933766185,7.22638295821
2004-01-14,2.0,71.6496469626,13.0,7.62210018497,9.93627656754
2004-01-15,3.0,76.6253168905,14.0,6.66933766185,8.12968082799
2004-01-16,2.0,79.6107188473,10.0,5.71657513873,7.22638295821
2004-01-17,3.0,53.7372352219,8.0,4.76381261561,8.12968082799
2004-01-18,2.0,76.6253168905,6.0,11.4331502775,1.80659573955
2004-01-19,4.0,70.654512977,14.0,8.57486270809,2.70989360933
2004-01-20,1.0,72.6447809482,6.0,10.4803877543,6.32308508843
2004-01-21,1.0,74.6350489193,12.0,9.52762523121,6.32308508843
2004-01-22,2.0,81.6009868185,13.0,12.3859128006,8.12968082799
2004-01-23,2.0,65.678843049,9.0,11.4331502775,6.32308508843
2004-01-24,4.0,65.678843049,7.0,7.62210018497,2.70989360933
2004-01-25,1.0,70.654512977,13.0,12.3859128006,5.41978721866
2004-01-26,2.0,70.654512977,10.0,8.57486270809,5.41978721866
2004-01-27,2.0,76.6253168905,8.0,10.4803877543,8.12968082799
2004-01-28,4.0,65.678843049,12.0,8.57486270809,5.41978721866
2004-01-29,0.0,87.571790732,9.0,10.4803877543,5.41978721866
2004-01-30,3.0,87.571790732,12.0,13.3386753237,6.32308508843
2004-01-31,1.0,57.7177711643,12.0,9.52762523121,5.41978721866
2004-02-01,1.0,77.6204508761,11.0,13.3386753237,7.22638295821
2004-02-02,2.0,76.6253168905,7.0,7.62210018497,8.12968082799
2004-02-03,3.0,70.654512977,10.0,9.52762523121,9.03297869776
2004-02-04,2.0,70.654512977,12.0,12.3859128006,8.12968082799
2004-02-05,3.0,75.6301829049,10.0,13.3386753237,6.32308508843
2004-02-06,2.0,76.6253168905,8.0,13.3386753237,9.03297869776
2004-02-07,6.0,63.6885750778,14.0,11.4331502775,0.0
2004-02-08,2.0,82.5961208041,5.0,9.52762523121,8.12968082799
2004-02-09,1.0,71.6496469626,12.0,13.3386753237,9.93627656754
2004-02-10,3.0,78.6155848617,13.0,11.4331502775,7.22638295821
2004-02-11,4.0,83.5912547897,15.0,14.2914378468,9.03297869776
2004-02-12,1.0,74.6350489193,13.0,11.4331502775,11.7428723071
2004-02-13,3.0,70.654512977,6.0,7.62210018497,6.32308508843
2004-02-14,3.0,71.6496469626,8.0,9.52762523121,1.80659573955
2004-02-15,6.0,61.6983071067,7.0,15.2442003699,8.12968082799
2004-02-16,4.0,76.6253168905,10.0,11.4331502775,5.41978721866
2004-02-17,2.0,82.5961208041,13.0,9.52762523121,6.32308508843
2004-02-18,1.0,88.5669247176,15.0,9.52762523121,14.4527659164
2004-02-19,4.0,77.6204508761,8.0,11.4331502775,6.32308508843
2004-02-20,1.0,86.5766567464,13.0,4.76381261561,9.03297869776
2004-02-21,2.0,67.6691110202,9.0,8.57486270809,5.41978721866
2004-02-22,6.0,77.6204508761,10.0,13.3386753237,8.12968082799
2004-02-23,4.0,84.5863887753,15.0,10.4803877543,8.12968082799
2004-02-24,2.0,87.571790732,14.0,13.3386753237,9.93627656754
2004-02-25,1.0,86.5766567464,16.0,8.57486270809,7.22638295821
2004-02-26,1.0,81.6009868185,9.0,11.4331502775,8.12968082799
2004-02-27,1.0,76.6253168905,8.0,10.4803877543,10.8395744373
2004-02-28,5.0,70.654512977,13.0,6.66933766185,5.41978721866
2004-02-29,0.0,63.6885750778,8.0,3.81105009249,9.93627656754
2004-03-01,1.0,89.5620587032,10.0,3.81105009249,9.93627656754
2004-03-02,2.0,72.6447809482,15.0,6.66933766185,10.8395744373
2004-03-03,5.0,79.6107188473,15.0,7.62210018497,4.51648934888
2004-03-04,2.0,72.6447809482,15.0,5.71657513873,7.22638295821
2004-03-05,3.0,76.6253168905,13.0,9.52762523121,2.70989360933
2004-03-06,2.0,50.7518332651,14.0,11.4331502775,6.32308508843
