date,contribution,cooperative,donate,donation,economize
2004-01-01,35.5588748342,25.4110730351,42.3705111394,31.5398814755,0.0
2004-01-02,65.8885033693,80.6525361549,61.0633837008,53.4806685889,0.0
2004-01-03,50.2007644719,46.4028290206,37.385745123,91.8770460373,0.0
2004-01-04,56.4758600309,33.1448778719,52.3400431721,90.5057468427,0.0
2004-01-05,58.5675585505,15.4676096735,87.2334052869,38.3963774484,0.0
2004-01-06,46.0173674325,48.6124875454,59.8171921967,53.4806685889,0.0
2004-01-07,59.6134078103,62.9752679566,36.1395536189,63.079762951,0.0
2004-01-08,49.154915212,64.080097219,53.5862346762,64.4510621456,0.0
2004-01-09,64.8426541095,48.6124875454,41.1243196353,60.3371645618,0.0
2004-01-10,24.0545329761,32.0400486095,42.3705111394,23.312086308,0.0
2004-01-11,42.8798196531,26.5159022975,58.5710006926,56.223266978,0.0
2004-01-12,42.8798196531,72.9187313182,56.0786176844,65.8223613401,0.0
2004-01-13,49.154915212,56.3462923822,58.5710006926,105.590037983,0.0
2004-01-14,57.5217092907,60.7656094318,42.3705111394,83.6492508698,0.0
2004-01-15,57.5217092907,26.5159022975,33.6471706107,79.535353286,0.0
2004-01-16,76.3469959676,64.080097219,49.8476601639,100.104841205,0.0
2004-01-17,41.8339703932,44.1931704959,42.3705111394,85.0205500644,0.0
2004-01-18,24.0545329761,13.2579511488,36.1395536189,63.079762951,0.0
2004-01-19,15.6877388975,50.8221460702,52.3400431721,79.535353286,0.0
2004-01-20,20.9169851966,40.8786827087,24.923830082,79.535353286,0.0
2004-01-21,46.0173674325,51.9269753326,21.1852555697,101.476140399,0.0
2004-01-22,34.5130255744,36.4593656591,28.6624045943,82.2779516752,0.0
2004-01-23,40.7881211334,55.2414631198,43.6167026435,53.4806685889,0.0
2004-01-24,28.2379300154,47.507658283,39.8781281312,58.9658653672,0.0
2004-01-25,49.154915212,35.3545363967,32.4009791066,43.8815742268,0.0
2004-01-26,34.5130255744,66.2897557438,41.1243196353,95.9909436211,0.0
2004-01-27,27.1920807556,93.9104873037,44.8628941476,67.1936605347,0.0
2004-01-28,37.6505733539,44.1931704959,44.8628941476,63.079762951,0.0
2004-01-29,41.8339703932,66.2897557438,46.1090856517,87.7631484535,0.0
2004-01-30,48.1090659522,50.8221460702,22.4314470738,58.9658653672,0.0
2004-01-31,28.2379300154,24.3062437727,53.5862346762,97.3622428156,0.0
2004-02-01,46.0173674325,48.6124875454,41.1243196353,75.4214557023,0.0
2004-02-02,47.0632166924,70.7090727934,23.6776385779,57.5945661726,0.0
2004-02-03,32.4213270547,60.7656094318,22.4314470738,67.1936605347,0.0
2004-02-04,29.2837792753,68.4994142686,31.1547876025,102.847439594,0.0
2004-02-05,36.6047240941,48.6124875454,16.2004895533,64.4510621456,0.0
2004-02-06,31.3754777949,61.8704386942,44.8628941476,68.5649597293,0.0
2004-02-07,14.6418896376,15.4676096735,36.1395536189,19.1981887242,0.0
2004-02-08,50.2007644719,44.1931704959,19.9390640656,54.8519677835,0.0
2004-02-09,40.7881211334,64.080097219,32.4009791066,57.5945661726,0.0
2004-02-10,42.8798196531,69.604243531,23.6776385779,82.2779516752,0.0
2004-02-11,57.5217092907,67.3945850062,59.8171921967,83.6492508698,0.0
2004-02-12,51.2466137317,43.0883412335,36.1395536189,53.4806685889,0.0
2004-02-13,14.6418896376,43.0883412335,31.1547876025,38.3963774484,0.0
2004-02-14,11.5043418581,30.9352193471,27.4162130902,30.1685822809,0.0
2004-02-15,30.3296285351,18.7820974607,42.3705111394,71.3075581185,0.0
2004-02-16,38.6964226137,56.3462923822,36.1395536189,85.0205500644,0.0
2004-02-17,23.0086837163,75.128389843,19.9390640656,57.5945661726,0.0
2004-02-18,46.0173674325,62.9752679566,43.6167026435,126.159525902,0.0
2004-02-19,67.980201889,46.4028290206,44.8628941476,63.079762951,0.0
2004-02-20,25.1003822359,34.2497071343,29.9085960984,52.1093693943,0.0
2004-02-21,11.5043418581,58.555950907,33.6471706107,124.788226707,0.0
