date,depression,jobless,liquidate,recession,uneconomical
2004-01-01,75.2047221726,0.0,0.0,0.0,0
2004-01-02,68.9376619916,0.0,0.0,0.0,0
2004-01-03,114.896103319,0.0,0.0,1.6791423557,0
2004-01-04,116.98512338,0.0,0.0,0.0,0
2004-01-05,106.540023078,0.0,0.0,0.0,0
2004-01-06,116.98512338,0.0,0.0,1.6791423557,0
2004-01-07,114.896103319,0.0,0.0,0.0,0
2004-01-08,129.519243742,0.0,0.0,0.0,0
2004-01-09,123.252183561,0.0,0.0,0.0,0
2004-01-10,79.3827622933,0.0,0.0,1.6791423557,0
2004-01-11,114.896103319,0.0,0.0,5.0374270671,0
2004-01-12,121.1631635,0.0,0.0,0.0,0
2004-01-13,127.430223681,0.0,0.0,3.3582847114,0
2004-01-14,108.629043138,0.0,0.0,0.0,0
2004-01-15,125.341203621,0.0,0.0,0.0,0
2004-01-16,79.3827622933,0.0,0.0,0.0,0
2004-01-17,87.7388425347,0.0,0.0,0.0,0
2004-01-18,87.7388425347,0.0,0.0,0.0,0
2004-01-19,106.540023078,0.0,0.0,0.0,0
2004-01-20,125.341203621,0.0,0.0,1.6791423557,0
2004-01-21,133.697283862,0.0,0.0,1.6791423557,0
2004-01-22,119.07414344,0.0,0.0,3.3582847114,0
2004-01-23,108.629043138,0.0,0.0,1.6791423557,0
2004-01-24,77.293742233,0.0,0.0,5.0374270671,0
2004-01-25,89.8278625951,0.0,0.0,1.6791423557,0
2004-01-26,96.0949227761,0.0,0.0,3.3582847114,0
2004-01-27,102.361982957,0.0,0.0,3.3582847114,0
2004-01-28,127.430223681,0.0,0.0,3.3582847114,0
2004-01-29,100.272962897,0.0,0.0,1.6791423557,0
2004-01-30,91.9168826554,0.0,0.0,1.6791423557,0
2004-01-31,89.8278625951,0.0,0.0,1.6791423557,0
2004-02-01,135.786303923,0.0,0.0,0.0,0
2004-02-02,123.252183561,0.0,0.0,1.6791423557,0
2004-02-03,119.07414344,0.0,0.0,0.0,0
2004-02-04,131.608263802,0.0,0.0,1.6791423557,0
2004-02-05,129.519243742,0.0,0.0,3.3582847114,0
2004-02-06,110.718063199,0.0,0.0,1.6791423557,0
2004-02-07,123.252183561,0.0,0.0,0.0,0
2004-02-08,94.0059027158,0.0,0.0,0.0,0
2004-02-09,127.430223681,0.0,0.0,3.3582847114,0
2004-02-10,137.875323983,0.0,0.0,1.6791423557,0
2004-02-11,142.053364104,0.0,0.0,0.0,0
2004-02-12,158.765524587,0.0,0.0,1.6791423557,0
2004-02-13,98.1839428365,0.0,0.0,1.6791423557,0
2004-02-14,89.8278625951,0.0,0.0,1.6791423557,0
2004-02-15,87.7388425347,0.0,0.0,0.0,0
2004-02-16,119.07414344,0.0,0.0,1.6791423557,0
2004-02-17,119.07414344,0.0,0.0,1.6791423557,0
2004-02-18,112.807083259,0.0,0.0,1.6791423557,0
2004-02-19,114.896103319,0.0,0.0,0.0,0
2004-02-20,152.498464406,0.0,0.0,3.3582847114,0
2004-02-21,112.807083259,0.0,0.0,5.0374270671,0
2004-02-22,79.3827622933,0.0,0.0,1.6791423557,0
2004-02-23,131.608263802,0.0,0.0,3.3582847114,0
2004-02-24,152.498464406,0.0,0.0,3.3582847114,0
2004-02-25,131.608263802,0.0,0.0,3.3582847114,0
2004-02-26,119.07414344,0.0,0.0,3.3582847114,0
2004-02-27,129.519243742,0.0,0.0,3.3582847114,0
2004-02-28,68.9376619916,0.0,0.0,1.6791423557,0
2004-02-29,62.6706018105,0.0,0.0,6.7165694228,0
2004-03-01,131.608263802,0.0,0.0,1.6791423557,0
2004-03-02,125.341203621,0.0,0.0,3.3582847114,0
2004-03-03,116.98512338,0.0,0.0,5.0374270671,0
2004-03-04,146.231404225,0.0,0.0,0.0,0
2004-03-05,150.409444345,0.0,0.0,0.0,0
2004-03-06,129.519243742,0.0,0.0,0.0,0
2004-03-07,110.718063199,0.0,0.0,6.7165694228,0
2004-03-08,0.0,0.0,0.0,0.0,0
