date,expense,expensive,fine,ghetto,intervention
2004-01-01,0.0,17.1754575504,150.44899685,22.7630389736,0.0
2004-01-02,13.9498793632,17.1754575504,238.807931509,18.2104311788,8.30602776057
2004-01-03,5.57995174529,15.4579117954,160.001314111,36.4208623577,13.843379601
2004-01-04,6.97493968161,30.9158235907,131.34436233,52.3549896392,11.0747036808
2004-01-05,11.1599034906,36.0684608558,119.403965754,18.2104311788,0.0
2004-01-06,5.57995174529,22.3280948155,119.403965754,25.0393428709,11.0747036808
2004-01-07,13.9498793632,17.1754575504,160.001314111,29.5919506656,19.3807314413
2004-01-08,12.5548914269,13.7403660403,143.284758905,31.868254563,13.843379601
2004-01-09,11.1599034906,18.8930033054,148.060917535,20.4867350762,13.843379601
2004-01-10,13.9498793632,12.0228202853,191.046345207,34.1445584603,5.53735184038
2004-01-11,2.78997587265,20.6105490605,205.374821097,47.8023818445,5.53735184038
2004-01-12,11.1599034906,8.5877287752,138.508600275,25.0393428709,22.1494073615
2004-01-13,11.1599034906,20.6105490605,128.956283015,29.5919506656,27.6867592019
2004-01-14,12.5548914269,18.8930033054,121.792045069,29.5919506656,35.9927869625
2004-01-15,16.7398552359,17.1754575504,179.105948631,25.0393428709,33.2241110423
2004-01-16,8.36992761794,25.7631863256,152.837076166,38.6971662551,27.6867592019
2004-01-17,9.76491555426,12.0228202853,217.315217673,38.6971662551,33.2241110423
2004-01-18,11.1599034906,29.1982778357,174.329790001,43.2497740498,8.30602776057
2004-01-19,4.18496380897,12.0228202853,152.837076166,38.6971662551,13.843379601
2004-01-20,11.1599034906,25.7631863256,128.956283015,27.3156467683,19.3807314413
2004-01-21,5.57995174529,20.6105490605,157.613234796,38.6971662551,24.9180832817
2004-01-22,11.1599034906,22.3280948155,155.225155481,29.5919506656,22.1494073615
2004-01-23,6.97493968161,15.4579117954,148.060917535,40.9734701524,19.3807314413
2004-01-24,6.97493968161,15.4579117954,160.001314111,25.0393428709,13.843379601
2004-01-25,8.36992761794,13.7403660403,229.255614248,43.2497740498,8.30602776057
2004-01-26,8.36992761794,25.7631863256,186.270186577,22.7630389736,16.6120555211
2004-01-27,6.97493968161,17.1754575504,145.67283822,31.868254563,22.1494073615
2004-01-28,11.1599034906,24.0456405706,179.105948631,27.3156467683,19.3807314413
2004-01-29,12.5548914269,20.6105490605,150.44899685,20.4867350762,33.2241110423
2004-01-30,6.97493968161,22.3280948155,171.941710686,25.0393428709,13.843379601
2004-01-31,13.9498793632,10.3052745302,210.150979728,36.4208623577,16.6120555211
2004-02-01,19.5298311085,24.0456405706,140.89667959,40.9734701524,8.30602776057
2004-02-02,12.5548914269,18.8930033054,171.941710686,22.7630389736,22.1494073615
2004-02-03,12.5548914269,15.4579117954,143.284758905,36.4208623577,38.7614628827
2004-02-04,13.9498793632,17.1754575504,126.5682037,29.5919506656,22.1494073615
2004-02-05,11.1599034906,17.1754575504,143.284758905,29.5919506656,16.6120555211
2004-02-06,9.76491555426,27.4807320806,167.165552056,18.2104311788,5.53735184038
2004-02-07,5.57995174529,29.1982778357,188.658265892,47.8023818445,11.0747036808
2004-02-08,2.78997587265,15.4579117954,186.270186577,31.868254563,5.53735184038
2004-02-09,16.7398552359,30.9158235907,143.284758905,27.3156467683,33.2241110423
2004-02-10,9.76491555426,30.9158235907,176.717869316,20.4867350762,22.1494073615
2004-02-11,9.76491555426,22.3280948155,229.255614248,29.5919506656,16.6120555211
2004-02-12,12.5548914269,17.1754575504,188.658265892,31.868254563,33.2241110423
2004-02-13,9.76491555426,29.1982778357,181.494027947,25.0393428709,24.9180832817
2004-02-14,6.97493968161,32.6333693458,226.867534933,34.1445584603,22.1494073615
2004-02-15,6.97493968161,22.3280948155,167.165552056,40.9734701524,22.1494073615
2004-02-16,12.5548914269,24.0456405706,167.165552056,29.5919506656,24.9180832817
2004-02-17,11.1599034906,29.1982778357,140.89667959,20.4867350762,19.3807314413
2004-02-18,6.97493968161,13.7403660403,162.389393426,20.4867350762,22.1494073615
