date,gain,generosity,gift,gold,guide
2004-01-01,13.2020890819,0,28.7361531875,45.1305215416,160.806510571
2004-01-02,8.80139272128,0,24.1988658421,48.6021001217,144.397682962
2004-01-03,11.0017409016,0,25.7112949572,57.281046572,137.834151918
2004-01-04,8.80139272128,0,22.6864367269,64.2242037322,144.397682962
2004-01-05,4.40069636064,0,21.1740076118,48.6021001217,139.475034679
2004-01-06,8.80139272128,0,22.6864367269,45.1305215416,103.375613938
2004-01-07,11.0017409016,0,24.1988658421,50.3378894117,123.06620707
2004-01-08,8.80139272128,0,19.6615784967,53.8094679919,116.502676026
2004-01-09,8.80139272128,0,19.6615784967,52.0736787018,105.016496699
2004-01-10,8.80139272128,0,22.6864367269,52.0736787018,139.475034679
2004-01-11,6.60104454096,0,16.6367202664,59.016835862,136.193269157
2004-01-12,6.60104454096,0,21.1740076118,45.1305215416,106.65737946
2004-01-13,11.0017409016,0,22.6864367269,46.8663108316,109.939144982
2004-01-14,8.80139272128,0,21.1740076118,50.3378894117,124.707089831
2004-01-15,11.0017409016,0,24.1988658421,46.8663108316,109.939144982
2004-01-16,8.80139272128,0,21.1740076118,52.0736787018,116.502676026
2004-01-17,6.60104454096,0,19.6615784967,62.4884144422,150.961214005
2004-01-18,11.0017409016,0,19.6615784967,60.7526251521,134.552386396
2004-01-19,8.80139272128,0,24.1988658421,55.5452572819,141.11591744
2004-01-20,8.80139272128,0,22.6864367269,50.3378894117,113.220910504
2004-01-21,11.0017409016,0,24.1988658421,53.8094679919,109.939144982
2004-01-22,8.80139272128,0,22.6864367269,46.8663108316,113.220910504
2004-01-23,8.80139272128,0,22.6864367269,53.8094679919,105.016496699
2004-01-24,6.60104454096,0,27.2237240723,62.4884144422,132.911503635
2004-01-25,6.60104454096,0,22.6864367269,46.8663108316,134.552386396
2004-01-26,11.0017409016,0,24.1988658421,46.8663108316,111.580027743
2004-01-27,8.80139272128,0,25.7112949572,45.1305215416,109.939144982
2004-01-28,8.80139272128,0,19.6615784967,41.6589429614,106.65737946
2004-01-29,8.80139272128,0,22.6864367269,48.6021001217,103.375613938
2004-01-30,8.80139272128,0,19.6615784967,52.0736787018,98.4529656557
2004-01-31,8.80139272128,0,24.1988658421,48.6021001217,129.629738113
2004-02-01,13.2020890819,0,24.1988658421,48.6021001217,146.038565723
2004-02-02,6.60104454096,0,22.6864367269,43.3947322515,91.889434612
2004-02-03,11.0017409016,0,16.6367202664,43.3947322515,109.939144982
2004-02-04,6.60104454096,0,27.2237240723,48.6021001217,98.4529656557
2004-02-05,11.0017409016,0,30.2485823026,48.6021001217,101.734731178
2004-02-06,6.60104454096,0,24.1988658421,39.9231536714,108.298262221
2004-02-07,13.2020890819,0,28.7361531875,39.9231536714,147.679448484
2004-02-08,11.0017409016,0,27.2237240723,53.8094679919,129.629738113
2004-02-09,11.0017409016,0,30.2485823026,48.6021001217,109.939144982
2004-02-10,8.80139272128,0,30.2485823026,48.6021001217,121.425324309
2004-02-11,11.0017409016,0,33.2734405328,45.1305215416,108.298262221
2004-02-12,8.80139272128,0,30.2485823026,43.3947322515,109.939144982
2004-02-13,6.60104454096,0,34.785869648,50.3378894117,108.298262221
2004-02-14,8.80139272128,0,33.2734405328,57.281046572,136.193269157
2004-02-15,11.0017409016,0,13.6118620362,48.6021001217,141.11591744
2004-02-16,6.60104454096,0,19.6615784967,45.1305215416,123.06620707
2004-02-17,6.60104454096,0,21.1740076118,53.8094679919,114.861793265
2004-02-18,8.80139272128,0,18.1491493816,45.1305215416,109.939144982
2004-02-19,8.80139272128,0,18.1491493816,50.3378894117,106.65737946
2004-02-20,8.80139272128,0,22.6864367269,50.3378894117,98.4529656557
2004-02-21,4.40069636064,0,21.1740076118,48.6021001217,114.861793265
2004-02-22,8.80139272128,0,15.1242911513,57.281046572,142.756800201
2004-02-23,13.2020890819,0,16.6367202664,48.6021001217,108.298262221
2004-02-24,8.80139272128,0,18.1491493816,43.3947322515,109.939144982
2004-02-25,11.0017409016,0,18.1491493816,45.1305215416,106.65737946
2004-02-26,13.2020890819,0,19.6615784967,46.8663108316,108.298262221
2004-02-27,11.0017409016,0,18.1491493816,46.8663108316,98.4529656557
2004-02-28,8.80139272128,0,22.6864367269,55.5452572819,127.988855352
2004-02-29,4.40069636064,0,13.6118620362,55.5452572819,126.347972591
2004-03-01,13.2020890819,0,15.1242911513,45.1305215416,96.8120828948
2004-03-02,8.80139272128,0,18.1491493816,46.8663108316,106.65737946
2004-03-03,13.2020890819,0,15.1242911513,45.1305215416,124.707089831
2004-03-04,11.0017409016,0,22.6864367269,46.8663108316,88.6076690901
2004-03-05,13.2020890819,0,12.099432921,45.1305215416,164.088276093
2004-03-06,8.80139272128,0,19.6615784967,50.3378894117,126.347972591
2004-03-07,11.0017409016,0,19.6615784967,85.0536752129,164.088276093
2004-03-08,0.0,0,0.0,0.0,0.0
2004-03-09,0.0,0,0.0,0.0,0.0
2004-03-10,8.80139272128,0,19.6615784967,45.1305215416,86.9667863292
2004-03-11,13.2020890819,0,13.6118620362,59.016835862,127.988855352
2004-03-12,15.4024372622,0,18.1491493816,43.3947322515,103.375613938
2004-03-13,6.60104454096,0,22.6864367269,50.3378894117,116.502676026
2004-03-14,11.0017409016,0,18.1491493816,46.8663108316,146.038565723
2004-03-15,11.0017409016,0,21.1740076118,50.3378894117,116.502676026
2004-03-16,13.2020890819,0,19.6615784967,50.3378894117,98.4529656557
2004-03-17,8.80139272128,0,18.1491493816,53.8094679919,109.939144982
2004-03-18,8.80139272128,0,21.1740076118,43.3947322515,106.65737946
2004-03-19,11.0017409016,0,22.6864367269,48.6021001217,105.016496699
2004-03-20,6.60104454096,0,15.1242911513,53.8094679919,111.580027743
2004-03-21,8.80139272128,0,21.1740076118,55.5452572819,119.784441548
2004-03-22,13.2020890819,0,21.1740076118,43.3947322515,106.65737946
2004-03-23,0.0,0,0.0,0.0,0.0
2004-03-24,13.2020890819,0,18.1491493816,50.3378894117,90.2485518511
2004-03-25,4.40069636064,0,9.07457469078,52.0736787018,111.580027743
2004-03-26,13.2020890819,0,21.1740076118,43.3947322515,91.889434612
2004-03-27,4.40069636064,0,18.1491493816,45.1305215416,118.143558787
2004-03-28,8.80139272128,0,18.1491493816,53.8094679919,127.988855352
2004-03-29,8.80139272128,0,18.1491493816,48.6021001217,106.65737946
2004-03-30,11.0017409016,0,22.6864367269,50.3378894117,101.734731178
2004-03-31,13.2020890819,0,21.1740076118,52.0736787018,109.939144982
2004-04-01,11.0017409016,0,13.6118620362,48.6021001217,90.2485518511
2004-04-02,8.80139272128,0,22.6864367269,45.1305215416,98.4529656557
2004-04-03,8.80139272128,0,19.6615784967,53.8094679919,118.143558787
2004-04-04,8.80139272128,0,16.6367202664,62.4884144422,129.629738113
2004-04-05,13.2020890819,0,24.1988658421,50.3378894117,95.1712001338
2004-04-06,8.80139272128,0,19.6615784967,53.8094679919,109.939144982
2004-04-07,11.0017409016,0,19.6615784967,45.1305215416,105.016496699
2004-04-08,11.0017409016,0,21.1740076118,48.6021001217,114.861793265
2004-04-09,8.80139272128,0,22.6864367269,52.0736787018,109.939144982
2004-04-10,15.4024372622,0,21.1740076118,48.6021001217,121.425324309
2004-04-11,11.0017409016,0,22.6864367269,52.0736787018,116.502676026
2004-04-12,0.0,0,0.0,0.0,0.0
2004-04-13,0.0,0,0.0,0.0,0.0
2004-04-14,8.80139272128,0,18.1491493816,45.1305215416,90.2485518511
2004-04-15,13.2020890819,0,19.6615784967,50.3378894117,105.016496699
2004-04-16,6.60104454096,0,21.1740076118,50.3378894117,101.734731178
2004-04-17,15.4024372622,0,18.1491493816,48.6021001217,144.397682962
2004-04-18,11.0017409016,0,16.6367202664,62.4884144422,124.707089831
2004-04-19,11.0017409016,0,21.1740076118,50.3378894117,111.580027743
2004-04-20,11.0017409016,0,22.6864367269,53.8094679919,98.4529656557
2004-04-21,8.80139272128,0,25.7112949572,52.0736787018,106.65737946
2004-04-22,13.2020890819,0,21.1740076118,46.8663108316,103.375613938
2004-04-23,11.0017409016,0,22.6864367269,45.1305215416,113.220910504
2004-04-24,6.60104454096,0,16.6367202664,45.1305215416,118.143558787
2004-04-25,19.8031336229,0,22.6864367269,53.8094679919,124.707089831
2004-04-26,13.2020890819,0,24.1988658421,46.8663108316,108.298262221
2004-04-27,8.80139272128,0,25.7112949572,50.3378894117,109.939144982
2004-04-28,8.80139272128,0,24.1988658421,48.6021001217,100.093848417
2004-04-29,11.0017409016,0,24.1988658421,50.3378894117,98.4529656557
2004-04-30,11.0017409016,0,22.6864367269,52.0736787018,100.093848417
2004-05-01,8.80139272128,0,30.2485823026,64.2242037322,123.06620707
2004-05-02,13.2020890819,0,18.1491493816,55.5452572819,132.911503635
2004-05-03,8.80139272128,0,27.2237240723,45.1305215416,103.375613938
2004-05-04,8.80139272128,0,30.2485823026,50.3378894117,98.4529656557
2004-05-05,8.80139272128,0,31.7610114177,43.3947322515,106.65737946
2004-05-06,8.80139272128,0,30.2485823026,48.6021001217,109.939144982
2004-05-07,11.0017409016,0,28.7361531875,53.8094679919,100.093848417
2004-05-08,11.0017409016,0,34.785869648,48.6021001217,141.11591744
2004-05-09,8.80139272128,0,30.2485823026,48.6021001217,132.911503635
2004-05-10,6.60104454096,0,19.6615784967,48.6021001217,103.375613938
2004-05-11,11.0017409016,0,21.1740076118,52.0736787018,91.889434612
2004-05-12,8.80139272128,0,22.6864367269,52.0736787018,101.734731178
2004-05-13,8.80139272128,0,22.6864367269,48.6021001217,93.5303173729
2004-05-14,11.0017409016,0,24.1988658421,53.8094679919,96.8120828948
2004-05-15,6.60104454096,0,21.1740076118,45.1305215416,111.580027743
2004-05-16,13.2020890819,0,16.6367202664,50.3378894117,121.425324309
2004-05-17,6.60104454096,0,24.1988658421,48.6021001217,116.502676026
2004-05-18,8.80139272128,0,24.1988658421,46.8663108316,96.8120828948
2004-05-19,11.0017409016,0,22.6864367269,46.8663108316,108.298262221
2004-05-20,11.0017409016,0,27.2237240723,48.6021001217,113.220910504
2004-05-21,8.80139272128,0,24.1988658421,46.8663108316,96.8120828948
2004-05-22,6.60104454096,0,28.7361531875,60.7526251521,121.425324309
2004-05-23,13.2020890819,0,27.2237240723,52.0736787018,141.11591744
2004-05-24,8.80139272128,0,21.1740076118,53.8094679919,103.375613938
2004-05-25,11.0017409016,0,21.1740076118,50.3378894117,106.65737946
2004-05-26,8.80139272128,0,22.6864367269,46.8663108316,96.8120828948
2004-05-27,6.60104454096,0,21.1740076118,41.6589429614,101.734731178
2004-05-28,11.0017409016,0,22.6864367269,52.0736787018,100.093848417
2004-05-29,6.60104454096,0,21.1740076118,45.1305215416,134.552386396
2004-05-30,6.60104454096,0,22.6864367269,50.3378894117,124.707089831
2004-05-31,11.0017409016,0,19.6615784967,50.3378894117,126.347972591
2004-06-01,8.80139272128,0,25.7112949572,45.1305215416,114.861793265
2004-06-02,6.60104454096,0,25.7112949572,43.3947322515,106.65737946
2004-06-03,11.0017409016,0,28.7361531875,53.8094679919,108.298262221
2004-06-04,11.0017409016,0,25.7112949572,46.8663108316,101.734731178
2004-06-05,11.0017409016,0,21.1740076118,46.8663108316,124.707089831
2004-06-06,8.80139272128,0,22.6864367269,52.0736787018,119.784441548
2004-06-07,8.80139272128,0,25.7112949572,46.8663108316,100.093848417
2004-06-08,11.0017409016,0,24.1988658421,48.6021001217,101.734731178
2004-06-09,11.0017409016,0,24.1988658421,48.6021001217,113.220910504
2004-06-10,8.80139272128,0,28.7361531875,46.8663108316,108.298262221
2004-06-11,6.60104454096,0,27.2237240723,38.1873643813,96.8120828948
2004-06-12,4.40069636064,0,21.1740076118,52.0736787018,118.143558787
2004-06-13,6.60104454096,0,25.7112949572,53.8094679919,127.988855352
2004-06-14,11.0017409016,0,22.6864367269,45.1305215416,105.016496699
2004-06-15,8.80139272128,0,24.1988658421,48.6021001217,105.016496699
2004-06-16,8.80139272128,0,28.7361531875,50.3378894117,98.4529656557
2004-06-17,8.80139272128,0,28.7361531875,50.3378894117,103.375613938
2004-06-18,11.0017409016,0,25.7112949572,48.6021001217,93.5303173729
2004-06-19,6.60104454096,0,28.7361531875,52.0736787018,119.784441548
2004-06-20,8.80139272128,0,24.1988658421,50.3378894117,126.347972591
2004-06-21,8.80139272128,0,24.1988658421,48.6021001217,105.016496699
2004-06-22,11.0017409016,0,18.1491493816,43.3947322515,101.734731178
2004-06-23,11.0017409016,0,25.7112949572,46.8663108316,109.939144982
2004-06-24,8.80139272128,0,22.6864367269,48.6021001217,111.580027743
2004-06-25,8.80139272128,0,21.1740076118,46.8663108316,100.093848417
2004-06-26,11.0017409016,0,19.6615784967,45.1305215416,126.347972591
2004-06-27,8.80139272128,0,19.6615784967,45.1305215416,119.784441548
2004-06-28,8.80139272128,0,24.1988658421,50.3378894117,105.016496699
2004-06-29,8.80139272128,0,22.6864367269,50.3378894117,103.375613938
2004-06-30,6.60104454096,0,21.1740076118,43.3947322515,106.65737946
2004-07-01,6.60104454096,0,21.1740076118,45.1305215416,100.093848417
2004-07-02,13.2020890819,0,21.1740076118,55.5452572819,119.784441548
2004-07-03,11.0017409016,0,21.1740076118,41.6589429614,118.143558787
2004-07-04,8.80139272128,0,19.6615784967,60.7526251521,137.834151918
2004-07-05,6.60104454096,0,15.1242911513,50.3378894117,116.502676026
2004-07-06,11.0017409016,0,25.7112949572,50.3378894117,114.861793265
2004-07-07,11.0017409016,0,21.1740076118,43.3947322515,100.093848417
2004-07-08,11.0017409016,0,24.1988658421,50.3378894117,100.093848417
2004-07-09,11.0017409016,0,24.1988658421,50.3378894117,95.1712001338
2004-07-10,13.2020890819,0,19.6615784967,52.0736787018,121.425324309
2004-07-11,8.80139272128,0,19.6615784967,65.9599930223,147.679448484
2004-07-12,11.0017409016,0,27.2237240723,46.8663108316,111.580027743
2004-07-13,11.0017409016,0,25.7112949572,52.0736787018,103.375613938
2004-07-14,4.40069636064,0,15.1242911513,53.8094679919,123.06620707
2004-07-15,8.80139272128,0,25.7112949572,43.3947322515,101.734731178
