date,luxury,productive,profit
2004-01-01,97.5381710316,0.0,26.6326096696
2004-01-02,85.1523715355,85.1178460741,42.2988506517
2004-01-03,86.7005964725,36.4790768889,39.1656024553
2004-01-04,75.8630219135,36.4790768889,37.5989783571
2004-01-05,154.822493701,0.0,45.4320988482
2004-01-06,77.4112468505,60.7984614815,62.6649639285
2004-01-07,92.8934962206,0.0,45.4320988482
2004-01-08,95.9899460946,0.0,65.7982121249
2004-01-09,109.923970528,0.0,57.9650916339
2004-01-10,94.4417211576,0.0,36.0323542589
2004-01-11,154.822493701,109.437230667,79.8978290089
2004-01-12,106.827520654,85.1178460741,76.7645808124
2004-01-13,99.0863959686,24.3193845926,83.0310772053
2004-01-14,78.9594717875,0.0,57.9650916339
2004-01-15,68.1218972284,0.0,57.9650916339
2004-01-16,95.9899460946,48.6387691852,50.1319711428
2004-01-17,89.7970463465,0.0,54.8318434375
2004-01-18,105.279295717,36.4790768889,50.1319711428
2004-01-19,106.827520654,24.3193845926,73.631332616
2004-01-20,117.665095213,0.0,54.8318434375
2004-01-21,71.2183471024,36.4790768889,75.1979567142
2004-01-22,66.5736722914,24.3193845926,67.3648362232
2004-01-23,89.7970463465,48.6387691852,62.6649639285
2004-01-24,51.0914229213,0.0,17.2328650803
2004-01-25,116.116870276,36.4790768889,50.1319711428
2004-01-26,97.5381710316,0.0,90.8641976963
2004-01-27,82.0559216615,0.0,57.9650916339
2004-01-28,78.9594717875,0.0,65.7982121249
2004-01-29,60.3807725434,24.3193845926,59.5317157321
2004-01-30,75.8630219135,48.6387691852,87.7309494999
2004-01-31,46.4467481103,36.4790768889,46.9987229464
2004-02-01,74.3147969765,0.0,43.86547475
2004-02-02,94.4417211576,36.4790768889,72.0647085178
2004-02-03,99.0863959686,24.3193845926,76.7645808124
2004-02-04,71.2183471024,24.3193845926,62.6649639285
2004-02-05,60.3807725434,0.0,62.6649639285
2004-02-06,94.4417211576,0.0,73.631332616
2004-02-07,78.9594717875,0.0,34.4657301607
2004-02-08,75.8630219135,0.0,57.9650916339
2004-02-09,86.7005964725,24.3193845926,67.3648362232
2004-02-10,94.4417211576,24.3193845926,46.9987229464
2004-02-11,89.7970463465,0.0,95.564069991
2004-02-12,74.3147969765,60.7984614815,46.9987229464
2004-02-13,89.7970463465,24.3193845926,59.5317157321
2004-02-14,106.827520654,36.4790768889,36.0323542589
2004-02-15,113.020420402,0.0,78.3312049106
2004-02-16,95.9899460946,48.6387691852,57.9650916339
2004-02-17,94.4417211576,36.4790768889,76.7645808124
2004-02-18,85.1523715355,36.4790768889,50.1319711428
2004-02-19,80.5076967245,60.7984614815,78.3312049106
2004-02-20,82.0559216615,48.6387691852,51.698595241
2004-02-21,126.954444835,0.0,42.2988506517
2004-02-22,109.923970528,0.0,50.1319711428
2004-02-23,88.2488214095,36.4790768889,62.6649639285
2004-02-24,66.5736722914,36.4790768889,65.7982121249
2004-02-25,78.9594717875,60.7984614815,75.1979567142
2004-02-26,83.6041465985,60.7984614815,81.4644531071
2004-02-27,55.7360977323,24.3193845926,64.2315880267
2004-02-28,116.116870276,72.9581537778,21.932737375
2004-02-29,134.69556952,0.0,37.5989783571
2004-03-01,102.182845843,0.0,65.7982121249
2004-03-02,75.8630219135,0.0,68.9314603214
2004-03-03,60.3807725434,0.0,87.7309494999
2004-03-04,97.5381710316,24.3193845926,81.4644531071
2004-03-05,139.340244331,0.0,93.9974458928
2004-03-06,72.7665720394,0.0,53.2652193392
2004-03-07,72.7665720394,0.0,61.0983398303
2004-03-08,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0
2004-03-10,58.8325476064,24.3193845926,59.5317157321
2004-03-11,54.1878727953,0.0,92.4308217946
2004-03-12,78.9594717875,24.3193845926,68.9314603214
2004-03-13,117.665095213,0.0,12.5329927857
2004-03-14,77.4112468505,0.0,61.0983398303
2004-03-15,71.2183471024,36.4790768889,53.2652193392
2004-03-16,92.8934962206,0.0,79.8978290089
2004-03-17,68.1218972284,0.0,89.2975735981
2004-03-18,72.7665720394,24.3193845926,62.6649639285
2004-03-19,92.8934962206,24.3193845926,78.3312049106
2004-03-20,109.923970528,36.4790768889,48.5653470446
2004-03-21,72.7665720394,36.4790768889,78.3312049106
2004-03-22,40.2538483622,72.9581537778,40.7322265535
2004-03-23,0.0,0.0,0.0
2004-03-24,71.2183471024,24.3193845926,61.0983398303
2004-03-25,55.7360977323,0.0,56.3984675357
2004-03-26,85.1523715355,0.0,46.9987229464
2004-03-27,94.4417211576,0.0,34.4657301607
2004-03-28,72.7665720394,36.4790768889,31.3324819643
2004-03-29,102.182845843,36.4790768889,67.3648362232
2004-03-30,72.7665720394,24.3193845926,65.7982121249
2004-03-31,61.9289974804,24.3193845926,83.0310772053
2004-04-01,85.1523715355,24.3193845926,53.2652193392
2004-04-02,80.5076967245,24.3193845926,57.9650916339
2004-04-03,136.243794457,0.0,81.4644531071
2004-04-04,128.502669772,0.0,42.2988506517
2004-04-05,116.116870276,0.0,73.631332616
2004-04-06,97.5381710316,0.0,78.3312049106
2004-04-07,82.0559216615,0.0,62.6649639285
2004-04-08,69.6701221654,24.3193845926,43.86547475
2004-04-09,83.6041465985,0.0,40.7322265535
2004-04-10,97.5381710316,0.0,53.2652193392
2004-04-11,99.0863959686,0.0,56.3984675357
2004-04-12,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0
2004-04-14,66.5736722914,36.4790768889,65.7982121249
2004-04-15,77.4112468505,36.4790768889,48.5653470446
2004-04-16,63.4772224174,0.0,70.4980844196
2004-04-17,103.73107078,0.0,54.8318434375
2004-04-18,117.665095213,0.0,46.9987229464
2004-04-19,88.2488214095,36.4790768889,70.4980844196
2004-04-20,108.375745591,36.4790768889,62.6649639285
2004-04-21,105.279295717,36.4790768889,42.2988506517
2004-04-22,74.3147969765,0.0,89.2975735981
2004-04-23,95.9899460946,24.3193845926,70.4980844196
2004-04-24,91.3452712836,0.0,48.5653470446
2004-04-25,99.0863959686,36.4790768889,79.8978290089
2004-04-26,91.3452712836,0.0,48.5653470446
2004-04-27,83.6041465985,48.6387691852,84.5977013035
2004-04-28,86.7005964725,0.0,68.9314603214
2004-04-29,68.1218972284,60.7984614815,61.0983398303
2004-04-30,85.1523715355,36.4790768889,57.9650916339
2004-05-01,95.9899460946,60.7984614815,54.8318434375
2004-05-02,88.2488214095,36.4790768889,73.631332616
2004-05-03,83.6041465985,12.1596922963,81.4644531071
2004-05-04,82.0559216615,0.0,75.1979567142
2004-05-05,77.4112468505,24.3193845926,61.0983398303
2004-05-06,58.8325476064,0.0,62.6649639285
2004-05-07,66.5736722914,24.3193845926,56.3984675357
2004-05-08,80.5076967245,36.4790768889,26.6326096696
2004-05-09,80.5076967245,0.0,36.0323542589
2004-05-10,88.2488214095,24.3193845926,51.698595241
2004-05-11,108.375745591,0.0,51.698595241
2004-05-12,68.1218972284,0.0,57.9650916339
2004-05-13,74.3147969765,0.0,84.5977013035
2004-05-14,94.4417211576,0.0,57.9650916339
2004-05-15,74.3147969765,0.0,57.9650916339
2004-05-16,103.73107078,0.0,56.3984675357
2004-05-17,99.0863959686,24.3193845926,65.7982121249
2004-05-18,97.5381710316,0.0,56.3984675357
2004-05-19,99.0863959686,60.7984614815,76.7645808124
2004-05-20,61.9289974804,36.4790768889,51.698595241
2004-05-21,86.7005964725,60.7984614815,46.9987229464
2004-05-22,69.6701221654,0.0,36.0323542589
2004-05-23,99.0863959686,0.0,51.698595241
2004-05-24,72.7665720394,36.4790768889,73.631332616
2004-05-25,71.2183471024,0.0,72.0647085178
2004-05-26,65.0254473544,0.0,65.7982121249
2004-05-27,85.1523715355,72.9581537778,68.9314603214
2004-05-28,92.8934962206,48.6387691852,56.3984675357
2004-05-29,108.375745591,0.0,32.8991060625
2004-05-30,69.6701221654,0.0,50.1319711428
2004-05-31,86.7005964725,36.4790768889,51.698595241
2004-06-01,80.5076967245,36.4790768889,61.0983398303
2004-06-02,94.4417211576,24.3193845926,87.7309494999
2004-06-03,68.1218972284,24.3193845926,45.4320988482
2004-06-04,83.6041465985,24.3193845926,56.3984675357
2004-06-05,47.9949730473,0.0,62.6649639285
2004-06-06,133.147344583,0.0,51.698595241
2004-06-07,94.4417211576,24.3193845926,79.8978290089
2004-06-08,82.0559216615,24.3193845926,70.4980844196
2004-06-09,74.3147969765,24.3193845926,93.9974458928
2004-06-10,58.8325476064,24.3193845926,54.8318434375
2004-06-11,58.8325476064,48.6387691852,45.4320988482
2004-06-12,86.7005964725,0.0,50.1319711428
2004-06-13,113.020420402,36.4790768889,50.1319711428
2004-06-14,91.3452712836,24.3193845926,37.5989783571
2004-06-15,114.568645339,0.0,54.8318434375
2004-06-16,95.9899460946,0.0,61.0983398303
2004-06-17,92.8934962206,24.3193845926,48.5653470446
2004-06-18,69.6701221654,0.0,75.1979567142
2004-06-19,63.4772224174,0.0,45.4320988482
2004-06-20,71.2183471024,0.0,37.5989783571
2004-06-21,108.375745591,36.4790768889,84.5977013035
2004-06-22,63.4772224174,24.3193845926,61.0983398303
2004-06-23,109.923970528,24.3193845926,76.7645808124
2004-06-24,92.8934962206,36.4790768889,57.9650916339
2004-06-25,117.665095213,48.6387691852,61.0983398303
2004-06-26,83.6041465985,0.0,36.0323542589
2004-06-27,116.116870276,0.0,23.4993614732
2004-06-28,109.923970528,0.0,65.7982121249
2004-06-29,119.21332015,36.4790768889,62.6649639285
2004-06-30,75.8630219135,36.4790768889,64.2315880267
2004-07-01,102.182845843,0.0,103.397190482
2004-07-02,80.5076967245,0.0,54.8318434375
2004-07-03,99.0863959686,0.0,51.698595241
2004-07-04,65.0254473544,0.0,34.4657301607
2004-07-05,99.0863959686,0.0,45.4320988482
2004-07-06,92.8934962206,0.0,86.1643254017
2004-07-07,108.375745591,36.4790768889,51.698595241
2004-07-08,116.116870276,24.3193845926,62.6649639285
2004-07-09,54.1878727953,24.3193845926,43.86547475
2004-07-10,86.7005964725,36.4790768889,31.3324819643
2004-07-11,100.634620906,0.0,43.86547475
2004-07-12,145.533144079,24.3193845926,86.1643254017
2004-07-13,65.0254473544,36.4790768889,75.1979567142
2004-07-14,32.5127236772,85.1178460741,98.6973181874
2004-07-15,91.3452712836,0.0,59.5317157321
2004-07-16,83.6041465985,0.0,83.0310772053
2004-07-17,120.761545087,36.4790768889,34.4657301607
2004-07-18,114.568645339,0.0,42.2988506517
2004-07-19,111.472195465,36.4790768889,65.7982121249
2004-07-20,100.634620906,0.0,53.2652193392
2004-07-21,108.375745591,24.3193845926,72.0647085178
2004-07-22,72.7665720394,0.0,45.4320988482
2004-07-23,105.279295717,24.3193845926,67.3648362232
2004-07-24,119.21332015,0.0,42.2988506517
2004-07-25,116.116870276,0.0,39.1656024553
2004-07-26,86.7005964725,0.0,59.5317157321
2004-07-27,94.4417211576,0.0,87.7309494999
2004-07-28,95.9899460946,24.3193845926,86.1643254017
2004-07-29,105.279295717,0.0,68.9314603214
2004-07-30,65.0254473544,24.3193845926,61.0983398303
2004-07-31,77.4112468505,0.0,73.631332616
2004-08-01,86.7005964725,0.0,29.765857866
2004-08-02,88.2488214095,24.3193845926,90.8641976963
2004-08-03,105.279295717,36.4790768889,48.5653470446
2004-08-04,63.4772224174,24.3193845926,75.1979567142
2004-08-05,100.634620906,36.4790768889,64.2315880267
2004-08-06,72.7665720394,0.0,65.7982121249
2004-08-07,82.0559216615,36.4790768889,39.1656024553
2004-08-08,122.309770024,36.4790768889,31.3324819643
2004-08-09,63.4772224174,36.4790768889,54.8318434375
2004-08-10,80.5076967245,24.3193845926,26.6326096696
2004-08-11,102.182845843,60.7984614815,76.7645808124
2004-08-12,80.5076967245,0.0,54.8318434375
2004-08-13,119.21332015,0.0,67.3648362232
2004-08-14,74.3147969765,0.0,32.8991060625
2004-08-15,92.8934962206,36.4790768889,50.1319711428
2004-08-16,97.5381710316,24.3193845926,43.86547475
2004-08-17,86.7005964725,24.3193845926,53.2652193392
2004-08-18,77.4112468505,0.0,57.9650916339
2004-08-19,82.0559216615,0.0,59.5317157321
2004-08-20,80.5076967245,0.0,78.3312049106
2004-08-21,68.1218972284,0.0,40.7322265535
2004-08-22,99.0863959686,0.0,45.4320988482
2004-08-23,83.6041465985,0.0,59.5317157321
2004-08-24,109.923970528,0.0,78.3312049106
2004-08-25,91.3452712836,0.0,50.1319711428
2004-08-26,85.1523715355,24.3193845926,65.7982121249
2004-08-27,75.8630219135,0.0,56.3984675357
2004-08-28,91.3452712836,0.0,61.0983398303
2004-08-29,117.665095213,0.0,54.8318434375
2004-08-30,77.4112468505,0.0,68.9314603214
2004-08-31,94.4417211576,36.4790768889,65.7982121249
2004-09-01,89.7970463465,0.0,68.9314603214
2004-09-02,61.9289974804,48.6387691852,57.9650916339
2004-09-03,61.9289974804,24.3193845926,51.698595241
2004-09-04,68.1218972284,0.0,25.0659855714
2004-09-05,100.634620906,36.4790768889,37.5989783571
2004-09-06,83.6041465985,0.0,56.3984675357
2004-09-07,92.8934962206,12.1596922963,65.7982121249
2004-09-08,75.8630219135,12.1596922963,68.9314603214
2004-09-09,97.5381710316,36.4790768889,68.9314603214
2004-09-10,100.634620906,0.0,68.9314603214
2004-09-11,82.0559216615,0.0,49.0429056366
2004-09-12,83.6041465985,0.0,40.0086861772
2004-09-13,65.0254473544,27.133197686,68.4019473353
2004-09-14,111.472195465,18.0887984573,55.4959195362
2004-09-15,52.6396478583,18.0887984573,65.8207417755
2004-09-16,80.5076967245,0.0,65.8207417755
2004-09-17,92.8934962206,36.1775969146,74.8549612349
2004-09-18,63.4772224174,0.0,25.8120555982
2004-09-19,103.73107078,0.0,43.880494517
2004-09-20,51.0914229213,0.0,41.2992889572
2004-09-21,86.7005964725,0.0,77.4361667947
2004-09-22,86.7005964725,18.0887984573,73.5643584549
2004-09-23,69.6701221654,27.133197686,61.9489334357
2004-09-24,72.7665720394,36.1775969146,76.1455640148
2004-09-25,102.182845843,0.0,37.4274806174
2004-09-26,113.020420402,0.0,58.077125096
2004-09-27,97.8188839674,0.0,67.1113445554
2004-09-28,75.9191338254,27.133197686,46.4617000768
2004-09-29,87.5990005678,27.133197686,65.8207417755
2004-09-30,91.9789505962,45.2219961433,64.5301389956
2004-10-01,77.3791171682,0.0,32.2650694978
2004-10-02,91.9789505962,0.0,29.683863938
2004-10-03,83.2190505394,45.2219961433,34.8462750576
2004-10-04,94.8989172818,0.0,63.2395362157
2004-10-05,84.6790338822,27.133197686,60.6583306558
2004-10-06,77.3791171682,27.133197686,65.8207417755
2004-10-07,62.7792837403,27.133197686,86.4703862541
2004-10-08,75.9191338254,18.0887984573,83.8891806942
2004-10-09,116.798667424,0.0,42.5898917371
2004-10-10,54.0193836835,0.0,67.1113445554
2004-10-11,86.139017225,0.0,65.8207417755
2004-10-12,118.258650767,117.577189972,51.6241111964
2004-10-13,93.438933939,18.0887984573,73.5643584549
2004-10-14,80.2990838538,27.133197686,45.1710972969
2004-10-15,87.5990005678,18.0887984573,61.9489334357
2004-10-16,109.49875071,27.133197686,51.6241111964
2004-10-17,89.0589839106,54.2663953719,42.5898917371
2004-10-18,78.839100511,18.0887984573,78.7267695746
2004-10-19,87.5990005678,18.0887984573,81.3079751344
2004-10-20,58.3993337119,18.0887984573,76.1455640148
2004-10-21,109.49875071,18.0887984573,83.8891806942
2004-10-22,71.539183797,0.0,51.6241111964
2004-10-23,84.6790338822,54.2663953719,68.4019473353
2004-10-24,134.318467537,0.0,34.8462750576
2004-10-25,75.9191338254,45.2219961433,54.2053167563
2004-10-26,83.2190505394,27.133197686,68.4019473353
2004-10-27,121.178617452,45.2219961433,90.3421945938
2004-10-28,52.5594003407,0.0,51.6241111964
2004-10-29,113.878700738,0.0,46.4617000768
2004-10-30,89.0589839106,0.0,25.8120555982
2004-10-31,74.4591504826,0.0,40.0086861772
2004-11-01,58.3993337119,0.0,58.077125096
2004-11-02,89.0589839106,9.04439922865,58.077125096
2004-11-03,90.5189672534,18.0887984573,81.3079751344
2004-11-04,77.3791171682,54.2663953719,78.7267695746
2004-11-05,93.438933939,0.0,65.8207417755
2004-11-06,115.338684081,0.0,59.3677278759
2004-11-07,113.878700738,45.2219961433,51.6241111964
2004-11-08,70.0792004542,54.2663953719,78.7267695746
2004-11-09,0.0,0.0,0.0
2004-11-10,87.5990005678,18.0887984573,80.0173723545
2004-11-11,90.5189672534,27.133197686,89.0515918139
2004-11-12,75.9191338254,27.133197686,34.8462750576
2004-11-13,97.8188839674,0.0,47.7523028567
2004-11-14,93.438933939,27.133197686,72.273755675
2004-11-15,91.9789505962,0.0,92.9234001536
2004-11-16,99.2788673102,0.0,73.5643584549
2004-11-17,77.3791171682,45.2219961433,68.4019473353
2004-11-18,74.4591504826,27.133197686,54.2053167563
2004-11-19,108.038767367,0.0,59.3677278759
2004-11-20,65.6992504259,0.0,37.4274806174
2004-11-21,89.0589839106,0.0,32.2650694978
2004-11-22,96.3589006246,27.133197686,78.7267695746
2004-11-23,96.3589006246,27.133197686,68.4019473353
2004-11-24,74.4591504826,18.0887984573,51.6241111964
2004-11-25,97.8188839674,0.0,58.077125096
2004-11-26,93.438933939,0.0,51.6241111964
2004-11-27,102.198833996,27.133197686,25.8120555982
2004-11-28,75.9191338254,27.133197686,40.0086861772
2004-11-29,78.839100511,27.133197686,64.5301389956
2004-11-30,87.5990005678,27.133197686,68.4019473353
2004-12-01,65.6992504259,54.2663953719,85.1797834741
2004-12-02,81.7590671966,45.2219961433,65.8207417755
2004-12-03,59.8593170547,27.133197686,42.5898917371
2004-12-04,103.658817339,0.0,38.7180833973
2004-12-05,93.438933939,45.2219961433,56.7865223161
2004-12-06,81.7590671966,36.1775969146,76.1455640148
2004-12-07,94.8989172818,27.133197686,61.9489334357
2004-12-08,87.5990005678,90.4439922865,70.9831528951
2004-12-09,93.438933939,9.04439922865,56.7865223161
2004-12-10,74.4591504826,54.2663953719,61.9489334357
2004-12-11,72.9991671398,0.0,68.4019473353
2004-12-12,84.6790338822,27.133197686,32.2650694978
2004-12-13,100.738850653,45.2219961433,58.077125096
2004-12-14,83.2190505394,9.04439922865,50.3335084165
2004-12-15,99.2788673102,54.2663953719,78.7267695746
2004-12-16,65.6992504259,45.2219961433,49.0429056366
2004-12-17,64.2392670831,18.0887984573,64.5301389956
2004-12-18,64.2392670831,0.0,42.5898917371
2004-12-19,90.5189672534,27.133197686,32.2650694978
2004-12-20,87.5990005678,27.133197686,58.077125096
2004-12-21,115.338684081,18.0887984573,73.5643584549
2004-12-22,90.5189672534,18.0887984573,49.0429056366
2004-12-23,70.0792004542,0.0,45.1710972969
2004-12-24,59.8593170547,27.133197686,29.683863938
2004-12-25,106.578784024,0.0,25.8120555982
2004-12-26,106.578784024,27.133197686,16.7778361388
2004-12-27,116.798667424,18.0887984573,49.0429056366
2004-12-28,109.49875071,0.0,63.2395362157
2004-12-29,122.638600795,45.2219961433,56.7865223161
2004-12-30,94.8989172818,0.0,65.8207417755
2004-12-31,78.839100511,45.2219961433,19.3590416987
2005-01-01,109.49875071,0.0,73.5643584549
2005-01-02,115.338684081,0.0,42.5898917371
2005-01-03,106.578784024,27.133197686,51.6241111964
2005-01-04,110.958734053,0.0,63.2395362157
2005-01-05,78.839100511,9.04439922865,76.1455640148
2005-01-06,86.139017225,0.0,47.7523028567
2005-01-07,75.9191338254,72.3551938292,78.7267695746
2005-01-08,118.258650767,0.0,42.5898917371
2005-01-09,132.858484195,18.0887984573,46.4617000768
2005-01-10,108.038767367,27.133197686,63.2395362157
2005-01-11,102.198833996,27.133197686,91.6327973737
2005-01-12,93.438933939,54.2663953719,52.9147139764
2005-01-13,87.5990005678,27.133197686,89.0515918139
2005-01-14,77.3791171682,27.133197686,50.3335084165
2005-01-15,108.038767367,0.0,33.5556722777
2005-01-16,124.098584138,0.0,47.7523028567
2005-01-17,118.258650767,27.133197686,45.1710972969
2005-01-18,110.958734053,9.04439922865,52.9147139764
2005-01-19,62.7792837403,9.04439922865,74.8549612349
2005-01-20,84.6790338822,9.04439922865,59.3677278759
2005-01-21,89.0589839106,0.0,61.9489334357
2005-01-22,78.839100511,0.0,32.2650694978
2005-01-23,135.77845088,18.0887984573,47.7523028567
2005-01-24,99.2788673102,9.04439922865,70.9831528951
2005-01-25,108.038767367,9.04439922865,58.077125096
2005-01-26,93.438933939,27.133197686,80.0173723545
2005-01-27,90.5189672534,27.133197686,72.273755675
2005-01-28,94.8989172818,27.133197686,54.2053167563
2005-01-29,125.558567481,0.0,51.6241111964
2005-01-30,113.878700738,0.0,54.2053167563
2005-01-31,62.7792837403,0.0,83.8891806942
2005-02-01,81.7590671966,0.0,95.5046057134
2005-02-02,90.5189672534,54.2663953719,74.8549612349
2005-02-03,100.738850653,63.3107946006,76.1455640148
2005-02-04,91.9789505962,27.133197686,78.7267695746
2005-02-05,135.77845088,45.2219961433,45.1710972969
2005-02-06,118.258650767,18.0887984573,45.1710972969
2005-02-07,100.738850653,36.1775969146,81.3079751344
2005-02-08,106.578784024,45.2219961433,65.8207417755
2005-02-09,81.7590671966,0.0,77.4361667947
2005-02-10,84.6790338822,27.133197686,63.2395362157
2005-02-11,90.5189672534,0.0,73.5643584549
2005-02-12,110.958734053,0.0,59.3677278759
2005-02-13,100.738850653,36.1775969146,42.5898917371
2005-02-14,81.7590671966,9.04439922865,73.5643584549
