date,nobleman,partner,partnership,patron,patronage
2004-01-01,0.0,36.8986072971,55.9867749248,61.0272348516,0.0
2004-01-02,0.0,103.316100432,63.2108749151,33.4665481444,0.0
2004-01-03,0.0,40.5884680269,68.6289499078,21.6548252699,0.0
2004-01-04,0.0,60.8827020403,68.6289499078,53.1527529353,0.0
2004-01-05,0.0,118.075543351,23.4783249684,25.5920662281,0.0
2004-01-06,0.0,83.0218664186,160.736224784,35.4351686235,0.0
2004-01-07,0.0,77.487075324,75.8530498981,82.6820601216,0.0
2004-01-08,0.0,101.471170067,115.585599845,43.3096505399,0.0
2004-01-09,0.0,12.914512554,110.167524852,39.3724095817,0.0
2004-01-10,0.0,47.9681894863,28.8963999612,31.4979276654,0.0
2004-01-11,0.0,38.743537662,28.8963999612,41.3410300608,0.0
2004-01-12,0.0,64.57256277,97.5253498689,17.7175843118,0.0
2004-01-13,0.0,107.005961162,86.6891998835,41.3410300608,0.0
2004-01-14,0.0,66.4174931349,115.585599845,17.7175843118,0.0
2004-01-15,0.0,86.7117271483,113.779574847,31.4979276654,0.0
2004-01-16,0.0,66.4174931349,119.19764984,33.4665481444,0.0
2004-01-17,0.0,105.161030797,65.0168999126,9.84310239543,0.0
2004-01-18,0.0,68.2624234997,66.8229249102,51.1841324562,0.0
2004-01-19,0.0,105.161030797,95.7193248714,7.87448191634,0.0
2004-01-20,0.0,114.385682621,128.227774828,55.1213734144,0.0
2004-01-21,0.0,60.8827020403,130.033799825,47.246891498,0.0
2004-01-22,0.0,73.7972145943,160.736224784,47.246891498,0.0
2004-01-23,0.0,88.5566575131,144.481999806,25.5920662281,0.0
2004-01-24,0.0,18.4493036486,27.0903749636,29.5293071863,0.0
2004-01-25,0.0,53.5029805809,52.3747249296,57.0899938935,0.0
2004-01-26,0.0,94.0914486077,92.1072748762,17.7175843118,0.0
2004-01-27,0.0,114.385682621,111.97354985,29.5293071863,0.0
2004-01-28,0.0,110.695821891,108.361499854,17.7175843118,0.0
2004-01-29,0.0,158.664011378,128.227774828,11.8117228745,0.0
2004-01-30,0.0,88.5566575131,46.9566499369,25.5920662281,0.0
2004-01-31,0.0,46.1232591214,115.585599845,29.5293071863,0.0
2004-02-01,0.0,64.57256277,81.2711248908,59.0586143726,0.0
2004-02-02,0.0,75.6421449591,74.0470249005,17.7175843118,0.0
