date,partnership,patron,patronage,precious,priceless
2004-01-01,61.4362087783,0.0,0.0,136.151185505,74.3360225966
2004-01-02,43.8830062702,38.8307208995,0.0,106.975931468,58.1760176843
2004-01-03,109.707515676,9.70768022488,0.0,97.2508467892,48.4800147369
2004-01-04,32.9122547027,29.1230406747,0.0,106.975931468,95.3440289826
2004-01-05,24.1356534486,0.0,0.0,26.743982867,111.504033895
2004-01-06,87.7660125404,7.76614417991,0.0,58.3505080735,32.3200098246
2004-01-07,116.289966616,44.6553290345,0.0,55.9192369038,24.2400073685
2004-01-08,142.619770378,5.82460813493,0.0,136.151185505,71.1040216141
2004-01-09,118.48411693,34.9476488096,0.0,94.8195756195,33.9360103158
2004-01-10,52.6596075243,17.4738244048,0.0,92.3883044497,53.3280162106
2004-01-11,32.9122547027,46.5968650794,0.0,106.975931468,46.8640142457
2004-01-12,136.037319438,33.0061127646,0.0,82.6632197708,45.2480137544
2004-01-13,120.678267243,36.8891848546,0.0,53.4879657341,40.4000122808
2004-01-14,105.319215049,21.3568964947,0.0,75.3694062616,35.5520108071
2004-01-15,136.037319438,11.6492162699,0.0,136.151185505,45.2480137544
2004-01-16,111.901665989,34.9476488096,0.0,131.288643165,48.4800147369
2004-01-17,122.872417557,0.0,0.0,80.2319486011,67.8720206317
2004-01-18,41.6888559567,46.5968650794,0.0,150.738812523,53.3280162106
2004-01-19,131.649018811,25.2399685847,0.0,145.876270184,25.8560078597
2004-01-20,153.590521946,33.0061127646,0.0,109.407202638,53.3280162106
2004-01-21,109.707515676,27.1815046297,0.0,114.269744977,35.5520108071
2004-01-22,138.231469751,42.7137929895,0.0,80.2319486011,61.4080186667
2004-01-23,147.008071005,44.6553290345,0.0,119.132287317,66.2560201404
2004-01-24,87.7660125404,17.4738244048,0.0,97.2508467892,71.1040216141
2004-01-25,85.5718622269,50.4799371694,0.0,94.8195756195,56.5600171931
2004-01-26,114.095816303,31.0645767196,0.0,133.719914335,43.6320132632
2004-01-27,122.872417557,31.0645767196,0.0,131.288643165,46.8640142457
