date,prosper,prosperity
2004-01-01,98.5127184229,0.0
2004-01-02,21.8917152051,47.0716927258
2004-01-03,25.5403344059,54.9169748468
2004-01-04,0.0,0.0
2004-01-05,0.0,392.264106048
2004-01-06,0.0,0.0
2004-01-07,0.0,31.3811284839
2004-01-08,0.0,35.3037695444
2004-01-09,31.0132632072,66.6848980282
2004-01-10,49.2563592114,0.0
2004-01-11,0.0,164.75092454
2004-01-12,14.5944768034,129.447154996
2004-01-13,14.5944768034,156.905642419
2004-01-14,14.5944768034,94.1433854516
2004-01-15,29.1889536068,31.3811284839
2004-01-16,0.0,35.3037695444
2004-01-17,0.0,105.911308633
2004-01-18,0.0,0.0
2004-01-19,51.0806688119,0.0
2004-01-20,14.5944768034,31.3811284839
2004-01-21,0.0,125.524513936
2004-01-22,0.0,156.905642419
2004-01-23,0.0,0.0
2004-01-24,0.0,50.9943337863
2004-01-25,0.0,50.9943337863
2004-01-26,58.3779072136,31.3811284839
2004-01-27,71.1480744165,90.2207443912
2004-01-28,14.5944768034,152.983001359
2004-01-29,14.5944768034,125.524513936
2004-01-30,0.0,66.6848980282
2004-01-31,0.0,50.9943337863
2004-02-01,0.0,0.0
2004-02-02,0.0,0.0
2004-02-03,12.770167203,86.2981033307
2004-02-04,0.0,176.518847722
2004-02-05,27.3646440064,0.0
2004-02-06,29.1889536068,62.7622569678
2004-02-07,0.0,0.0
2004-02-08,0.0,0.0
2004-02-09,27.3646440064,90.2207443912
2004-02-10,27.3646440064,27.4584874234
2004-02-11,14.5944768034,0.0
2004-02-12,14.5944768034,121.601872875
2004-02-13,14.5944768034,66.6848980282
2004-02-14,23.7160248055,50.9943337863
2004-02-15,0.0,54.9169748468
2004-02-16,0.0,101.988667573
2004-02-17,0.0,31.3811284839
2004-02-18,27.3646440064,31.3811284839
2004-02-19,29.1889536068,31.3811284839
2004-02-20,14.5944768034,0.0
2004-02-21,0.0,50.9943337863
2004-02-22,0.0,47.0716927258
2004-02-23,27.3646440064,27.4584874234
2004-02-24,0.0,145.137719238
2004-02-25,27.3646440064,27.4584874234
2004-02-26,14.5944768034,90.2207443912
2004-02-27,0.0,66.6848980282
2004-02-28,47.432049611,101.988667573
2004-02-29,0.0,0.0
2004-03-01,18.2430960042,39.2264106048
2004-03-02,12.770167203,58.8396159073
2004-03-03,0.0,101.988667573
2004-03-04,0.0,43.1490516653
2004-03-05,51.0806688119,0.0
2004-03-06,36.4861920085,0.0
2004-03-07,0.0,141.215078177
2004-03-08,0.0,0.0
2004-03-09,0.0,0.0
2004-03-10,18.2430960042,82.3754622702
