date,advantage,affluence,affluent,afloat,allowance
2004-01-01,65.0,0,0.0,0.0,0.0
2004-01-02,36.0,0,3.45,3.33333333333,17.688414546
2004-01-03,51.0,0,0.0,0.0,27.336640662
2004-01-04,48.0,0,0.0,0.0,4.82411305799
2004-01-05,64.0,0,0.0,0.0,0.0
2004-01-06,64.0,0,0.0,0.0,35.376829092
2004-01-07,71.0,0,2.3,6.66666666667,22.512527604
2004-01-08,57.0,0,2.3,0.0,25.728602976
2004-01-09,67.0,0,2.3,0.0,16.08037686
2004-01-10,46.0,0,0.0,0.0,4.82411305799
2004-01-11,53.0,0,0.0,0.0,4.82411305799
2004-01-12,78.0,0,0.0,0.0,12.864301488
2004-01-13,57.0,0,4.6,0.0,16.08037686
2004-01-14,66.0,0,4.6,0.0,40.20094215
2004-01-15,78.0,0,2.3,2.22222222222,19.296452232
2004-01-16,65.0,0,0.0,0.0,33.768791406
2004-01-17,65.0,0,0.0,3.33333333333,16.08037686
2004-01-18,56.0,0,0.0,0.0,25.728602976
2004-01-19,67.0,0,8.05,0.0,20.904489918
2004-01-20,62.0,0,0.0,0.0,19.296452232
2004-01-21,67.0,0,0.0,2.22222222222,6.43215074399
2004-01-22,81.0,0,0.0,0.0,16.08037686
2004-01-23,61.0,0,0.0,0.0,22.512527604
2004-01-24,50.0,0,3.45,0.0,4.82411305799
2004-01-25,39.0,0,3.45,3.33333333333,9.64822611599
2004-01-26,63.0,0,0.0,0.0,9.64822611599
2004-01-27,46.0,0,2.3,0.0,28.944678348
2004-01-28,69.0,0,0.0,0.0,20.904489918
2004-01-29,87.0,0,2.3,2.22222222222,9.64822611599
2004-01-30,74.0,0,2.3,2.22222222222,19.296452232
2004-01-31,56.0,0,3.45,0.0,9.64822611599
2004-02-01,46.0,0,0.0,0.0,30.552716034
2004-02-02,57.0,0,0.0,2.22222222222,14.472339174
2004-02-03,75.0,0,0.0,0.0,17.688414546
2004-02-04,53.0,0,2.3,0.0,14.472339174
2004-02-05,70.0,0,0.0,2.22222222222,14.472339174
2004-02-06,40.0,0,0.0,0.0,9.64822611599
2004-02-07,24.0,0,0.0,0.0,0.0
2004-02-08,59.0,0,5.75,5.55555555556,36.984866778
2004-02-09,64.0,0,2.3,0.0,17.688414546
2004-02-10,70.0,0,5.75,0.0,20.904489918
2004-02-11,63.0,0,0.0,0.0,11.256263802
2004-02-12,69.0,0,6.9,0.0,11.256263802
2004-02-13,59.0,0,0.0,0.0,22.512527604
2004-02-14,66.0,0,0.0,0.0,20.904489918
2004-02-15,66.0,0,0.0,0.0,11.256263802
2004-02-16,85.0,0,2.3,0.0,9.64822611599
2004-02-17,89.0,0,0.0,2.22222222222,32.16075372
2004-02-18,87.0,0,0.0,2.22222222222,8.04018842999
2004-02-19,74.0,0,2.3,2.22222222222,17.688414546
2004-02-20,57.0,0,2.3,0.0,12.864301488
2004-02-21,66.0,0,3.45,3.33333333333,0.0
2004-02-22,53.0,0,3.45,0.0,0.0
2004-02-23,70.0,0,2.3,0.0,17.688414546
2004-02-24,55.0,0,0.0,4.44444444444,24.12056529
2004-02-25,48.0,0,0.0,0.0,17.688414546
2004-02-26,64.0,0,0.0,0.0,25.728602976
2004-02-27,72.0,0,2.3,4.44444444444,12.864301488
2004-02-28,55.0,0,3.45,0.0,9.64822611599
2004-02-29,62.0,0,0.0,0.0,28.944678348
2004-03-01,54.0,0,0.0,2.22222222222,24.12056529
2004-03-02,56.0,0,2.3,0.0,3.216075372
2004-03-03,62.0,0,0.0,0.0,30.552716034
2004-03-04,83.0,0,5.75,0.0,28.944678348
2004-03-05,54.0,0,0.0,0.0,0.0
2004-03-06,48.0,0,0.0,0.0,8.04018842999
2004-03-07,26.0,0,0.0,0.0,0.0
2004-03-08,0.0,0,0.0,0.0,0.0
2004-03-09,0.0,0,0.0,0.0,0.0
2004-03-10,60.0,0,0.0,0.0,16.08037686
2004-03-11,60.0,0,0.0,0.0,11.256263802
2004-03-12,55.0,0,3.45,0.0,25.728602976
2004-03-13,62.0,0,6.9,0.0,9.64822611599
2004-03-14,40.0,0,0.0,0.0,19.296452232
2004-03-15,82.0,0,4.6,0.0,35.376829092
2004-03-16,74.0,0,0.0,0.0,14.472339174
2004-03-17,61.0,0,0.0,0.0,20.904489918
2004-03-18,77.0,0,0.0,0.0,9.64822611599
2004-03-19,78.0,0,4.6,2.22222222222,19.296452232
2004-03-20,66.0,0,0.0,0.0,14.472339174
2004-03-21,49.0,0,0.0,0.0,14.472339174
2004-03-22,73.0,0,8.05,0.0,24.12056529
2004-03-23,0.0,0,0.0,0.0,0.0
2004-03-24,79.0,0,0.0,2.22222222222,8.04018842999
2004-03-25,53.0,0,0.0,0.0,11.256263802
2004-03-26,62.0,0,0.0,3.33333333333,22.512527604
2004-03-27,50.0,0,0.0,0.0,30.552716034
2004-03-28,35.0,0,0.0,3.33333333333,16.08037686
2004-03-29,72.0,0,0.0,2.22222222222,32.16075372
2004-03-30,87.0,0,2.3,0.0,19.296452232
2004-03-31,80.0,0,2.3,0.0,16.08037686
2004-04-01,68.0,0,0.0,2.22222222222,19.296452232
2004-04-02,49.0,0,2.3,0.0,14.472339174
2004-04-03,71.0,0,6.9,0.0,9.64822611599
2004-04-04,60.0,0,3.45,0.0,14.472339174
2004-04-05,71.0,0,2.3,2.22222222222,14.472339174
2004-04-06,80.0,0,4.6,0.0,19.296452232
2004-04-07,70.0,0,0.0,0.0,11.256263802
2004-04-08,58.0,0,0.0,0.0,11.256263802
2004-04-09,53.0,0,0.0,0.0,11.256263802
2004-04-10,41.0,0,3.45,3.33333333333,4.82411305799
2004-04-11,71.0,0,0.0,0.0,16.08037686
2004-04-12,0.0,0,0.0,0.0,0.0
2004-04-13,0.0,0,0.0,0.0,0.0
2004-04-14,63.0,0,0.0,0.0,14.472339174
2004-04-15,72.0,0,0.0,3.33333333333,22.512527604
2004-04-16,79.0,0,2.3,0.0,24.12056529
2004-04-17,32.0,0,0.0,3.33333333333,20.904489918
2004-04-18,52.0,0,0.0,3.33333333333,38.592904464
2004-04-19,75.0,0,2.3,0.0,8.04018842999
2004-04-20,99.0,0,0.0,0.0,16.08037686
2004-04-21,78.0,0,2.3,2.22222222222,27.336640662
2004-04-22,71.0,0,2.3,0.0,8.04018842999
2004-04-23,57.0,0,4.6,0.0,9.64822611599
2004-04-24,81.0,0,3.45,3.33333333333,14.472339174
2004-04-25,44.0,0,0.0,0.0,4.82411305799
2004-04-26,54.0,0,3.45,0.0,0.0
2004-04-27,73.0,0,2.3,0.0,11.256263802
2004-04-28,75.0,0,0.0,0.0,8.04018842999
2004-04-29,68.0,0,0.0,2.22222222222,22.512527604
2004-04-30,54.0,0,2.3,0.0,11.256263802
2004-05-01,55.0,0,0.0,0.0,4.82411305799
2004-05-02,68.0,0,3.45,0.0,9.64822611599
2004-05-03,59.0,0,0.0,0.0,20.904489918
2004-05-04,81.0,0,0.0,0.0,11.256263802
2004-05-05,67.0,0,0.0,3.33333333333,12.864301488
2004-05-06,76.0,0,2.3,2.22222222222,14.472339174
2004-05-07,50.0,0,0.0,4.44444444444,12.864301488
2004-05-08,61.0,0,0.0,0.0,4.82411305799
2004-05-09,71.0,0,0.0,0.0,4.82411305799
2004-05-10,100.0,0,0.0,2.22222222222,6.43215074399
2004-05-11,87.0,0,0.0,0.0,12.864301488
2004-05-12,69.0,0,2.3,2.22222222222,4.82411305799
2004-05-13,72.0,0,2.3,0.0,11.256263802
2004-05-14,71.0,0,2.3,0.0,9.64822611599
2004-05-15,69.0,0,3.45,0.0,9.64822611599
2004-05-16,44.0,0,3.45,0.0,4.82411305799
2004-05-17,69.0,0,0.0,2.22222222222,22.512527604
2004-05-18,77.0,0,3.45,3.33333333333,19.296452232
2004-05-19,80.0,0,0.0,2.22222222222,8.04018842999
2004-05-20,78.0,0,0.0,2.22222222222,17.688414546
2004-05-21,56.0,0,2.3,2.22222222222,20.904489918
2004-05-22,60.0,0,0.0,0.0,0.0
2004-05-23,40.0,0,0.0,0.0,14.472339174
2004-05-24,62.0,0,0.0,0.0,4.82411305799
2004-05-25,81.0,0,2.3,2.22222222222,8.04018842999
2004-05-26,70.0,0,2.3,0.0,16.08037686
2004-05-27,51.0,0,2.3,0.0,8.04018842999
2004-05-28,63.0,0,0.0,2.22222222222,9.64822611599
2004-05-29,61.0,0,0.0,3.33333333333,4.82411305799
2004-05-30,50.0,0,0.0,0.0,11.256263802
2004-05-31,57.0,0,0.0,3.33333333333,17.688414546
