date,bankruptcy,crisis,debtor,deficit,inflation,liquidation,poverty,recession
2004-01-01,76.834350072,,0.0,0.0,32.9817547186,12.1947299846,,
2004-01-02,140.421398407,,0.0,23.9560067572,42.1433532516,36.5841899539,,
2004-01-03,90.0816518085,,1.97036959315,19.1648054057,23.8201561857,32.519279959,,
2004-01-04,74.1848897247,,0.0,23.9560067572,56.8019109043,18.292094977,,
2004-01-05,95.3805725031,,0.0,11.17946982,53.1372714911,0.0,,
2004-01-06,241.100891605,,3.28394932192,36.7325436943,45.8079926648,10.1622749872,,
2004-01-07,219.905208827,,1.31357972877,28.7472081086,36.6463941318,12.1947299846,,
2004-01-08,172.214922575,,0.0,41.5237450457,16.4908773593,22.3570049718,,
2004-01-09,222.554669174,,2.62715945753,33.53840946,20.1555167725,8.12981998976,,
2004-01-10,95.3805725031,,0.0,14.3736040543,32.9817547186,6.09736499232,,
2004-01-11,82.1332707666,,0.0,19.1648054057,49.472632078,0.0,,
2004-01-12,153.668700144,,0.0,31.9413423429,36.6463941318,18.292094977,,
2004-01-13,198.709526048,,1.31357972877,38.3296108114,54.9695911977,18.292094977,,
2004-01-14,206.65790709,,0.0,52.7032148657,34.8140744252,22.3570049718,,
2004-01-15,177.51384327,,0.0,28.7472081086,58.6342306109,10.1622749872,,
2004-01-16,166.91600188,,0.0,30.3442752257,38.4787138384,8.12981998976,,
2004-01-17,116.576255282,,1.97036959315,28.7472081086,16.4908773593,0.0,,
2004-01-18,95.3805725031,,0.0,9.58240270286,27.4847955989,12.1947299846,,
2004-01-19,132.473017365,,0.0,22.35893964,29.3171153055,4.06490999488,,
2004-01-20,158.967620839,,0.0,25.5530738743,42.1433532516,10.1622749872,,
2004-01-21,151.019239797,,0.0,46.3149463972,25.6524758923,24.3894599693,,
2004-01-22,174.864382922,,1.31357972877,38.3296108114,42.1433532516,10.1622749872,,
2004-01-23,264.946034731,,1.31357972877,38.3296108114,54.9695911977,4.06490999488,,
2004-01-24,135.122477713,,0.0,9.58240270286,36.6463941318,6.09736499232,,
2004-01-25,66.2365086827,,0.0,17.5677382886,14.6585576527,6.09736499232,,
2004-01-26,174.864382922,,0.0,36.7325436943,56.8019109043,4.06490999488,,
2004-01-27,188.111684659,,1.31357972877,51.1061477486,40.311033545,6.09736499232,,
2004-01-28,182.812763964,,0.0,33.53840946,34.8140744252,28.4543699642,,
