Date,Value
1/2/04,40.483196
1/5/04,40.93539
1/6/04,41.076023
1/7/04,41.193817
1/8/04,41.345825
1/9/04,41.079819
1/12/04,41.269806
1/13/04,41.174812
1/14/04,41.471226
1/15/04,41.646019
1/16/04,41.771439
1/20/04,41.877842
1/21/04,42.056438
1/22/04,42.026051
1/23/04,41.950031
1/26/04,42.390865
1/27/04,42.02985
1/28/04,41.497833
1/29/04,41.573826
1/30/04,41.513031
2/2/04,41.58902
2/3/04,41.577625
2/4/04,41.190006
2/5/04,41.357224
2/6/04,41.889248
2/9/04,41.836048
2/10/04,42.102047
2/11/04,42.451683
2/12/04,42.337662
2/13/04,42.121044
2/17/04,42.561874
2/18/04,42.371872
2/19/04,42.140045
2/20/04,42.010841
2/23/04,41.729633
2/24/04,41.748638
2/25/04,41.972843
2/26/04,42.033646
2/27/04,42.094433
3/1/04,42.504871
3/2/04,42.349068
3/3/04,42.371872
3/4/04,42.561874
3/5/04,42.694874
3/8/04,42.303459
3/9/04,42.083046
3/10/04,41.330605
3/11/04,40.802406
3/12/04,41.38002
3/15/04,40.752995
3/16/04,40.977211
3/17/04,41.418015
3/18/04,41.368622
3/19/04,40.889812
3/22/04,40.369198
3/23/04,40.323574
3/24/04,40.28178
3/25/04,40.851795
3/26/04,40.950619
3/29/04,41.358532
3/30/04,41.587307
3/31/04,41.663563
4/1/04,41.877045
4/2/04,42.258305
4/5/04,42.536629
4/6/04,42.422241
4/7/04,42.246868
4/8/04,42.185871
4/12/04,42.319321
4/13/04,41.751232
4/14/04,41.613987
4/15/04,41.633053
4/16/04,41.831291
4/19/04,41.880859
4/20/04,41.213673
4/21/04,41.480549
4/22/04,42.140118
4/23/04,42.136318
4/26/04,41.957127
4/27/04,42.052422
4/28/04,41.461494
4/29/04,41.068783
4/30/04,40.737103
5/3/04,41.171719
5/4/04,41.213673
5/5/04,41.385239
5/6/04,40.977291
5/7/04,40.405415
5/10/04,39.844963
5/11/04,40.191906
5/12/04,40.336788
5/13/04,40.222393
5/14/04,40.207157
5/17/04,39.749649
5/18/04,40.06609
5/19/04,40.012722
5/20/04,40.027977
5/21/04,40.18047
5/24/04,40.33297
5/25/04,41.015419
5/26/04,41.099308
5/27/04,41.289921
5/28/04,41.328041
6/1/04,41.366165
6/2/04,41.480549
6/3/04,41.148869
6/4/04,41.396675
6/7/04,42.014297
6/8/04,42.067677
6/9/04,41.694046
6/10/04,41.78936
6/14/04,41.358532
6/15/04,41.697861
6/16/04,41.728363
6/17/04,41.716915
6/18/04,41.728363
6/21/04,41.625427
6/22/04,41.735985
6/23/04,42.166805
6/24/04,42.086735
6/25/04,42.040997
6/28/04,41.819099
6/29/04,41.99889
6/30/04,42.167244
7/1/04,41.7579
7/2/04,41.650772
7/6/04,41.314106
7/7/04,41.340885
7/8/04,40.973618
7/9/04,41.099861
7/12/04,41.088383
7/13/04,41.161087
7/14/04,40.973618
7/15/04,40.874157
7/16/04,40.686668
7/19/04,40.686668
7/20/04,40.973618
