Date,Value
1/2/04,64.313362
1/5/04,64.32122
1/6/04,64.399384
1/7/04,64.446259
1/8/04,64.454056
1/9/04,64.61042
1/12/04,64.649506
1/13/04,64.727684
1/14/04,64.6651
1/15/04,64.657288
1/16/04,64.61042
1/20/04,64.641724
1/21/04,64.68074
1/22/04,64.727684
1/23/04,64.633865
1/26/04,64.586952
1/27/04,64.6651
1/28/04,64.500992
1/29/04,64.516571
1/30/04,64.547928
2/2/04,64.57058
2/3/04,64.633224
2/4/04,64.594101
2/5/04,64.547089
2/6/04,64.64888
2/9/04,64.672325
2/10/04,64.586243
2/11/04,64.688034
2/12/04,64.711494
2/13/04,64.805435
2/17/04,64.750664
2/18/04,64.758461
2/19/04,64.789772
2/20/04,64.719337
2/23/04,64.781952
2/24/04,64.789772
2/25/04,64.836716
2/26/04,64.813293
2/27/04,64.86026
3/1/04,64.839081
3/2/04,64.776337
3/3/04,64.729317
3/4/04,64.784203
3/5/04,64.925301
3/8/04,65.027252
3/9/04,65.066414
3/10/04,65.027252
3/11/04,65.082115
3/12/04,65.035042
3/15/04,65.003693
3/16/04,65.050781
3/17/04,65.050781
3/18/04,65.027252
3/19/04,65.050781
3/22/04,65.089951
3/23/04,65.105591
3/24/04,65.121307
3/25/04,65.113449
3/26/04,65.050781
3/29/04,65.003693
3/30/04,64.995895
3/31/04,65.042862
4/1/04,64.964386
4/2/04,64.736732
4/5/04,64.673897
4/6/04,64.752419
4/7/04,64.768097
4/8/04,64.768097
4/12/04,64.705315
4/13/04,64.618919
4/14/04,64.509033
4/15/04,64.548309
4/16/04,64.634666
4/19/04,64.556145
4/20/04,64.40696
4/21/04,64.414856
4/22/04,64.509033
4/23/04,64.375595
4/26/04,64.383461
4/27/04,64.462036
4/28/04,64.328461
4/29/04,64.320633
4/30/04,64.352058
5/3/04,64.380333
5/4/04,64.364616
5/5/04,64.341057
5/6/04,64.325348
5/7/04,64.057968
5/10/04,64.089439
5/11/04,64.097351
5/12/04,64.113083
5/13/04,64.081589
5/14/04,64.183769
5/17/04,64.270287
5/18/04,64.207397
5/19/04,64.175919
5/20/04,64.207397
5/21/04,64.207397
5/24/04,64.223076
5/25/04,64.223076
5/26/04,64.341057
5/27/04,64.372459
5/28/04,64.3489
6/1/04,64.257576
6/2/04,64.218224
6/3/04,64.233932
6/4/04,64.131577
6/7/04,64.15519
6/8/04,64.163063
6/9/04,64.060707
6/10/04,64.052834
6/14/04,63.887489
