Date,Value
6/21/06,111.405266
6/22/06,112.290833
6/23/06,112.323044
6/26/06,111.968796
6/27/06,112.934891
6/28/06,112.355232
6/29/06,109.891724
6/30/06,110.052727
7/3/06,109.408691
7/5/06,110.213745
7/6/06,110.052727
7/7/06,110.84169
7/10/06,110.728981
7/11/06,110.181549
7/12/06,111.501869
7/13/06,112.999298
7/14/06,113.48233
7/17/06,113.83654
7/18/06,113.514549
7/19/06,111.51796
7/20/06,112.612862
7/21/06,113.337402
7/24/06,111.485779
7/25/06,110.922211
7/26/06,110.761215
7/27/06,111.421349
7/28/06,110.149361
7/31/06,110.165436
8/1/06,110.890015
8/2/06,110.213745
8/3/06,109.972244
8/4/06,110.197647
8/7/06,110.519669
8/8/06,111.002716
8/9/06,111.38916
8/10/06,111.018814
8/11/06,111.405266
8/14/06,111.179832
8/15/06,109.923935
8/16/06,108.973946
8/17/06,108.780739
8/18/06,108.523109
8/21/06,108.861244
8/22/06,108.861244
8/23/06,109.489189
8/24/06,109.167183
8/25/06,109.199387
8/28/06,108.684135
8/29/06,108.53923
8/30/06,108.53923
8/31/06,108.507011
9/1/06,108.040062
9/5/06,107.943459
9/6/06,109.070549
9/7/06,109.650215
9/8/06,109.18325
9/11/06,109.263763
9/12/06,108.056168
9/13/06,107.605331
9/14/06,107.879059
9/15/06,107.685844
9/18/06,107.524826
9/19/06,107.734146
9/20/06,107.202805
9/21/06,107.750252
9/22/06,108.168884
9/25/06,107.235001
9/26/06,106.397743
9/27/06,106.462143
9/28/06,106.381638
9/29/06,106.60704
10/2/06,107.106186
10/3/06,106.86467
10/4/06,105.560471
10/5/06,105.351143
10/6/06,105.54438
10/9/06,105.592667
10/10/06,105.463852
10/11/06,105.737587
10/12/06,104.787613
10/13/06,104.546082
10/16/06,104.385063
10/17/06,104.7715
10/18/06,104.707085
10/19/06,104.642693
10/20/06,104.529984
10/23/06,104.01474
10/24/06,103.982529
10/25/06,103.61219
10/26/06,103.129158
10/27/06,103.853714
10/30/06,104.01474
10/31/06,104.159653
11/1/06,104.900307
11/2/06,105.061333
11/3/06,105.109634
11/6/06,104.111343
11/7/06,103.789322
11/8/06,103.628304
11/9/06,104.143547
11/10/06,103.982529
11/13/06,103.74102
11/14/06,103.096947
11/15/06,102.774925
11/16/06,102.63002
11/17/06,102.710533
11/20/06,102.758835
11/21/06,102.581703
11/22/06,102.27578
11/24/06,102.726624
11/27/06,104.28846
11/28/06,103.805412
11/29/06,102.855423
11/30/06,102.517296
12/1/06,103.257957
12/4/06,102.243599
12/5/06,101.776649
12/6/06,101.98597
12/7/06,102.307991
12/8/06,102.307991
12/11/06,102.179184
12/12/06,102.356293
12/13/06,102.082581
12/14/06,101.277519
12/15/06,101.068192
12/18/06,101.486816
12/19/06,101.3097
12/20/06,101.521317
12/21/06,101.882195
12/22/06,102.357887
12/26/06,102.013405
12/27/06,101.258865
12/28/06,101.554115
12/29/06,102.193855
1/3/07,102.374298
1/4/07,101.997017
1/5/07,102.850006
1/8/07,102.65316
1/9/07,102.669556
1/10/07,102.571136
1/11/07,101.915009
1/12/07,101.373672
1/16/07,101.455704
1/17/07,101.439285
1/18/07,101.980614
1/19/07,101.882195
1/22/07,102.4235
1/23/07,102.325089
1/24/07,101.390091
1/25/07,102.472717
1/26/07,102.620346
1/29/07,102.751572
1/30/07,102.144653
1/31/07,101.570518
2/1/07,100.930786
2/2/07,100.815964
2/5/07,100.865173
2/6/07,100.897972
2/7/07,100.815964
2/8/07,100.832367
2/9/07,101.60334
2/12/07,101.964211
2/13/07,101.258865
2/14/07,100.520691
2/15/07,100.43866
2/16/07,100.55349
2/20/07,100.340263
2/21/07,100.455101
2/22/07,100.602722
2/23/07,100.9636
2/26/07,101.160431
2/27/07,105.097282
2/28/07,104.326317
3/1/07,104.457542
3/2/07,105.91745
3/5/07,106.868851
3/6/07,105.146477
3/7/07,105.228508
3/8/07,104.621574
3/9/07,104.506744
3/12/07,104.408333
3/13/07,106.589996
3/14/07,105.474556
3/15/07,105.425339
3/16/07,105.933853
3/19/07,104.720001
3/20/07,104.11306
3/21/07,102.407104
3/22/07,102.259468
3/23/07,102.243065
3/26/07,102.341484
3/27/07,102.906502
3/28/07,103.418633
3/29/07,103.43515
3/30/07,103.765572
4/2/07,103.4021
4/3/07,102.410881
4/4/07,102.295227
4/5/07,101.931778
4/9/07,102.014381
4/10/07,101.766571
4/11/07,102.427399
4/12/07,101.8657
4/13/07,101.568336
4/16/07,100.643173
4/17/07,100.362328
4/18/07,100.296249
4/19/07,100.378845
4/20/07,99.519775
4/23/07,99.899757
4/24/07,99.9328
4/25/07,98.925041
4/26/07,98.710274
4/27/07,99.106773
4/30/07,99.94931
5/1/07,99.701515
5/2/07,99.156326
5/3/07,98.710274
5/4/07,98.445946
5/7/07,98.379868
5/8/07,98.445946
5/9/07,98.11554
5/10/07,99.404137
5/11/07,98.379868
5/14/07,98.842453
